,g BJD,g Flux,r BJD,r Flux,i BJD,i Flux,z BJD,z Flux
0,59317.67294946147,7418.110493625364,59348.48166037014,6292.66501422932,59334.59379048899,3092.9670993057653,59313.64921116193,1605.6999686814916
1,59317.67812758906,7800.261523373648,59348.486442542206,6847.516753878636,59348.51960266807,5833.383640205253,59317.55485893417,3889.3673661133726
2,59317.68330571665,8275.416802876753,59376.36172349481,12151.473423299361,59348.51960266807,5425.394908944563,59317.61138804666,4254.306295020357
3,59317.73508699254,9644.164759725396,59376.366505666876,12367.575507206458,59348.524401362825,6628.232216520778,59317.61652705689,5462.887566551832
4,59317.740265120134,9787.8391631252,59376.37128783894,12321.49086569356,59348.524401362825,5601.972029379214,59335.66986998304,1844.503601628563
5,59317.74544324772,10021.575678326246,59376.376070011,12602.956026806201,59348.52920005759,6228.594425998593,59335.66986998304,1724.7886000626368
6,59320.738400994196,7170.6440013076135,59376.380852183065,12730.74451482603,59348.52920005759,6861.756715967403,59335.66986998304,2316.6301284058877
7,59320.738400994196,7360.902255639094,59376.380852183065,11686.22050858349,59348.52920005759,6614.95120233424,59349.59658769721,4056.2950203570304
8,59320.74357912179,7542.170644001304,59376.38563435512,12192.784356926462,59348.53399875234,5482.845356675723,59349.59658769721,3380.9896648919507
9,59320.74875724938,7807.126511932,59376.39041652719,11505.186817222066,59348.53399875234,5699.366133413825,59349.601726707435,4493.423113059818
10,59320.75393537697,8087.93723439032,59376.395198699254,10958.780868447622,59348.538797447094,6100.714357581247,59349.601726707435,4311.775759473849
11,59320.75393537697,8069.957502451778,59376.39998087131,10706.692371247587,59358.58726426412,1043.465137337761,59349.60686571766,4293.845912934544
12,59347.69573322286,3283.0990519777697,59376.40476304338,9972.826585880837,59364.504054897065,1172.0495019619684,59349.60686571766,4223.535859693078
13,59347.700911350454,3497.3847662634835,59376.40476304338,10434.958230055996,59376.4192139738,6201.8311701378425,59349.60686571766,2545.7250234888816
14,59347.706089478044,3408.3033671134363,59376.452584764,6306.986137886715,59376.424012668554,6135.627326692827,59349.61200472789,4133.338553084873
15,59347.706089478044,4194.671461261849,59376.45736693606,6126.319654824198,59376.42881136331,6229.198108461617,59349.61200472789,4265.580958346382
16,59347.711267605635,4509.643674403398,59376.46214910813,4481.410079867805,59376.43361005806,5942.851393500354,59353.5895986433,3772.6276229251484
17,59347.71644573322,4609.839816933637,59376.46693128019,4752.226200312125,59376.438408752816,4905.121239561325,59353.59987666375,3477.2940808017534
18,59374.65824357912,3225.0735534488394,59376.46693128019,3571.835123473791,59376.44320744757,5629.640808934501,59353.60501567398,2918.336987159411
19,59374.65824357912,3544.7858777378206,59376.47171345225,4370.145965298816,59376.44800614233,4733.172351343194,59368.54925741302,4943.704979642968
20,59374.66342170671,2880.679960771493,59379.39362058247,4149.270173505922,59376.452804837085,4645.034711741625,59368.55953543347,4511.196367052928
21,59374.6685998343,2830.827067669172,59379.403184926596,2952.905535665106,59376.45760353184,4543.314216722005,59368.56981345393,4398.214844973379
22,59374.673777961885,2946.0608041843734,59379.41274927072,2113.283760212982,59376.45760353184,4419.65992554583,59377.491135207354,4713.670529282806
23,59374.673777961885,3119.3200392285053,59379.42231361484,3216.9283025796394,59379.44719036422,2640.004024549754,59377.496274217585,4512.918885061071
24,59374.68413421707,3047.891467799933,59379.49404619578,9492.518130909757,59379.45198905897,2438.776536874938,59377.50655223804,4664.108988412151
25,59374.68931234466,3180.6145799280803,59735.483716704126,2419.719085651337,59379.45678775373,1748.1637991749676,59377.50655223804,3878.0144065142495
26,59374.68931234466,3043.805165086629,59735.48849887619,3778.2061874598367,59379.54316425932,4387.966596237047,59377.51169124826,3776.3075477607263
27,59374.69449047225,2849.624060150374,59735.498063220315,3116.496832828423,59379.54796295408,3413.019418452561,59377.51683025849,3350.2192295646723
28,59374.69966859983,3228.9964040536124,,,59379.54796295408,5429.922527417246,59377.52196926872,3577.043532727842
29,59377.61495443247,10231.938542007187,,,59522.17476846297,4875.138343897777,59377.52196926872,3750.704666457876
30,59377.61495443247,9695.488721804506,,,59522.179567157735,4779.6559009960765,59377.537386299395,2550.5793924209206
31,59377.62013256006,10104.609349460603,,,59522.18436585249,5013.180400442701,59380.5282902513,2010.5699968681488
32,59377.625310687654,9949.16639424648,,,59729.555160996206,2226.984606097194,59380.53342926152,2144.0651424992175
33,59377.625310687654,10298.790454396856,,,59729.55995969096,2080.5916088137637,59380.61565342515,3075.869088631381
34,59377.630488815244,9197.777051323957,,,59729.56475838572,1935.2047489687102,59380.625931445604,2609.7713748825554
35,59377.635666942835,8912.880026152332,,,,,59493.23706254175,4301.440651424991
36,59377.64084507042,9059.00621118012,,,,,59493.24220155198,4849.827748199185
37,59377.64084507042,8999.999999999996,,,,,59493.24734056221,4152.286251174443
38,59377.64602319801,8529.584831644324,,,,,59493.25247957243,3824.6163482618226
39,59377.6512013256,7463.87708401438,,,,,59493.25247957243,4191.8258690886305
40,59377.65637945319,8197.286694998362,,,,,59520.24770029292,4179.924835577826
41,59377.70298260149,4691.2389669826725,,,,,59520.252839303146,5336.673974318822
42,59377.70816072908,4638.934292252368,,,,,59520.25797831338,4595.443156905731
43,59377.70816072908,3621.93527296502,,,,,59520.2631173236,4570.544942060757
44,59377.713338856665,3472.7034978751217,,,,,59523.2540212755,3495.4588161603506
45,59380.64415907208,6631.415495259886,,,,,59523.25916028573,3617.6792984653925
46,59380.64933719967,4867.440339980384,,,,,59523.25916028573,3215.862824929533
47,59380.64933719967,3519.1238966982673,,,,,59523.26943830618,4590.588787973692
48,59380.65451532726,3585.8123569794043,,,,,59718.639190091984,3908.863138114625
49,59380.65969345484,3174.5668519123883,,,,,59718.644329102215,3373.629815220795
50,59380.664871582434,1777.0513239620796,,,,,59721.60439899275,2353.194487942374
51,59380.670049710025,3222.9486760379204,,,,,59721.60953800298,1903.7738803632947
52,59380.73736536868,8651.029748283749,,,,,59721.6146770132,1429.9248355778263
53,59380.74254349627,8228.996404053607,,,,,59721.619816023434,2119.558409019731
54,59380.74254349627,5899.967309578291,,,,,59721.62495503366,2240.1346695897278
55,59490.347970173985,6501.797973193852,,,,,59721.63009404389,3222.048230504228
56,59490.347970173985,5847.335730630923,,,,,59721.63523305411,2998.512370811149
57,59490.353148301576,5920.398823144816,,,,,59724.667249087826,2788.9915440025056
58,59490.35832642916,5091.860084995094,,,,,59724.67238809805,3387.018477920451
59,59490.36350455675,5052.468126838835,,,,,59724.67752710828,3694.4096461008453
60,59490.36350455675,5232.428898332786,,,,,59730.54627678709,4790.7140620106475
61,59490.36868268434,4709.872507355342,,,,,59730.551415797316,4580.958346382711
62,59490.37386081193,4486.270022883294,,,,,59730.55655480754,4716.567491387409
63,59490.37903893952,4515.2010460934935,,,,,59730.56169381777,4403.773880363295
64,59490.37903893952,3482.8375286041173,,,,,59730.56683282799,5406.984027560287
65,59520.3603976802,9790.617848970247,,,,,59736.63086489542,935.1706858753532
66,59520.3603976802,9711.670480549194,,,,,,
67,59520.36557580779,9453.743053285383,,,,,,
68,59520.37075393538,9486.596927100356,,,,,,
69,59520.37075393538,9845.701209545598,,,,,,
70,59520.37593206296,9493.788819875772,,,,,,
71,59523.35853355427,8174.403399803854,,,,,,
72,59523.36371168186,8013.729977116701,,,,,,
73,59523.36888980944,8537.430532853868,,,,,,
74,59523.36888980944,8519.450800915327,,,,,,
75,59523.37406793703,8956.52173913043,,,,,,
76,59523.37924606462,9361.719516181754,,,,,,
77,59526.36184755592,1260.869565217392,,,,,,
78,59730.63898094449,10532.853873814967,,,,,,
79,59730.64415907208,10584.668192219675,,,,,,
80,59730.64933719967,10597.907813010783,,,,,,
81,59730.65451532726,10266.753841124546,,,,,,
82,59730.65451532726,9975.1552795031,,,,,,
83,59730.65969345484,10712.97809741745,,,,,,
84,59730.72700911351,5929.715593331152,,,,,,
85,59730.73218724109,5568.159529257926,,,,,,
86,59736.72845898923,3943.1186662307937,,,,,,
87,59736.73363711682,2233.409610983983,,,,,,
