,g MJD,g MAG,g MAGERR,r MJD,r MAG,r MAGERR,i MJD,i MAG,i MAGERR,z MJD,z MAG,z MAGERR
0,59746.22928024,20.7436945144415,0.0985920576786011,59746.23072529,20.1860753753259,0.0778784927596784,59755.24012612,18.7886151347952,0.0441170789914744,59767.13652487,18.6921834588057,0.0246627028635586
1,59746.22182385,20.7981989812314,0.102357991593792,59746.22327615,19.6919841118975,0.0475128929191982,59755.23641354,18.7502380077231,0.0406612631734843,59761.23347276,19.6644958024744,0.0532046296340443
2,59714.31241377,21.4735033335687,0.118221717309131,59714.31387105,20.6406824766077,0.0819714984988747,59755.2327118,18.7680223689506,0.0295232341999383,59761.22975266,19.7694681801694,0.0592399412817719
3,59714.30352043,21.1684240891509,0.0877860195563355,59331.33377371,18.9716148606606,0.0188333154826706,59755.22896749,18.8123335033286,0.0424222772548199,59761.22226528,20.0766176070217,0.0749597133322713
4,59714.29980204,21.068644325646,0.0856275495530654,59331.33008203,18.9348804242686,0.0194111234768865,59755.2252547,18.8431440949063,0.0661259524479181,59761.21854599,20.4386331969064,0.104256153204897
5,59714.29607405,20.710980321822,0.0597298097887583,59333.36203857,20.0570542405604,0.0827814907857936,59755.22154499,18.8598805607548,0.0509395696237091,59758.22862304,18.8886637415428,0.0310559648238742
6,59304.3676979,19.8311891164953,0.0250223561508414,59333.35579187,19.9741799367709,0.0759087648832833,59746.2316287,19.4887058349877,0.0674452538359779,59758.22491969,18.752107592917,0.0327654098675608
7,59304.37924296,19.7876466662532,0.0235068033077457,59331.34162088,18.9637680959636,0.0192199675742224,59746.22792422,19.4686110899054,0.0536933454134591,59758.22118301,18.8926732421757,0.031297052989651
8,59304.38664634,19.8521172047238,0.0247413868021744,59331.34902007,18.9327754418221,0.0210743521754186,59696.38848457,18.7061134855144,0.022869082362752,59758.21748086,18.9585311114266,0.0308600224025448
9,59304.38294008,19.9070947123318,0.0250555220799556,59333.36008128,20.2300391903945,0.0971166731409345,59699.4192104,18.6916699393448,0.0650581367518096,59758.2137817,19.0670062282887,0.039591507202225
10,59304.3751064,19.8086748153928,0.0238825765554164,59333.35771837,20.147542663995,0.0888308187460493,59699.41549138,18.5797470505715,0.0295786441772644,59758.21002864,19.0847474323615,0.0360736959658107
11,59304.37141087,19.8212807099838,0.0238887723949725,59331.3453112,18.9187870120081,0.0203258151502309,59699.41176101,18.6236476871619,0.025474703243115,59755.24081551,18.5297781206799,0.0543752201834045
12,59331.32863986,19.9137721677205,0.0336678490711659,59333.36591378,20.3976568977887,0.134394400285178,59699.40801839,18.5798377089816,0.0317150192923825,59755.23708359,18.4916555935852,0.0438281952479554
13,59331.3475867,19.7921900711893,0.034769785830983,59361.26642517,20.5220912193881,0.0851654578395317,59705.38179221,19.2285648116747,0.03882204401075,59755.2333902,18.5259026073267,0.0317334429146729
14,59331.3438651,19.8378906681628,0.0310152351702597,59361.27060602,20.3394743264503,0.075771862381575,59705.37065333,19.6358875652252,0.0693126759810523,59755.22964433,18.5649823470917,0.0385409805534629
15,59331.34018693,19.8446209393684,0.028966208510726,59361.27431763,20.1583361928565,0.0605883709854103,59705.36696175,19.7344929859203,0.082796781435408,59755.22593502,18.5733352414432,0.0660091001536678
16,59331.33604215,19.8471931723162,0.032607703176118,59361.27804888,19.9530133874804,0.0576738833028488,59708.42463182,19.2776689613953,0.0295767615071146,59755.22222144,18.5634580025647,0.0566552483920099
17,59331.33233755,19.8715709051544,0.0303346057548175,59361.28592178,19.8540681864674,0.0658115686875314,59714.30961484,19.9748979554149,0.0568788390854192,59746.23604577,19.3724434517414,0.0969974226476286
18,59358.29028462,19.9603183661261,0.0224215047659422,59361.28219742,19.8769352248369,0.0528429832242683,59714.3058701,19.7649696613134,0.0474710776868647,59746.23230316,19.2928477344421,0.0701886028987389
19,59358.29405276,19.9882244267608,0.0225166838021166,59361.28964367,19.7375526993308,0.0577658834891768,59714.30216562,19.6920779951581,0.0461245229195112,59746.22859754,19.2898435395319,0.0552399406503302
20,59358.29778585,19.9394799301067,0.0213046918214469,59361.336909,19.0745642786893,0.0280383805650398,59714.29471417,19.5981605998894,0.0430692425148531,59746.22487411,19.2638375667009,0.0666996269151693
21,59358.30194912,19.919008319852,0.0211730947577884,59361.34064391,19.1320041740679,0.0313775811987551,59720.3775355,19.4483008191572,0.125225808800915,59738.2600406,18.835209607079,0.0263188777351572
22,59358.30569993,19.9327836458597,0.0215797226764347,59361.34436559,19.1084666211694,0.0345367729855585,59723.33208829,18.6994856315559,0.0311414018417564,59738.25635942,18.7670614052426,0.0240969922011597
