,g MJD,g MAG,g MAGERR,r MJD,r MAG,r MAGERR,i MJD,i MAG,i MAGERR,z MJD,z MAG,z MAGERR
0,59746.22928024,20.4593308221544,0.081167996618912,59746.23443919,19.6267359232537,0.0685110451558512,59746.23907357,19.3415105709342,0.0869589485584692,59755.23708359,17.9970098811083,0.0319790163567042
1,59746.22182385,20.6262453603396,0.0948207488984253,59746.23072529,19.5991563597332,0.051069921127938,59746.23536014,19.4174518184787,0.0912100309427852,59755.22593502,18.1111702141481,0.0507898202592962
2,59714.38190692,20.1423131472365,0.0348233437979919,59746.22701016,19.6070646936742,0.0577684597293378,59746.2316287,19.4038630396752,0.0706902975805849,59755.22222144,17.9926971296051,0.0410942992482235
3,59714.30352043,19.5505584929568,0.0225431279524896,59746.22327615,19.5741176031266,0.0494710611553663,59746.22792422,19.2738491465472,0.0513075427093936,59746.23604577,18.9067526268261,0.0687174678341383
4,59714.29980204,19.5425574805594,0.0236980487610206,59720.38774166,18.6375630070766,0.0573456390553526,59699.4192104,17.7538771859745,0.0346461265371447,59746.22859754,19.0936230136103,0.0539988716787304
5,59714.29607405,19.5171355386132,0.0225534426777461,59720.38404649,18.2037633091633,0.102382088032243,59714.39133285,19.0627588439794,0.0419156945230918,59746.22487411,19.0835246223879,0.0637315916938351
6,59714.29234875,19.4764913400277,0.0257980263654898,59720.38032564,18.6927755390234,0.0493902283299393,59714.38836081,19.0912791027386,0.0441969566931268,59699.41987919,17.9135024794613,0.0574537928146095
7,59720.38261377,19.2555801698122,0.0538034024167237,59720.37295301,18.4634361997025,0.0887411339296612,59714.38700125,19.0022798325591,0.0439392773943042,59699.4161779,17.6539615748171,0.0242239455939813
8,59720.37888582,19.2914382934189,0.0361547534582783,59361.24737602,18.3981581651943,0.0175817043676589,59714.38564795,19.0575087098062,0.0408855441533209,59699.4087166,17.7254724487248,0.0241295379497924
9,59720.37519756,19.1633934415002,0.0407507465571338,59361.25106087,18.3485895280633,0.0155447096800215,59714.38495191,18.9697812025173,0.0375713927705561,59714.39065651,18.9675707690027,0.0481237971251692
10,59720.3714969,19.0619885508424,0.0761357685608939,59361.25897516,18.3847602176633,0.0152332368820678,59720.38496407,17.9282758199875,0.0930243233494381,59714.38905133,18.7073489740552,0.0376256656543481
11,59331.3438651,19.5252730688442,0.0252995012030328,59361.25478564,18.3156921358303,0.0141997062804717,59720.38124281,18.1511225908095,0.0581644137547317,59714.38767809,18.911262365853,0.0491073766839373
12,59331.3475867,19.5998216978056,0.0311754816233363,59361.26268712,18.4266345142936,0.0149844395946978,59720.3775355,18.2157431528211,0.0574360946399585,59714.38632637,18.8593664909923,0.0447594974117647
13,59331.33604215,19.4511353652089,0.0242798426887145,59361.26642517,18.3768353871982,0.0138835682124207,59720.37385895,18.3682684947101,0.117130113242864,59714.3833578,18.7404745839759,0.0381651813972614
14,59331.32863986,19.4333580646964,0.0234961395334147,59361.27804888,18.5289069527831,0.017883685890956,59333.36069982,19.6424647844677,0.0630212621363102,59720.37821053,17.9575030451948,0.052262047736801
15,59331.34018693,19.47087128169,0.0225212058578579,59361.28592178,18.5712088982709,0.0229007516946752,59333.35444666,19.379128908454,0.0514269365567448,59720.37452253,18.1066360658949,0.113987698186591
16,59331.33233755,19.4198074884442,0.0217227798420123,59361.28219742,18.5575509960456,0.017952050507248,59333.36265545,19.7221775839748,0.0681176334693048,59723.33276268,17.7533487938761,0.0316768904664573
17,59714.37882968,20.2076955288295,0.0413137529999264,59361.28964367,18.5592312116498,0.0212497279598598,59333.35831918,19.8887253475853,0.0812031171660465,59723.32906929,17.7319935084615,0.0266942217568942
18,59714.31241377,19.6351163074167,0.0243999784820064,59361.336909,18.823958146404,0.0244966305834425,59333.35640282,19.5648125326579,0.0580071922896624,59333.3512144,19.2242815388746,0.0497956828218626
19,59714.30724775,19.549486094077,0.0238695072215911,59361.34064391,18.8197062308436,0.0254945177755655,59333.35055003,19.4521071955722,0.0466733300294571,59333.36135592,19.2478520638535,0.0565726469137954
20,59361.24594945,18.9698124649235,0.0172699764455412,59361.34436559,18.914899736583,0.0310998150138857,59333.36458897,19.7378565492183,0.0711097236285937,59333.36331885,19.2955800529478,0.0603809458368679
21,59361.24963204,18.99935151464,0.0185464194091934,59361.34851303,18.9895454873792,0.0381317464752178,59333.36653041,19.3903321119622,0.0535411833207216,59333.35315931,19.1575004916093,0.0456561680205888
22,59361.25335414,19.0088890697202,0.0171707601675746,59361.35221434,18.745670254209,0.0374621112263917,59337.4283384,18.3542434344909,0.0252826882324183,59333.35898348,19.3046079276252,0.0602992489447327
23,59361.25752308,19.0361155720712,0.0171804854830809,59361.35593222,19.0333085322597,0.0453117273292408,59358.29268775,18.7482371156002,0.0240754681600387,59333.35510904,19.1993172118658,0.0559749784606347
24,59361.26124084,19.0710235965965,0.0177380052373851,59364.27949464,18.1908659155711,0.0309605268296412,59358.2964167,18.6966729434359,0.022825604090821,59333.36525743,19.3639223782456,0.0678163899036675
25,59361.26498338,19.1230834952657,0.0180744577904179,59364.2869137,18.2250742182993,0.0436127033491633,59358.30014513,18.7307730503827,0.0236258899783594,59333.36719625,19.5814359249369,0.0807484450947581
26,59361.26914827,19.1576793575973,0.0190063737871012,59364.30254102,18.145600559195,0.0752807067614503,59358.30806681,18.7254252293245,0.0242161024787146,59337.42899673,18.0141888137721,0.0248508512815278
27,59361.27286509,19.1669704461959,0.0187541284091471,59364.30624673,18.1665811573501,0.0445741571959599,59358.31179963,18.7939798816715,0.0251212837110888,59337.42967209,17.9690829125603,0.0238094813229919
28,59361.27660876,19.1997655292306,0.0185682143169748,59364.29472164,18.3106790321369,0.0659813281593767,59358.31596714,18.858231340154,0.0266054583132858,59714.31548722,18.286678224995,0.0241221795502779
29,59361.2807495,19.2237843554802,0.0219148741502344,,,,59358.31968871,18.774199952759,0.0248784420305375,59337.43100774,18.1903094675218,0.0278108672818257
30,59361.28447275,19.219980630362,0.0290454344834554,,,,59358.32341742,18.8569330479915,0.0266458234822577,59337.43167218,18.0850390753777,0.0269913454524994
31,59361.28821337,19.2946136613813,0.0249432086379882,,,,59358.3276049,18.9610685141924,0.0292153465981262,59337.43301631,18.1240527938193,0.0296003144859731
32,59361.33544473,19.6192907415365,0.0339576977678076,,,,59358.33136346,18.9428112024909,0.0295348367328965,59337.43234245,18.2347852196103,0.0326069835945319
33,59361.3391835,19.6952039538966,0.0356229027395185,,,,59358.33507361,18.8428869580541,0.0265121874940221,59337.43704718,18.1017655362203,0.0335326917486252
34,59361.34291862,19.7893895352156,0.047668148545307,,,,59361.24827172,18.1771849641458,0.0216765624678835,59337.43638952,18.0798923025818,0.0331719905700511
35,59361.34705949,19.7750193472636,0.0498885184467789,,,,59361.25196793,18.128206153519,0.0200371246976175,59343.41832688,17.7996140520204,0.066797280665606
36,59361.35077548,19.73588894275,0.0535242653172154,,,,59361.25569104,18.19779961345,0.0211585673290968,59343.42247745,17.734989351893,0.0523183324581803
37,59361.35448144,20.1512271720473,0.100890994225569,,,,59361.25988547,18.181197115579,0.0200970100759494,59343.43000468,17.6191306108862,0.140740466589587
38,59364.27806954,18.7856735178524,0.0150081193736027,,,,59361.26359282,18.20556762349,0.0202088668989382,59358.29337654,18.4357312148575,0.0236195122135398
39,59364.28176158,18.8239818044916,0.0211250691903209,,,,59361.26733993,18.17169027445,0.0163395290306877,59358.30081993,18.393735686944,0.0224180353429753
40,59364.28548028,18.7971404589317,0.029281545174814,,,,59361.27151596,18.2422553922865,0.0165904007226505,59358.30501581,18.5110197391643,0.0250355613150244
41,59364.29697663,18.9182846184604,0.0742824392025223,,,,59361.27524024,18.2779180326935,0.0166333488992828,59358.30875557,18.5274848032743,0.02536178936369
42,59364.37142702,19.421683025741,0.0182537947542241,,,,59361.27895357,18.2435495061565,0.0220019300736417,59358.31248134,18.4631281536199,0.0237190755914294
43,59364.29328454,18.8490001352384,0.0339345409247061,,,,59361.28310005,18.3277896636237,0.023600092196159,59358.31664507,18.5823447637864,0.0266606713543879
44,59364.30480082,18.9630304811103,0.0391566147892159,,,,59361.28684333,18.3094810261346,0.026279886571579,59358.32036804,18.5935440030421,0.0269653351175933
45,59364.28959116,18.8451573198984,0.0313624977041774,,,,59361.2905515,18.3768761214582,0.0267068448950356,59358.32409521,18.5696581640952,0.0263074588208258
46,59364.37512696,19.6007219897573,0.0204329193262934,,,,59361.33782298,18.5301068734818,0.0286720122197851,59358.32829823,18.6254649513847,0.0279186948038763
47,59364.37881844,19.5234571108351,0.0277528036051124,,,,59361.34156155,18.6268817600386,0.0341318913411603,59358.33205664,18.5635085201868,0.026264140761432
48,59507.00073851,20.0617899595665,0.0390811579262096,,,,59361.34527078,18.5284914157082,0.0349929315157113,59358.33574488,18.6365562619946,0.0288069061958764
49,59507.00816019,20.2468588019176,0.0531579896483669,,,,59361.3494204,18.7780968728972,0.0469569592125093,59361.2489484,17.9878703756843,0.0229776845485998
50,59507.01187961,20.0987056798309,0.0444861029887406,,,,59361.35311347,18.573563521479,0.0493247410653812,59361.25265992,17.9805705907784,0.0209805584944545
51,59507.0156089,20.3604822710276,0.0576912821226413,,,,59361.3568593,18.6560435192983,0.0437556522248265,59361.25638123,17.9395804787926,0.0201107917599073
52,59301.30507931,18.9817293538199,0.0147738975864497,,,,59364.28040214,18.0738179557077,0.0301149233221356,59361.26056766,18.0454555858742,0.0219027989097794
53,59301.30886015,19.0239321755926,0.0146288239500908,,,,59364.28411267,18.0846709805421,0.0274891330028181,59361.26428995,18.020136413812,0.0207670392483356
54,59301.31261263,19.0327839833979,0.0160011385354448,,,,59364.28781545,17.9876841442811,0.0495145574222579,59361.26801148,18.0061284241821,0.0170610422919265
55,,,,,,,59364.30345089,17.9662988600114,0.11728032487444,59361.27219265,18.0923211702559,0.0178590304285806
56,,,,,,,59364.3737844,18.4399095764524,0.0193132168524443,59361.27592331,18.0436294136124,0.0168758811200672
57,,,,,,,59364.37747223,18.315357086496,0.0273082809827626,59361.27963186,18.0567460509911,0.0226412850654852
58,,,,,,,59364.38118902,18.4451745302914,0.0191618391328424,59361.28377315,18.0103815122552,0.0228846182394108
59,,,,,,,59474.02256059,19.0683197487577,0.0569469754527358,59361.28753214,18.04731899969,0.0239320718954001
60,,,,,,,59474.02626736,19.443479943569,0.0811051458356033,59361.29123987,17.9995839048547,0.0233067214160667
61,,,,,,,59474.02996091,19.2325918032007,0.0635566947985605,59361.33850102,18.2965065844927,0.0289789677543341
62,,,,,,,,,,59361.34223621,18.3371235083903,0.0352529755916764
63,,,,,,,,,,59361.34594139,18.2538238803699,0.0323951002116634
64,,,,,,,,,,59361.35009714,18.3111852386505,0.0373122958260079
65,,,,,,,,,,59361.35379593,18.3878547935481,0.0513335851923849
66,,,,,,,,,,59361.35754433,18.3588061110978,0.0406004904433083
67,,,,,,,,,,59364.28107069,17.8626859595195,0.0237153370777352
68,,,,,,,,,,59364.28479324,17.8160938950662,0.0274458005285664
69,,,,,,,,,,59364.28848574,17.8438507903183,0.0301584249998716
70,,,,,,,,,,59364.30413137,17.8507704752836,0.0780764343181978
71,,,,,,,,,,59364.37030145,18.1375991877207,0.0201543237142452
72,,,,,,,,,,59364.37445772,18.1911854966907,0.0202911107439322
73,,,,,,,,,,59364.37813978,18.15525507158,0.0270292824142596
74,,,,,,,,,,59364.38187284,18.2377261018575,0.0207516607829683
75,,,,,,,,,,59474.01910002,19.0720590138349,0.0537314943840616
76,,,,,,,,,,59474.02323442,18.9450742471928,0.0623431685492582
77,,,,,,,,,,59474.02694373,19.0135018695239,0.0655005978086004
78,,,,,,,,,,59474.03064677,18.9851265274043,0.0614717705349025
79,,,,,,,,,,59476.99717305,18.6019386951372,0.0314408269826989
80,,,,,,,,,,59477.00874802,18.5561718652779,0.034333252015422
81,,,,,,,,,,59507.0037732,18.793702397241,0.0353799690881245
82,,,,,,,,,,59507.00748581,18.7048111872718,0.0378043500361007
83,,,,,,,,,,59507.01118626,18.6720522876396,0.0323233757757865
84,,,,,,,,,,59507.01492209,18.6932077768392,0.0340888505495776
85,,,,,,,,,,59507.01861713,18.6672917189491,0.030093400143184
86,,,,,,,,,,59507.02232076,18.8236336000042,0.0351297192621578
87,,,,,,,,,,59504.01681963,19.145494661806,0.0461752697882577
88,,,,,,,,,,59504.02050831,19.292285038575,0.0508415176548952
