,g MJD,g MAG,g MAGERR,r MJD,r MAG,r MAGERR,i MJD,i MAG,i MAGERR,z MJD,z MAG,z MAGERR
0,59361.24594945,17.8227582702596,0.00813251329906716,59361.28592178,17.5762749854897,0.0117399543828639,59714.39133285,17.5232889828897,0.0129039911818019,59714.39065651,17.4324576346846,0.01444675288025
1,59361.24963204,17.8528218638072,0.00870444907551031,59361.34851303,18.2370382627631,0.024206127957709,59714.38836081,17.598421726963,0.0142606195121398,59714.38905133,17.4214584017003,0.0141865191839169
2,59361.25335414,17.8241347026957,0.0079349527222537,59361.35221434,18.2382394742382,0.0288358444311023,59714.38700125,17.6150434279103,0.0150904138774862,59714.38767809,17.4436365067468,0.0153683251959219
3,59361.25752308,17.8414626997043,0.0078079743756058,59361.35593222,18.289694211098,0.0286384548716362,59714.38564795,17.5667626038573,0.0131449181804159,59714.38632637,17.4548071335502,0.0149773930792476
4,59361.26124084,17.8436196945083,0.00783994194467733,59364.30254102,17.4292393292154,0.0504325906416612,59714.38121137,17.6247433806869,0.0130925923459053,59714.3833578,17.4716031572454,0.0143635086096509
5,59361.26498338,17.8829092932497,0.00796753252449627,59364.30624673,17.4598081405439,0.0239440611528168,59720.3775355,18.5284053113831,0.0947930626189877,59333.35510904,17.5201128902338,0.0146945031946763
6,59361.2807495,17.9616182469377,0.00920835650543224,59364.29472164,17.4356091042662,0.0399167117215755,59333.36069982,17.6944167940486,0.0136264649005551,59333.36135592,17.5113872363615,0.0146451831839718
7,59361.28447275,17.9836002388615,0.0114970966772433,59364.29840988,17.421653503269,0.0625120154224671,59333.35444666,17.6113241529173,0.0123412386617446,59333.35706098,17.460455015709,0.0138508624097347
8,59361.28821337,18.054043884181,0.0106007535033716,59364.30996644,17.292511563678,0.102012406101054,59333.35640282,17.4616285278938,0.0103147979081012,59333.35898348,17.5043283950318,0.0145697388912676
9,59361.33544473,18.5284596006393,0.0163169271093336,59364.29102651,17.4398228025544,0.0460443631914924,59333.35831918,17.6678547441728,0.0134522143368222,59333.36331885,17.4947814657753,0.0148021633592479
10,59361.3391835,18.6180190959411,0.0172490632568029,,,,59333.36265545,17.7046797488649,0.013991694772973,59333.36525743,17.5448647514509,0.0157267415948045
11,59361.34291862,18.663288329808,0.0216974677098027,,,,59333.36458897,17.7209457893808,0.0141815834520589,59333.36912034,17.5282621929942,0.0155860401522799
12,59361.34705949,18.7482603204025,0.0241869494490623,,,,59333.36653041,17.5605152408932,0.0123402913766021,59337.43704718,17.5858538010066,0.0235555244951472
13,59361.35077548,18.8292891478266,0.0295826155726448,,,,59333.3684577,17.8958232834851,0.0173304406034091,59337.43638952,17.6204279445136,0.0245109652641235
14,59361.35448144,18.8876311489299,0.0389207720729614,,,,59361.24827172,17.502654664346,0.0143649396658558,59361.2489484,17.291709504806,0.0144355088892101
15,59364.28176158,17.8140402670802,0.0131322234078324,,,,59361.25196793,17.5330996054636,0.0142381612956057,59361.25265992,17.269371459654,0.0132966826288975
16,59364.28548028,17.8299367169834,0.0174916622777826,,,,59361.25569104,17.4983350437627,0.0137308781497725,59361.25638123,17.2205971552942,0.0126906388438439
17,59364.29697663,17.8269806147479,0.0395278818181939,,,,59361.25988547,17.5212384178371,0.0135719268606377,59361.26056766,17.2639489650272,0.0129755192374784
18,59364.29328454,17.8584066190122,0.0196597032994711,,,,59361.26359282,17.5022977871909,0.0130209015814314,59361.26428995,17.2879345820637,0.0129687952609285
19,59364.30480082,17.857952726213,0.0192912449705615,,,,59361.27895357,17.5569388932699,0.014467174743357,59361.27963186,17.3889789909727,0.0150067719265566
20,59364.28959116,17.8078455635228,0.0171150172038963,,,,59361.28310005,17.6067532652366,0.0149040577595532,59361.28377315,17.3939898931356,0.0154350710633746
21,,,,,,,59361.28684333,17.6281276606053,0.0166623620680778,59361.28753214,17.4056007254172,0.0159500807058021
22,,,,,,,59361.2905515,17.5969729402736,0.0160276864163875,59361.29123987,17.4335769828099,0.0165861062765243
23,,,,,,,59361.33782298,18.0597642996758,0.0224767259614638,59361.33850102,17.862628968006,0.0229772752799907
24,,,,,,,59361.34156155,18.2070139990513,0.0270799957013598,59361.34223621,17.9745501498698,0.0292431875327341
25,,,,,,,59361.34527078,18.2472799200182,0.0319599588501686,59361.34594139,17.985063195853,0.0290675722376777
26,,,,,,,59361.3494204,18.2459361061605,0.0337886676390016,59361.35009714,18.1013272576445,0.0360542220851236
27,,,,,,,59361.35311347,18.4469594888917,0.0503862567422705,59361.35379593,18.0913924551256,0.0438481105850491
28,,,,,,,59361.3568593,18.6268774752073,0.0502094825585161,59361.35754433,18.1476378811227,0.0383053236306327
29,,,,,,,59364.28040214,17.4021769248362,0.0227381556519336,59364.28107069,17.2902637736928,0.0177729707472763
30,,,,,,,59364.28411267,17.4981895099525,0.0200092166568449,59364.28479324,17.2812154169107,0.0210701334490498
31,,,,,,,59364.28781545,17.4841267857838,0.0291818364233403,59364.2963067,17.1052435622565,0.0847157246706628
32,,,,,,,59364.30345089,17.6306469023729,0.142089802473597,59364.30413137,17.2792417656253,0.04570210798186
33,,,,,,,59364.29192728,17.4604918186181,0.0418830067390276,59364.28848574,17.2888021124505,0.0215382854150474
34,,,,,,,59364.29932102,17.6369654614991,0.100309991802245,59364.37813978,17.8557962758545,0.0219566883282977
35,,,,,,,59364.29562882,17.6073284150827,0.109433518255278,59474.02694373,17.3339778007393,0.0165857408811583
36,,,,,,,59364.31088621,17.4977534166922,0.0507399337428543,59474.03064677,17.3132248338215,0.0158359814897887
37,,,,,,,59364.37747223,18.0809829624313,0.0247789930457213,,,
