,g MJD,g MAG,g MAGERR,r MJD,r MAG,r MAGERR,i MJD,i MAG,i MAGERR,z MJD,z MAG,z MAGERR
0,59714.38190692,20.7470434196256,0.0521924390738528,59714.38974847,19.6112724832151,0.032721153772328,59755.2327118,19.4641568699022,0.0515806753898983,59767.14024546,19.0770968834525,0.0304756871915821
1,59714.31241377,21.3985134804211,0.105165767979305,59714.38404335,19.6006686215501,0.0332410703223954,59755.22896749,19.406435878724,0.0680938545027496,59764.19201221,19.6051217408157,0.048416423738152
2,59714.30724775,21.3861374924082,0.107490188502394,59714.38028653,19.5827877391769,0.0294789045499679,59693.3923255,19.5347443907516,0.0326105374992198,59764.18065133,19.262721911626,0.0388369042383777
3,59714.29980204,21.2102631261488,0.0925505410164062,59714.31387105,19.9440326129572,0.0397775779027163,59693.38862738,19.5049134529108,0.0310458207683522,59764.18454488,19.4824418042527,0.046068707134528
4,59714.29607405,21.634297154363,0.13237085694598,59714.30870669,20.0761068822584,0.046271734409489,59693.38490986,19.5762261781658,0.0327766024993835,59758.22862304,19.2104551451489,0.0412183914189715
5,59723.33343794,21.002273250335,0.0750269459591369,59714.30495326,20.2230027161781,0.0485543908815027,59693.38111019,19.6580115637102,0.036101277586587,59755.24081551,18.9114980355546,0.0786159966471833
6,59304.38664634,22.0370103313244,0.167144789301221,59714.3012557,20.2739894972039,0.059836990237436,59693.37740564,19.7417932115601,0.0379424939755528,59755.23708359,18.8222875086442,0.0555118917269959
7,59358.29028462,20.9639704582592,0.0489690698227285,59714.29752017,20.2644117740706,0.0555270931546342,59702.38764865,19.1011189292945,0.0265669853716311,59755.2333902,18.9783133148534,0.0477549833220551
8,59358.29405276,20.8822078208156,0.0445153320055046,59304.38808794,20.4904346177212,0.0621214405831635,59711.374786,19.5116723143149,0.0345308547694191,59755.22593502,18.8707383630207,0.0857125066944492
9,59358.29778585,20.7466366854219,0.0384393789212777,59304.369141,21.0047812541733,0.0978963632458347,59711.37107485,19.6937389367013,0.0424603183966801,59755.22222144,18.9287175829885,0.080988980063451
10,59358.30569993,20.8227282745926,0.0417492085838452,59304.37654289,20.7825311125719,0.0809307072708713,59711.36738522,19.2758787923373,0.0273526175795711,59726.33167767,18.9757963682045,0.0259651442342856
11,59358.30943912,20.8087650049871,0.0425845557188878,59333.34994327,19.9550556276965,0.0660568839933888,59714.39133285,19.0509967603519,0.0368764037257675,59726.31307259,19.0937263593412,0.0287900019036612
12,59358.31361304,20.8945133158007,0.0458092534795973,59333.36398793,19.9239093278051,0.0684689795551367,59714.38836081,19.0695537984793,0.0396085878103014,59693.39672681,19.1199805206603,0.030756194093325
13,59358.31732281,20.7779348094753,0.04074794243169,59333.35579187,19.8099948167676,0.0607077238706659,59714.38700125,19.2561734197951,0.0504370807508434,59693.39299673,19.1733533195687,0.032280412989536
14,59358.32104983,20.6725676150962,0.0364557511392066,59333.35771837,19.7535478923836,0.0578783505187137,59714.38564795,19.0264826186822,0.0351426699303445,59693.38930663,19.1839253199079,0.0328362699962283
15,59358.32522027,20.7526958221814,0.0394891808013115,59333.3518785,19.9577892750345,0.0649301466129302,59714.38495191,19.0428562586988,0.0357347750169264,59693.38558751,19.1947284084444,0.0320738055322887
16,59358.32898108,20.8379180968646,0.0452029957351293,59333.36203857,19.8818556020898,0.0658110000886438,59714.38121137,19.0108969452902,0.0320772973177006,59693.38179148,19.3026506929987,0.0366086090169147
17,59358.33273088,20.7379531287847,0.0396622026590764,59333.36591378,19.9263018563268,0.0802819193269615,59714.30961484,19.7354165599289,0.044469832366286,59693.37808319,19.2297629946733,0.0339869360298421
18,59474.00854985,21.2455938965735,0.0846638801780887,59333.36785823,19.8543819337731,0.0718276717233341,59714.3058701,19.8712077308122,0.050281299154149,59702.39205396,18.827629655543,0.0294888223452779
19,59510.0018149,20.6967584965,0.0414669205092241,59358.29176854,19.6683241406625,0.0258636985614957,59714.30216562,19.5832871287923,0.040460120538168,59702.38832518,18.7372496478548,0.0261665079139087
20,59301.30507931,21.1931968675497,0.0941398408268054,59358.31088498,19.5714815984663,0.0242424018428431,59714.29471417,19.7821309174641,0.0495834009409551,59702.3846048,18.9282709445508,0.0315716599130616
21,59301.30886015,21.2662345627922,0.0960069774776502,59358.31504564,19.5135498339963,0.0224545097682368,59723.33577764,19.807436824976,0.0541518666413021,59702.38088595,18.8684524944151,0.0296355607326607
22,59714.37882968,20.8481931866597,0.0647976826278847,59358.31877252,19.509604142588,0.0225947828866399,59297.37058947,20.2899977544734,0.0666088849966023,59702.37712614,18.7871862303048,0.0270140593989138
23,59301.36665855,20.9023803787437,0.0604374856416028,59358.32667653,19.4799624501841,0.022600271850358,59297.3743035,20.2586251862497,0.0643198828661045,59702.37340862,18.9040024755736,0.0275989747815212
24,59301.37037301,20.8973951698709,0.0601940742410458,59473.99057968,19.92433569882,0.0485621127777847,59310.36420114,19.3697412496003,0.0311036305554226,59705.37132358,19.8534145720687,0.0668088251746035
25,59301.37409096,20.8631531528967,0.058395637179145,59473.99429097,19.9445237004431,0.0442678451125876,59304.37376885,20.4558595812833,0.0823008700275789,59705.36764413,20.0674494197857,0.107239913087303
26,,,,59474.00585367,19.9298496014713,0.0424415824057132,59304.38528482,19.936933588747,0.0509483699591365,59711.37174699,19.0568481488017,0.0315222843685803
27,,,,59474.01000728,19.9423065081086,0.0426254766394267,59297.4065195,21.3301192279194,0.153200722550249,59711.36805347,18.9352774782776,0.0278922430707031
28,,,,59474.01374682,19.9045052737215,0.0397125971772341,59304.37744894,20.4727949787166,0.0840710508535862,59711.36435942,19.3502231622287,0.045042638947446
29,,,,59474.02164889,20.1821418110431,0.0734228964155689,59310.36792446,19.8130685407322,0.0450328279859657,59714.39065651,18.6680748535393,0.0331165410217795
30,,,,59477.00716521,19.6987509247627,0.0409886430352965,59310.38323831,19.7487548794,0.0446380795394057,59714.38905133,18.7307268220426,0.0342706836534283
31,,,,59301.30652956,19.8457621242811,0.0385592676514921,59310.37950281,19.7796652252151,0.0460109170614278,59714.38767809,18.7330507501894,0.0374633685149147
32,,,,59301.31032547,19.844629316575,0.0364969416970604,59310.3757659,19.973190143845,0.0542496693825892,59714.38632637,18.689962211581,0.0341677262409178
33,,,,59301.3140691,19.886112698838,0.0399885577451555,59333.35249747,19.3601291861125,0.033836041389441,59714.3833578,18.6973545955835,0.0323454147820726
34,,,,59301.36810029,19.6270185538017,0.0289326571822381,59333.36069982,19.3856943528439,0.0434877166305416,59714.31548722,19.0836050143784,0.04403415105072
35,,,,59301.37182365,19.6142014294789,0.0282767388984611,59333.35055003,19.4306284961978,0.0372188750379844,59714.3065564,19.2942923549395,0.0412069446623908
36,,,,59301.37553302,19.6557003453283,0.0302570951273066,59333.35831918,19.3114821855361,0.0415690676744447,59714.30284353,19.3304654592887,0.0424328259869595
37,,,,,,,59333.35444666,19.275382097063,0.040888536066442,59714.29910858,19.3572800503591,0.042394987942121
38,,,,,,,59333.36265545,19.4352402483866,0.0456084181420081,59714.29540328,19.4909850869485,0.0492445426690133
39,,,,,,,59333.35640282,19.3491371001293,0.0408924577907623,59723.34015036,19.1266541757755,0.0484995422519553
40,,,,,,,59333.36458897,19.3652998557483,0.0447393904106273,59723.3253581,18.729886283229,0.0220792863752444
41,,,,,,,59333.36653041,19.4622384688056,0.0507016417712115,59297.36010305,19.6643446207361,0.0517235548036293
42,,,,,,,59333.3684577,19.9170131044496,0.0782415788484293,59297.37498176,20.0342506956987,0.0731565275687338
43,,,,,,,59337.4283384,19.1187619907399,0.0441373149792244,59297.36383153,20.1112640302971,0.0743456568761569
44,,,,,,,59358.29268775,19.0924770741844,0.0266141131520196,59304.37074304,20.1668066137051,0.0828290102539586
45,,,,,,,59358.2964167,19.0721686575724,0.026316992795111,59304.38968996,19.8894838490046,0.0687668071643431
46,,,,,,,59358.30014513,19.0691554652527,0.0256518977518046,59310.36488069,19.1678375112202,0.037613076147439
47,,,,,,,59358.31179963,19.0514252207946,0.0260056968663815,59297.40349798,20.7531736990503,0.126239041152254
48,,,,,,,59358.31596714,18.9796898441406,0.0238948869388468,59310.37230343,19.3680170816148,0.0435060612940699
49,,,,,,,59358.31968871,19.036971348727,0.0258264802968357,59304.37443698,20.0249654330967,0.0717284473975662
50,,,,,,,59358.32341742,18.9680661996992,0.0242160698570038,59297.37872181,20.1171626204955,0.0782815860036103
51,,,,,,,59358.3276049,18.9815118808936,0.0245310977022014,59297.36755245,19.6964811216089,0.0527553112278088
52,,,,,,,59358.33136346,18.9812659362781,0.025237859584107,59304.38225419,19.7961151311546,0.0604392460215702
53,,,,,,,59358.33507361,18.9495295708041,0.0243854984638126,59304.37812479,19.8006058792121,0.0616861111951216
54,,,,,,,59361.35311347,19.4776650880865,0.113140966027879,59313.3805042,18.7074441956342,0.0215005860323791
55,,,,,,,59361.3568593,19.6331250291521,0.103524264767142,59316.37739454,19.6907014093195,0.0528164046196833
56,,,,,,,59367.32217426,19.1461002535539,0.0248503725296257,59310.38020144,19.2925681450385,0.038521390633202
57,,,,,,,59473.99148957,19.4372063005315,0.038735918256265,59322.38330089,19.2546520812055,0.036466198103136
58,,,,,,,59473.99519827,19.4538945986021,0.0396722498962341,59313.36895262,18.7120040378646,0.0218748083083001
59,,,,,,,59474.00676285,19.4404391749259,0.0379475974222371,59310.37643423,19.331302924823,0.0417830251206109
60,,,,,,,59474.01092792,19.5452975879753,0.0403599471336731,59322.37957216,19.1972934446197,0.0342960770640338
61,,,,,,,59474.01467489,19.6171616009182,0.0458992359439653,59313.37268271,18.6866718314008,0.0208795924191963
62,,,,,,,59474.02996091,19.5415179610112,0.078197066273434,59322.36784379,19.042347043737,0.0297145099185194
63,,,,,,,59480.03142589,20.6123844914703,0.0919728067304758,59313.38423625,18.7285379428243,0.0221083306471937
