,g MJD,g MAG,g MAGERR,r MJD,r MAG,r MAGERR,i MJD,i MAG,i MAGERR,z MJD,z MAG,z MAGERR
0,59746.22928024,17.843484275913,0.00769573127582631,59746.23443919,17.1775145145517,0.00751513673406603,59746.23907357,16.9888661745977,0.0104623429794039,59755.23708359,19.6393485336351,0.13790630573172
1,59746.22555843,18.0425081957954,0.00890544942271244,59746.23072529,17.3461352579243,0.00690572463957675,59746.23536014,17.1089108918746,0.0112515816998735,59755.22964433,19.4496731900795,0.101734273361698
2,59746.22182385,18.1776345760632,0.0103047507644724,59746.22327615,17.6393629757346,0.00862460597864289,59746.2316287,17.2453636045375,0.0102177150100151,59746.23604577,16.9030338287927,0.0113953769800937
3,59720.38630177,17.4999926497997,0.0489600364391303,59720.38774166,17.0552971435356,0.0143593900978128,59746.22792422,17.421567364963,0.00982607200172271,59746.23230316,17.0807787123674,0.0108424979705065
4,59720.38261377,17.6872580325991,0.0112144817481775,59720.38404649,17.2502616745145,0.0405028576082189,59714.39133285,17.3103660764167,0.00866238432591069,59746.22859754,17.2754125914108,0.0107137868895358
5,59720.37888582,17.9217678731698,0.0108416253204284,59720.38032564,17.3729018532843,0.0150862850536005,59720.38496407,17.0885462806186,0.0473849389749647,59746.22487411,17.4044858246345,0.0140926630883827
6,59720.37519756,18.067251114125,0.0141377177216801,59720.37663293,17.5335214536744,0.0271989557363963,59720.38124281,17.2801121829977,0.0332289072297909,59699.4161779,18.8967010260336,0.0757408365916993
7,59720.3714969,18.2284586699539,0.0426346832989918,59720.37295301,17.7007141777238,0.0477550355893054,59720.3775355,17.4557835528544,0.0245390471915097,59699.4087166,18.8225128294159,0.06034267864154
8,59331.3475867,19.9500437946745,0.0423438065961977,59361.24737602,18.9140947058671,0.0270340451326499,59720.37385895,17.5242864125982,0.0416646764054701,59705.37504078,17.7931072436711,0.0234966488333144
9,59331.33233755,19.609829671795,0.0257120241986308,59361.25106087,18.9279357144859,0.0256454555255413,59333.35831918,18.3157254242672,0.0189146391657452,59705.36391395,17.6771416633278,0.023896609639882
10,59331.32863986,19.6890613952954,0.0294570698958705,59361.25478564,18.9371682894342,0.0242667608444579,59333.35640282,18.2953366371239,0.0180127666040975,59705.36018818,17.6530377649472,0.0195047162104815
11,59714.38190692,17.8697367122838,0.00490733195494524,59361.25897516,19.0683172259703,0.0275321671985293,59333.35055003,18.279142155711,0.0160248084528763,59705.35646378,17.6492553577867,0.0222123485439069
12,59714.37882968,17.8570810649965,0.00523974491191296,59361.26268712,19.073260458905,0.0262336921400774,59333.36069982,18.2552813184669,0.0176366969045923,59714.39065651,17.0329983421695,0.00859797153727577
13,59714.29234875,18.1040420462406,0.00753907491122799,59361.26642517,19.2437056560806,0.0295130843701348,59333.35444666,18.2258519060942,0.017765651249721,59720.38934292,16.8757788268731,0.0557427538517025
14,59331.33604215,19.7143354274778,0.0304912247396553,59361.27060602,19.261231255102,0.03175668808868,59714.38836081,17.272501105922,0.00864553342330423,59720.38564111,16.9631667890252,0.0661394942028015
15,59331.3438651,19.9156270209535,0.0357051374843674,59361.27431763,19.2477124212383,0.0297935985271699,59714.38700125,17.279966840192,0.00928901807435616,59720.38192946,17.0960830836821,0.0462887251608191
16,59331.34018693,19.7997202836401,0.0298065724323055,59361.27804888,19.3178134728656,0.0355041630720119,59714.38564795,17.2839332690123,0.00830521919900764,59720.37821053,17.3222976601926,0.0389594456702482
17,59361.24594945,19.7968207361028,0.0365653051553106,59361.28592178,19.3347110196445,0.0443182808754394,59714.38495191,17.2876506185029,0.0083912383926048,59720.37452253,17.4109363741178,0.0661370555481275
18,59361.24963204,19.8875700617525,0.0416176679386636,59361.28219742,19.2774311459848,0.0334230234260567,59714.38121137,17.2337250214602,0.00748988109581587,59333.36135592,18.0440517041492,0.0189340390877117
19,59361.25335414,19.9669468796234,0.0410143576273849,59361.28964367,19.4279365413413,0.0465686099598791,59333.36265545,18.3570396972821,0.0195249769432558,59333.35706098,17.9898943698393,0.018196565976183
20,59361.25752308,19.9990351295735,0.0408101178169863,59361.336909,19.7810402980005,0.0574159017620443,59333.36458897,18.32967008564,0.0197890942113507,59714.38905133,17.0307742596543,0.00844991246179995
21,59361.26124084,20.1874396368532,0.048908887362845,59361.34064391,19.8786845253249,0.0669804731320854,59333.36653041,18.4397941203049,0.0221054226154938,59714.38767809,17.0232582945993,0.00896683347941522
22,59361.26498338,20.1766341774981,0.0470430408166924,59361.34436559,19.8254673419171,0.0713986795127989,59333.3684577,18.3967332835878,0.0219822456081879,59714.38632637,17.0339451354331,0.00874754175618843
23,59361.26914827,20.3403396214551,0.0554667413409601,59361.34851303,19.9330749317017,0.0894916155291761,59337.4283384,18.5104196684587,0.0285760782097446,59714.3833578,16.9946861261751,0.0080815860155294
24,59361.27286509,20.2873257224046,0.0511249619413768,59361.35221434,19.7902712780513,0.0974460064736803,59358.29268775,19.1706994190039,0.0338575432817846,59333.3512144,17.9501774992141,0.0158108337152862
25,59361.27660876,20.3903524909356,0.0541571585144229,59361.35593222,19.8592191423597,0.096410612281226,59358.32341742,19.4883099400958,0.0455645797166684,59333.35510904,17.930629657069,0.0177112167671125
26,59361.2807495,20.4945939234767,0.0703619988033707,59364.27949464,18.7131577403035,0.0568593989143402,59361.24827172,18.4436846154754,0.027012913164986,59333.36331885,18.1208304638154,0.0209589552924649
27,59361.28447275,20.4909187522973,0.0960873987394132,59364.2869137,18.7806070076025,0.0873764100038601,59361.25196793,18.5145874075809,0.0279628479784959,59333.36525743,18.0164867241413,0.0204616389967481
28,59361.28821337,20.5872855571097,0.0822785958258974,59364.29472164,19.0080722428916,0.120142945463472,59361.25569104,18.5664509376292,0.0289702199646523,59333.36719625,18.0851533865578,0.0210736256667223
29,59361.33544473,21.107861609613,0.132674149944129,59364.30624673,19.1030348769003,0.100595452134782,59361.25988547,18.5480500137433,0.0277569607503092,59333.36912034,18.0058252410036,0.0195692451160692
30,59361.3391835,20.9502996428199,0.112811797171553,,,,59361.26359282,18.6794928251811,0.0306965671669452,59337.42899673,18.1054888393549,0.0269094590424727
31,59361.34291862,20.9363763168631,0.138350728801146,,,,59361.26733993,18.6301577868523,0.0239329330957548,59337.43100774,18.1610234424744,0.0272505209078519
32,59361.34705949,20.9516227240159,0.146537262349899,,,,59361.27151596,18.6603735079842,0.0234581734397929,59337.43167218,18.2093354449687,0.0300970947582757
33,59364.28176158,19.8411171505708,0.0475055661311174,,,,59361.27524024,18.7536285408009,0.0244897219676297,59337.43301631,18.1563929766801,0.0306763936762496
34,59364.29328454,20.1550012126558,0.119987475339141,,,,59361.27895357,18.774344949418,0.0350504397505463,59337.43234245,18.1267465558475,0.0299599376848344
35,59364.30480082,20.2073957934861,0.115383122838094,,,,59361.28310005,18.7714627432554,0.0345974697358176,59337.43505009,18.282883064774,0.0347939714652455
36,59364.37142702,20.7627687676576,0.0549312212085291,,,,59361.2905515,18.829015304779,0.0396114940427313,59337.43638952,18.2699251814004,0.0397603832451505
37,59364.37512696,20.5988182048548,0.0484085681400521,,,,59361.33782298,19.1984832572725,0.0515738674733198,59337.43704718,18.1580262002966,0.0351711196933699
38,59364.37881844,20.6963926213141,0.0781090288275069,,,,59361.34156155,19.3870140006069,0.0671891452227863,59343.41832688,17.4563318644753,0.0502879221419698
39,59474.02020215,20.821642360769,0.0848683121030277,,,,59361.34527078,19.281188484983,0.0691118009390241,59343.42247745,17.4666964128349,0.035187303197665
40,59301.30507931,18.0846971477378,0.00671325320086277,,,,59361.3494204,19.3402543452373,0.0766711360614866,59349.32994986,19.7513277979096,0.111186670114456
41,59301.30886015,18.1267527442076,0.00672266285786122,,,,59364.28040214,18.3881659689707,0.0426214021267835,59349.34155676,17.5775199551597,0.0336338322381027
42,59301.31261263,18.1834710019697,0.00755769846671546,,,,59364.28781545,18.5015178459777,0.0976559390781751,59349.34529875,17.4693453980205,0.0490728014219421
43,,,,,,,59364.29192728,18.4949922286217,0.0509058736531267,59358.29711016,18.9284912256274,0.0351562424932023
44,,,,,,,59364.3737844,19.0740072535355,0.0333114296460936,59358.31664507,19.1382454804789,0.0431319405605228
45,,,,,,,59364.37747223,19.0900339727073,0.0582785612354897,59358.33205664,19.2801002788285,0.049930945599764
46,,,,,,,59364.38118902,19.2014114160743,0.0364049758424323,59358.33574488,19.2754175629145,0.0501221858918001
47,,,,,,,59474.02996091,18.5861592790708,0.035473497239496,59361.2489484,18.1300106678943,0.0261507239119042
48,,,,,,,,,,59361.25638123,18.1693446157964,0.0246737874442835
