,g MJD,g MAG,g MAGERR,r MJD,r MAG,r MAGERR,i MJD,i MAG,i MAGERR,z MJD,z MAG,z MAGERR
0,59746.22928024,18.5281361437954,0.0137281855350779,59746.23443919,17.855156282041,0.0134066530599593,59755.23641354,19.5726868313101,0.0968185726766077,59755.24081551,18.9770576686793,0.093723859218456
1,59746.22555843,18.5101437654858,0.0133969756042767,59746.23072529,17.7839793721729,0.00977702317178772,59746.23907357,17.4452789284302,0.0159702031431249,59755.23708359,18.7963872652794,0.0635835072967965
2,59746.22182385,18.4483342542976,0.0129673302488959,59746.22701016,17.7625652900919,0.0104361640371737,59746.23536014,17.4225710721257,0.0150746126420655,59755.2333902,18.7698459628868,0.0467203024360641
3,59714.38190692,19.2830326499363,0.0159461979312776,59746.22327615,17.7168767786652,0.0089349889084459,59746.2316287,17.394508899189,0.0119140775741096,59755.22964433,18.7192164360863,0.0521691166925939
4,59714.37882968,19.2284022112541,0.0167717623879392,59720.38404649,18.0572524993759,0.0846809252848467,59746.22792422,17.3990796211362,0.009671865074466,59755.22593502,18.6698157640213,0.0792955744936278
5,59714.31241377,18.4265114587681,0.00814366151834344,59720.38032564,18.2632288318949,0.0400901786509359,59699.4192104,17.5224540004303,0.0287048414267524,59755.22222144,18.668429361712,0.0750479782657436
6,59720.38630177,18.517082586615,0.0973252180399637,59720.37663293,18.5501822984721,0.0861333851375699,59699.37001788,17.2674915947704,0.10176650881237,59746.23604577,17.0148958483872,0.0124970462651118
7,59720.38261377,18.6830989928091,0.0361288269430678,59720.37295301,19.0848154842623,0.14629502018472,59714.39133285,17.8934177853912,0.0145757784748296,59746.23230316,17.0256993919952,0.0103597718081457
8,59720.37888582,19.0037420790601,0.0318987829140783,59361.336909,18.359104050296,0.0161615499778629,59714.38836081,17.846624278108,0.0149054549642544,59746.22859754,16.9701830727867,0.00821019167203265
9,59720.37519756,19.439810194947,0.0600964713906423,59361.35221434,18.6666718955605,0.0363473718558352,59714.38700125,17.8539193191948,0.0160618202334432,59746.22487411,16.9322680270392,0.00923429849246902
10,59331.3475867,17.6927702867097,0.00563105051455772,59364.27949464,17.0349006637533,0.00960610743185187,59714.38564795,17.8183673972765,0.0133189867522877,59699.41987919,17.1536077997885,0.0321031323115958
11,59331.33233755,17.5926155083301,0.00441332556967986,59720.38774166,17.6842675680118,0.0318900024203057,59714.38495191,17.7870237700599,0.0130297676633538,59699.4161779,17.0876793025188,0.0161549537970513
12,59331.33604215,17.5935929672519,0.00470203219731966,59364.2869137,17.0890109288627,0.0157714045574947,59714.38121137,17.8244794435047,0.0125419722571799,59699.412443,17.1346618779585,0.0288052748119811
13,59331.32863986,17.6083824827444,0.00473512458001862,59364.29840988,17.175135368724,0.0262336522084828,59720.38864942,17.3442483572188,0.0714535242831762,59699.4087166,17.0944661353601,0.0142539197511721
14,59331.3438651,17.6584097984654,0.00490069099991279,59364.30996644,17.338434495678,0.104692883587764,59720.38496407,17.5589110304584,0.0533695888246926,59705.38246012,19.8194143233343,0.0987156893210367
15,59331.34018693,17.6275806005626,0.0045060288118834,59364.30254102,17.2572147395216,0.0328130759642584,59720.38124281,17.7875067547876,0.0493679317668591,59705.37875113,19.3774090871989,0.0643691660614015
16,59358.29028462,20.0292918660558,0.0243917710295761,59364.29472164,17.1783786538937,0.0255526659638681,59720.37385895,18.4569810750266,0.110574428909858,59705.37504078,19.5742250980313,0.113613226683564
17,59358.29405276,20.1329168671571,0.0261249055230376,59364.30624673,17.2788799839719,0.0198432322972992,59333.35444666,18.9630379237665,0.0338950604049315,59705.36764413,19.1979325094532,0.0613182527583135
18,59358.29778585,20.2329250317415,0.0278972286398718,59364.29102651,17.1328475798811,0.0336934190909899,59333.36069982,18.0778322086656,0.0151234281579472,59705.36391395,19.0375520508954,0.0860666244048548
19,59358.30194912,20.2485277677962,0.0292711822316393,59364.37656422,17.9402392757269,0.00926978723264245,59333.35055003,19.6265269115274,0.0518244724826656,59705.35275803,18.9281270354164,0.047659352537172
20,59358.30569993,20.365592449398,0.0327058352492411,,,,59333.35640282,18.6513796074264,0.024285144115192,59705.35646378,18.8543694608363,0.0659893729455466
21,59358.30943912,20.4783993682453,0.0375879363995016,,,,59333.35831918,18.3697486341207,0.0199141103777021,59708.33366227,18.3429176393665,0.026705715337253
22,59358.31732281,20.6468916175019,0.0412253574554089,,,,59333.36265545,17.8639764023645,0.0126836876777013,59708.32995346,18.354886251819,0.030556682447401
23,59358.32104983,20.8190447660424,0.0478957744399145,,,,59333.36458897,17.7224819096316,0.0114684723790371,59711.36064319,17.8576145797124,0.018084924471778
24,59358.32522027,20.9173412584291,0.053061707700572,,,,59333.36653041,17.5850555423623,0.0105870262562812,59714.39065651,17.4621598258963,0.0127160179173443
25,59358.32898108,21.01267594201,0.0622595014097057,,,,59333.3684577,17.5271766929903,0.0103906954571159,59714.38905133,17.3938756675842,0.0117093101549319
26,59358.33273088,21.107871206417,0.0638808943893067,,,,59343.41764622,18.7942984738251,0.0813186578994659,59714.38767809,17.4056671363418,0.0125385357602754
27,59361.25335414,18.3371560120161,0.0099601488251071,,,,59349.34459639,16.7695998922933,0.0116978287911575,59714.38632637,17.4027234054941,0.0119531473212818
28,59361.27660876,18.5790875232166,0.0108804818047404,,,,59358.29268775,18.2164628884377,0.0143194307059391,59714.3833578,17.3781899068359,0.0110496600355331
29,59361.33544473,19.2451817571292,0.0256642360591813,,,,59358.2964167,18.2251239806027,0.0142215477857516,59714.31548722,16.9298044280306,0.00737301357582929
30,59714.30724775,18.3659596808167,0.00804995485536922,,,,59358.30014513,18.293130288421,0.015153761428592,59720.38564111,17.3510459070312,0.088278484404912
31,59714.30352043,18.3232880303031,0.00737353407899064,,,,59358.30806681,18.3709814293443,0.0171622359985057,59720.38192946,17.4743113824464,0.0588005037190836
32,59714.29980204,18.2937508336248,0.00757270048457679,,,,59358.31179963,18.4395187572762,0.0178053957799603,59720.37821053,17.6675697132626,0.0353340200590952
33,59714.29234875,18.1959456982267,0.00794985488836191,,,,59358.31596714,18.4343100307608,0.0171449571538606,59720.37452253,18.2447656165888,0.112265159255636
34,59364.27806954,17.6246316366878,0.00568861584599727,,,,59358.31968871,18.4683325412606,0.0180041017708433,59723.34015036,18.8783156092381,0.0479663072090303
35,59364.28176158,17.6537880541634,0.00740863005451033,,,,59358.32341742,18.5085102158652,0.018906224562603,59723.33276268,18.9012849107371,0.0880702280134019
36,59364.28548028,17.6945845588364,0.0118007244730909,,,,59358.3276049,18.5681336368105,0.0199682075903221,59723.32906929,18.65837689783,0.0607930155850455
37,59364.30480082,17.9223893746498,0.0149855072784706,,,,59358.33136346,18.5774480786773,0.0205584217694074,59333.36135592,17.6717286635812,0.0134109171108125
38,59364.29697663,17.8272486938065,0.0295398921350361,,,,59358.33507361,18.6298032152223,0.0214383718186653,59333.35898348,17.9499562400535,0.0171930865428955
39,59364.28959116,17.7511948139952,0.0130673151909841,,,,59361.25569104,17.2831910764802,0.00966189945793658,59333.35510904,18.470939610235,0.0278803282673908
40,59364.29328454,17.7779132287316,0.0139965650663882,,,,59361.2905515,17.5058017377987,0.0126070864696246,59333.35315931,18.7486032033536,0.0303327959796737
41,59364.37142702,18.6782564413214,0.00904519328916139,,,,59361.3494204,17.9390686543378,0.0232715473019455,59333.35706098,18.168903542867,0.0206847529064892
42,59364.37512696,18.7482628209791,0.00949636999153049,,,,59364.28040214,16.8451116605856,0.0114332347065547,59333.3512144,19.1820034251016,0.0455777040104835
43,59364.37881844,18.8112314411791,0.0139466125592752,,,,59364.28411267,16.8387806379487,0.00836185587141331,59333.36331885,17.5555159661801,0.012559431925303
44,59473.98912837,18.5925946886525,0.0106771172250977,,,,59364.28781545,16.8732416575269,0.0156897545909357,59333.36525743,17.3674093395815,0.0112470841653255
45,59473.98540197,18.5497247381813,0.00994760980928496,,,,59364.3071615,17.1231423504542,0.0826156901609242,59333.36719625,17.3871802114663,0.0110931525897493
46,59473.99285059,18.6233634089238,0.0104512240910035,,,,59364.31088621,17.0663746446046,0.0565055101924231,59333.36912034,17.1703889493638,0.00925894461222157
47,59473.99700464,18.6839597518429,0.0115373635476777,,,,59364.29192728,16.8874845194084,0.0180732749479594,59337.34757059,18.8666365066715,0.0438247232339686
48,59474.00069563,18.7241283942666,0.0126817995835253,,,,59364.29932102,16.9146225301934,0.0694654234015473,59343.42247745,18.1415631246365,0.0736724357526563
49,59474.00441831,18.7674759688219,0.0119992707461346,,,,59364.3737844,17.4934988359165,0.00836365838982156,59343.42623374,18.137504099911,0.106237180976529
50,59474.00854985,18.8229433839525,0.0110862491037152,,,,59364.37747223,17.5308018712382,0.0143835850492034,59349.34155676,16.4652418376003,0.0121508459669302
51,59474.01229478,18.8647809845635,0.0122301803345337,,,,59364.38118902,17.5236301150418,0.00833243900563311,59349.34529875,16.4582900573389,0.0183449078219616
52,59474.01608182,18.9275276039142,0.0146221559912231,,,,59474.0184222,17.6240751258809,0.0110886796177409,59349.34906795,16.4548681377955,0.0291946790600779
53,59474.02020215,18.9342373737671,0.0148775120596072,,,,59474.02256059,17.6867027139036,0.0165219738651777,59352.33439941,19.5840880697091,0.0549786997822864
54,59507.00073851,19.5040410900265,0.023470292721468,,,,59474.02626736,17.6741921652865,0.0164092144273775,59358.29337654,17.7280502669232,0.0121156018339242
55,59507.00445355,19.6088736387231,0.0317647160430871,,,,59474.02996091,17.706636629343,0.0167862593240687,59358.29711016,17.7476872677862,0.0120605536113877
56,59507.00816019,19.606716183044,0.0292030095361585,,,,,,,59358.30081993,17.7805628456602,0.012489095504862
57,59507.01187961,19.6291841928721,0.0288841925927385,,,,,,,59358.30501581,17.825451510007,0.0132882201719861
58,59507.0156089,19.6742177267564,0.0307200449761009,,,,,,,59358.30875557,17.835694272152,0.0133510077464456
59,59507.01928749,19.8528282669177,0.0319485051822967,,,,,,,59358.31248134,17.8901541421417,0.0139415091952503
60,59503.99896498,21.2892703984945,0.0989112954857893,,,,,,,59358.32036804,17.9743817701506,0.0151145620063873
61,59504.01378348,21.8364971936525,0.163219888539236,,,,,,,59358.32409521,17.9304987622187,0.0144924900713128
62,,,,,,,,,,59358.33574488,18.1262033043943,0.017552216513075
63,,,,,,,,,,59361.2489484,16.8460801400382,0.0084871410521602
64,,,,,,,,,,59361.26428995,16.934151197217,0.00794542173067256
65,,,,,,,,,,59361.28753214,17.0727442546717,0.00987754396235968
66,,,,,,,,,,59361.29123987,17.1036377523623,0.0106996216201706
