,g MJD,g MAG,g MAGERR,r MJD,r MAG,r MAGERR,i MJD,i MAG,i MAGERR,z MJD,z MAG,z MAGERR
0,59746.22928024,19.5256824717441,0.0362493099564425,59746.23443919,18.2343522689216,0.0196845601135059,59746.23907357,17.7081841142352,0.0204046070530033,59699.41987919,18.3276816537421,0.0883337181422165
1,59714.29980204,21.1484305053085,0.107316156829179,59746.23072529,19.0372061833505,0.0319663754740236,59699.4192104,18.6157649319651,0.0840653246058415,59699.4161779,18.1663684655902,0.0425069089738153
2,59714.29607405,20.8628488938546,0.0821652402294057,59361.24737602,17.0097174893675,0.00548012126497929,59337.4283384,19.0760993192406,0.0494438422035768,59699.4087166,18.1000528142102,0.0357760460463627
3,59714.29234875,20.9389244984069,0.101521632009035,59361.25106087,17.0519218217375,0.00541996697242649,59358.2964167,17.1802951630045,0.00652895876986913,59705.37504078,18.6715275827752,0.0504488142737503
4,59361.24594945,17.3623235820386,0.0047505929699173,59361.25897516,17.1698285946005,0.00564409280747258,59358.30014513,17.2110862576794,0.00667957143335789,59705.36391395,18.4024919500161,0.053527240944427
5,59361.24963204,17.4068663549,0.00511817342542423,59361.25478564,17.102304086473,0.0053373703537123,59358.30806681,17.2705383460398,0.0073218456032228,59705.36018818,18.3682968586449,0.0389762679487752
6,59361.25335414,17.4556558335376,0.00497933429080252,59361.26268712,17.1962344426675,0.00548194277418648,59358.31179963,17.325203799807,0.00747986114980305,59705.35646378,18.2292524192592,0.0381275869986195
7,59361.25752308,17.5193228107347,0.00510462072764617,59361.28592178,17.504317497622,0.00946944818799012,59358.31596714,17.3741599051993,0.00768574125226879,59714.31548722,19.5223004177807,0.0766172991238708
8,59361.26124084,17.5670293760345,0.00527654905099792,59361.28219742,17.4467008024608,0.00725030282213695,59358.31968871,17.3861322681756,0.00784751677938421,59337.42967209,18.72157978048,0.0471496303891058
9,59361.26498338,17.6137992332848,0.00540677282414641,59361.28964367,17.5296062751673,0.00896449699765123,59358.32341742,17.4535512944835,0.00830353219329491,59337.43100774,18.2718995075129,0.0299189028985888
10,59361.26914827,17.6694040953438,0.00566784262798181,59361.336909,18.1485035297627,0.0143921611664381,59358.3276049,17.4823752840642,0.00851077071892041,59337.43167218,18.1126579534622,0.0276206561619948
11,59361.27286509,17.7285446133924,0.00579566314553765,59361.34064391,18.1825974775925,0.0152776079390207,59358.33136346,17.5096405859612,0.00884277586315842,59337.43301631,17.9376535700442,0.025065512903416
12,59361.27660876,17.7734775837171,0.00585105901043394,59361.34436559,18.3698761596595,0.020229633121219,59358.33507361,17.5546689350312,0.00919656048433033,59337.43234245,18.1046201182351,0.028758384162792
13,59361.2807495,17.8311971267488,0.00713871889428024,59361.34851303,18.3145394173834,0.0221820406470044,59361.24827172,16.9560993917595,0.00791495432889582,59337.43505009,17.6823686931065,0.0202230223932877
