,g MJD,g MAG,g MAGERR,r MJD,r MAG,r MAGERR,i MJD,i MAG,i MAGERR,z MJD,z MAG,z MAGERR
0,59746.22928024,19.4139919276748,0.0297416053566189,59746.23443919,18.5296656751195,0.0249193128755636,59746.23907357,18.6450859120078,0.0464775584247524,59746.23604577,18.2458348898942,0.0378815505754443
1,59746.22555843,19.4692655025361,0.0310163751299416,59746.23072529,18.5466995896079,0.0193177532339976,59746.23536014,18.6177192106265,0.043235867895565,59746.23230316,18.3312273081784,0.0330859716453415
2,59714.38190692,19.4229165492061,0.0171347491668551,59746.22701016,18.5793349065648,0.0218379535979441,59746.2316287,18.62174973649,0.0348832058519708,59746.22859754,18.2394532898523,0.0247793786059439
3,59714.37882968,19.4017125083489,0.0187589807425536,59720.38774166,18.5851624821176,0.0769769693157516,59746.22792422,18.6289426158292,0.0277040157302924,59746.22487411,18.3253988491382,0.0317908440478854
4,59714.31241377,19.7016112170214,0.0237087725961402,59720.38404649,18.4425345600044,0.121987125499814,59699.4192104,19.1164590819589,0.116227238986166,59696.38915295,19.2473405746318,0.0565670456008472
5,59714.30724775,19.756175978203,0.0260296011934686,59720.38032564,18.6487156400316,0.0543482373536042,59699.41549138,19.2261664044574,0.0580256395680083,59699.4161779,18.9302695322077,0.0815515731971808
6,59714.30352043,19.7411759744367,0.024189112755137,59720.37663293,18.6049476925499,0.0893011143763823,59699.41176101,19.3383734277184,0.067051900276802,59702.39205396,18.9091353311086,0.0369002788127597
7,59714.29980204,19.781570584997,0.02664622237847,59720.37295301,18.5285774209496,0.0952099143774401,59699.40801839,19.4289793996655,0.0698150116459166,59708.4253042,18.99012184108,0.0378821508537011
8,59714.29607405,19.8056427136203,0.0268039873118489,59361.24737602,18.8309044471494,0.0253283007626237,59714.38495191,18.5561461447819,0.0248873047015421,59708.42158452,18.8232782738931,0.0322149188195855
9,59714.29234875,19.762784294282,0.0307686979777796,59361.25106087,18.8263929619169,0.0234304873770019,59714.30216562,19.1209700952735,0.0308038104310106,59708.41786605,18.8523798265004,0.0346562837091647
