,g MJD,g MAG,g MAGERR,r MJD,r MAG,r MAGERR,i MJD,i MAG,i MAGERR,z MJD,z MAG,z MAGERR
0,59746.22928024,18.3312179529596,0.0120783179014114,59720.38774166,17.5603126331498,0.0253262801198476,59746.23907357,17.937925130002,0.0241151031098867,59755.24081551,17.8319707561569,0.033988170540951
1,59746.22555843,18.2915562508873,0.0112519290523824,59720.38404649,17.8222634099774,0.0612567749871269,59746.23536014,17.9399883117479,0.0234375987770526,59755.22593502,17.7244031846838,0.0358728685701054
2,59746.22182385,18.243959763018,0.0110409531322388,59720.38032564,17.6180826967382,0.0201790090621461,59746.2316287,17.9470487199847,0.0187967299353691,59746.23604577,17.7110739148333,0.0235447840589463
3,59720.38261377,18.1615830414638,0.017453256982373,59720.37663293,17.6043032391346,0.0293528640062397,59746.22792422,17.9023252474633,0.0152499771306253,59746.23230316,17.7754929984736,0.0202874564211967
4,59720.37888582,18.1796353489526,0.0137517471126805,59720.37295301,17.583824997324,0.0429776453037838,59714.39133285,19.045947200672,0.041224238684502,59746.22859754,17.7375275965828,0.0161768143495889
5,59720.37519756,18.1387909931566,0.0156255226657967,59361.24737602,18.4490550959702,0.0180466669791924,59714.38836081,19.0886977045983,0.0440085115334866,59746.22487411,17.6921705030281,0.0183489270185926
6,59720.3714969,18.1005686828951,0.0385920601658648,59361.25106087,18.4821815621046,0.0173857053492126,59714.38700125,19.0010945193448,0.0446236415647681,59705.37504078,18.5702194800092,0.0454715369477552
7,59331.33233755,17.9703972818367,0.00626622402979272,59361.25897516,18.531010126423,0.0172680773700886,59714.38564795,19.0506128745378,0.0408798064964688,59705.36391395,18.3732724582124,0.0452251890323802
8,59331.34018693,18.0289728650934,0.00651432968110401,59361.25478564,18.5459076505236,0.0174975694156049,59714.38495191,19.0523517008562,0.0412709826718115,59705.36018818,18.443087249613,0.0395922214396119
9,59331.3438651,18.0729923827959,0.00714530273419402,59361.26268712,18.5447082734904,0.0167870997803673,59714.38121137,18.9234449943603,0.0337713447609258,59705.35646378,18.3524394216691,0.0417810308166184
10,59331.32863986,17.935897721248,0.00642895321218759,59361.28219742,18.7771942339989,0.0218142367760323,59720.38124281,17.8111471548153,0.0447932668078568,59714.39065651,18.9200578901008,0.047028879561925
11,59331.33604215,18.0050011766836,0.00695223044007732,59361.28592178,18.7102881266381,0.0252634331708569,59720.3775355,17.8162220984129,0.0359729470927999,59714.38905133,18.9478832728144,0.047470409842343
12,59331.3475867,18.1034225953554,0.00840157955258611,59361.28964367,18.7423499957249,0.025216156309997,59720.37385895,17.7378793670523,0.055454784760459,59714.38767809,18.8655521846005,0.0477473563369136
13,59361.24594945,19.2828222499293,0.0231483729062351,59361.336909,18.9371353757193,0.0271508245967093,59358.29268775,17.7019791412055,0.00960174948910453,59714.38632637,18.79155440716,0.0426674709462656
14,59361.24963204,19.3505581475741,0.0256063120011884,59361.34064391,19.0473732779962,0.0315584466483078,59358.2964167,17.7146787410858,0.0095841410472528,59714.3833578,18.6756111626693,0.0367282068507983
15,59361.25335414,19.3744259289227,0.024151704428396,59361.34436559,19.0153599691772,0.0340390293667161,59358.30014513,17.7391980438421,0.00984465879248048,59714.31548722,18.2776066967772,0.0243008693422604
16,59361.25752308,19.3574092993208,0.023102953609394,59361.34851303,18.991884674424,0.0381972130987079,59358.30806681,17.7999434863372,0.0108391713897608,59720.37821053,17.7309900349004,0.0561665078318174
17,59361.26124084,19.3764812480564,0.0237683318997606,59361.35221434,19.0536835326961,0.0492699211736589,59358.31179963,17.7892667964911,0.0103982388126505,59720.37452253,17.5276186789542,0.0910228375158974
18,59361.26498338,19.4413655515238,0.0245105217326422,59361.35593222,18.8959232215539,0.0397753061265146,59358.31596714,17.8048971769908,0.0105053186350092,59723.33276268,18.4375620946096,0.0592071264653031
19,59361.26914827,19.5175428695589,0.0268273147438637,,,,59358.31968871,17.8543070453868,0.0110329026000971,59723.32906929,18.3864845445369,0.0489565772520206
20,59361.27286509,19.5523199450953,0.0267091577901576,,,,59358.32341742,17.8843179980721,0.0113659077310368,59337.42899673,17.1799128035105,0.0119455848002511
21,59361.27660876,19.5728681017386,0.0263502795216693,,,,59358.3276049,17.8482498939002,0.0110270734832706,59337.42967209,17.1810966918174,0.0119953241620971
22,59361.2807495,19.5596436107638,0.0301531460482182,,,,59358.33136346,17.8715807102863,0.0114308894016902,59337.43100774,17.1404130149069,0.0110613269968868
23,59361.28447275,19.6359138483677,0.0434763950107141,,,,59358.33507361,17.8885362991177,0.0116378029892644,59337.43301631,17.1100526237726,0.0121080576161252
24,59361.28821337,19.7060897448742,0.0367757106581346,,,,59361.24827172,18.8312575711595,0.0390908004561503,59337.43234245,17.0866209398441,0.0118154492527451
25,59361.33544473,19.9878415962556,0.0480762950557736,,,,59361.25196793,18.7103387440421,0.0338001785101563,59337.43505009,17.0681604778553,0.0118579065632722
26,59361.3391835,19.9234182643884,0.0443746449306795,,,,59361.25569104,18.7533368997007,0.0348071523263075,59337.43704718,17.0547376223246,0.0131952067545474
27,59361.34705949,20.1085517282472,0.0666964910280486,,,,59361.25988547,18.7425221713314,0.0333849142513963,59337.43638952,17.0815122172944,0.0136150916805965
28,59361.35077548,20.0038526538641,0.0686340578120817,,,,59361.26359282,18.7433518585103,0.0328198905517292,59349.33366344,17.6314324717829,0.0177952579204545
29,59361.35448144,19.8993356745558,0.0796888455555573,,,,59361.26733993,18.9320452255913,0.0321768650869799,59349.34155676,17.674061568886,0.036163616963341
30,59364.37881844,17.526230722326,0.00505835001650212,,,,59361.27151596,18.9210247752171,0.0304438006585578,59349.34529875,17.6722908498413,0.0581030303264599
31,59301.30507931,20.3384043690941,0.0506734636997795,,,,59361.27524024,19.0476391471817,0.0328913343529953,59349.34906795,17.5579633425891,0.0719683701067024
32,59301.30886015,20.3037617802416,0.0466690187022967,,,,59361.27895357,19.0398573871396,0.0451745952618734,59358.29337654,17.5882889820717,0.0113088570167765
33,59301.31261263,20.4026864379952,0.0565090262117615,,,,59361.28310005,18.9766595374502,0.0421988363740105,59358.29711016,17.5213273694456,0.0104683770012112
34,,,,,,,59361.28684333,19.0900133851279,0.0534116190162157,59358.30081993,17.611015602115,0.0113151343250637
35,,,,,,,59361.2905515,19.1294526317417,0.0526658959001211,59358.30501581,17.6087792289885,0.0114998838320943
36,,,,,,,59361.34156155,19.4133920511788,0.0686542005822635,59358.30875557,17.6075344387112,0.0114217229184713
37,,,,,,,59361.33782298,19.4436565642368,0.0651480439569418,59358.31248134,17.6315884048719,0.0116372144375782
38,,,,,,,59361.3494204,19.670482798738,0.103200023471415,59358.31664507,17.684755664998,0.0122994657094855
39,,,,,,,59364.3737844,17.4636143756843,0.00826799575390408,59358.32036804,17.6730643281901,0.0121225045623247
40,,,,,,,59364.37747223,17.4276169500849,0.0139611260496098,59358.32409521,17.6520759713231,0.0119034714081869
41,,,,,,,59474.02256059,18.1736775521551,0.0255061648571536,59358.32829823,17.7068564813099,0.0125198762120051
42,,,,,,,59474.02626736,18.1819317964883,0.0251973876445275,59358.33205664,17.7671160652219,0.0133171224903777
43,,,,,,,59474.02996091,18.2509682161688,0.0260154860685469,59361.2489484,18.5356667533654,0.0379933641972948
44,,,,,,,,,,59361.25265992,18.5087704394295,0.0341072214325268
45,,,,,,,,,,59361.26056766,18.5182211015808,0.033980809862481
46,,,,,,,,,,59361.26428995,18.6306017994422,0.0371479063277514
47,,,,,,,,,,59361.27219265,18.7472005098824,0.0322255359014302
48,,,,,,,,,,59361.27592331,18.7910894682473,0.0327053562821246
49,,,,,,,,,,59361.28377315,18.7761129932799,0.0466665949540184
