,g MJD,g MAG,g MAGERR,r MJD,r MAG,r MAGERR,i MJD,i MAG,i MAGERR,z MJD,z MAG,z MAGERR
0,59746.22928024,17.3792310675848,0.00559309969940136,59720.38774166,17.2375293711532,0.0322788457783413,59746.23907357,16.6966822338609,0.00823936880853299,59746.23604577,16.5274746782376,0.00820689318710301
1,59746.22555843,17.5477053614798,0.00619935369194717,59720.38404649,17.3029313434705,0.0289899209078242,59746.23536014,16.777083740141,0.00846714975213806,59746.23230316,16.6794117138658,0.00768207150875604
2,59746.22182385,17.7089107810829,0.00733209658556536,59720.38032564,17.1922746818875,0.0223083630646029,59746.2316287,16.8530557652994,0.00742638162359365,59699.41987919,17.270188077107,0.0295424635907208
3,59720.38630177,17.7651949045348,0.0343712090857983,59720.37663293,17.2828697763952,0.0285976297073795,59714.38836081,16.8086929829426,0.00626028831651526,59699.412443,17.0351144933741,0.0313625840562026
4,59720.38261377,17.6660632651655,0.0119593933259604,59720.37295301,17.2028955089526,0.0379747073990569,59714.39133285,16.8565137026456,0.00653457534061364,59714.39065651,16.638651627364,0.00652913241162678
5,59720.37888582,17.6421630360704,0.0101069936337092,59361.24737602,17.5641040790169,0.00918041659354673,59714.38700125,16.8891953402305,0.00732357579946393,59714.38905133,16.6630924801281,0.00655151283704462
6,59720.37519756,17.5725624102966,0.0117355568786383,59361.25106087,17.5820240707815,0.00887147474286905,59714.38564795,16.887565911916,0.00660203769984657,59714.38767809,16.6731735578026,0.00701553312797212
7,59720.3714969,17.6113347179585,0.027616819871753,59361.25478564,17.6297187585502,0.00879485416242809,59714.38495191,16.8850586385787,0.00652024308397251,59714.38632637,16.6805133344695,0.00683240811261344
8,59361.24594945,18.0795899268291,0.00891363105575166,59361.25897516,17.7095136180298,0.00939917408659769,59714.38121137,16.9368827544951,0.00641824785756791,59714.3833578,16.7191844195563,0.00669755825729779
9,59361.24963204,18.1184461952927,0.00962692018616057,59361.26268712,17.7006576423083,0.00892737943852352,59720.38496407,17.0907403162879,0.0398218100146506,59720.38564111,16.8069888930438,0.0596303777876136
10,59361.25335414,18.1606782030045,0.00935411003220743,59361.28592178,18.0205365984874,0.0149765601194273,59720.38124281,16.9918584334908,0.0233137616121288,59720.38192946,16.7764714322989,0.0341139990560336
11,59361.25752308,18.2036496527988,0.00930729078466769,59361.28219742,17.9372210614293,0.0116116555122281,59720.3775355,17.0134942872737,0.0169012080775747,59720.37821053,16.7253773451602,0.0316693215839774
12,59361.26124084,18.2709752840345,0.00992457896990819,59361.28964367,17.9923467403163,0.0144831693361017,59720.37385895,17.0137239111008,0.0362949203780375,59720.37452253,16.8398309779285,0.0552484582068045
13,59361.26498338,18.3095254089595,0.0101394837409537,59361.336909,18.74581197361,0.0258580638500536,59333.35444666,18.8403691229634,0.0333792132958463,59333.36135592,18.3950306780828,0.0278690182870265
14,59361.26914827,18.3749145957832,0.0108902969556585,59361.34064391,18.8064512640391,0.0283987256618751,59333.36069982,18.9446107188847,0.0363387195835141,59333.35706098,18.2263788974508,0.0237918822943237
15,59361.27286509,18.4111460422703,0.0107776558246598,59361.34436559,18.9139979507831,0.0352199740624908,59333.35831918,18.9947389827409,0.0386110653048486,59333.35898348,18.4209408316172,0.0287289776501689
