,g MJD,g MAG,g MAGERR,r MJD,r MAG,r MAGERR,i MJD,i MAG,i MAGERR,z MJD,z MAG,z MAGERR
0,59746.22182385,17.5373099636027,0.00575506773850497,59746.23072529,17.4360823237199,0.00727766892931055,59746.23536014,17.4392907719116,0.0146203843363751,59746.23604577,17.2821046636017,0.0153610634620382
1,59304.3751064,19.3840951439023,0.0178195094581721,59746.22701016,17.3828740956518,0.00764860289930403,59699.41549138,19.694295540813,0.0919538128610685,59696.39658599,19.447574994789,0.0558262517174722
2,59304.37141087,20.3137055022803,0.040582367129962,59746.22327615,17.2787296206202,0.00607260081031062,59705.36324158,17.6380116361565,0.0233018506615976,59696.38915295,19.3925575291869,0.0614540941317836
3,59331.3475867,18.1354992549885,0.00830875093112833,59361.24737602,17.6988615732056,0.00917789810893247,59714.39133285,16.8188326260866,0.00568151825775296,59696.38543986,19.2306698641446,0.0489266449888622
4,59331.34018693,17.9762925990691,0.00605976190461209,59361.25106087,17.8004342948386,0.00943756964937104,59714.38836081,16.8032244260585,0.00573668000497168,59696.38172518,19.2078092516795,0.0534221136387684
5,59331.33604215,17.893558999212,0.00616237080103696,59361.25478564,17.8539123213616,0.00936481268817922,59714.38700125,16.7947264700195,0.00613434927430542,59696.37799564,19.1108868342052,0.0486756795897993
6,59331.3438651,18.0525765157956,0.00685328661692161,59361.25897516,17.9333714132508,0.0100583899523944,59714.38564795,16.7822683862244,0.00544701474222072,59699.4087166,18.9810223104779,0.0626411641835898
7,59331.32863986,17.732673208113,0.00531181084929164,59361.26268712,17.9741502439815,0.00990332260857907,59714.38495191,16.7965082943119,0.00547604214327074,59702.39205396,18.1873161232732,0.0187202224712099
8,59331.33233755,17.7946221287566,0.00531021903058275,59361.26642517,18.0560766671905,0.0103289914722204,59714.38121137,16.7852768415735,0.00511242501053294,59702.38832518,18.1271263156133,0.0171578946968263
9,59361.24594945,17.9931665932274,0.00743823037892432,59361.27060602,18.1339906294712,0.0115574110417947,59304.37376885,19.9077825091532,0.0620671443133667,59702.3846048,18.0809606835274,0.0168744231909446
