,g MJD,g MAG,g MAGERR,r MJD,r MAG,r MAGERR,i MJD,i MAG,i MAGERR,z MJD,z MAG,z MAGERR
0,59693.39368089,21.6886945477415,0.0691212307018741,59699.41830274,18.3997076186718,0.0238258716367402,59764.17249574,19.8535748518699,0.0517072959223567,59764.17319428,19.0915023908237,0.04104097324919
1,59693.38999279,21.5519311205207,0.0621660464827645,59699.4145738,18.3230549711316,0.0171532257451503,59767.13584897,20.9871005928187,0.143016902967928,59764.17693469,19.162292775665,0.0344984923307398
2,59693.38626045,21.3805458405624,0.0520368404206441,59699.41082988,18.2366818048205,0.0197443118883792,59764.19132612,19.8995755895708,0.0441123241777251,59767.13652487,19.7847074089149,0.061873797764265
3,59693.38256567,21.34016778593,0.0506740804378877,59714.29380242,20.6194614368923,0.0889376769429106,59764.18758574,19.9191428028092,0.0467701622178264,59767.14024546,19.7205434271765,0.0506413648773526
4,59693.37505209,21.1578347139694,0.043630763497058,59720.37663293,19.1281899211503,0.118769390445666,59764.17998538,19.9485730304272,0.0502833626809655,59767.12913667,19.7723431207517,0.0638137574939377
5,59699.42055209,18.9766903964434,0.0218304521467915,59723.33118099,20.3538542565278,0.124676717179034,59764.18386514,19.9545327316857,0.0489690921095132,59767.12171723,19.8348936560905,0.0683907632789842
6,59699.41685156,18.980699280591,0.0214222757855854,59304.3728546,18.5398601435053,0.0110678748697582,59764.17625537,19.8469785823848,0.0463131565214961,59764.19201221,19.1097441965701,0.0294426452666218
7,59699.41313351,18.9860455534785,0.0178482859949507,59304.38808794,18.7124421980811,0.0124413744862022,59738.25936575,19.0710651590525,0.0216167356656814,59764.18827416,19.1607246531174,0.0321000008572998
8,59699.40563527,18.7957804716448,0.0180890524273986,59304.37654289,18.5869399526517,0.0113490895240818,59738.25568774,19.6996531480493,0.0374156679795692,59764.18454488,19.114637382729,0.0311528249059087
9,59720.38261377,20.068476237005,0.111042720301306,59304.38067617,18.621319861159,0.0116937786403629,59738.25199778,20.5513523037401,0.0787417557251163,59764.18065133,19.1259445129413,0.0322893432277918
10,59720.37888582,20.0179098542427,0.063610305355593,59333.35771837,18.7717227427228,0.0250977819123136,59726.32352324,21.1775265675131,0.115393580464131,59761.23347276,18.2453325529924,0.0140619177159109
11,59720.37519756,19.9486424853455,0.0833874373601478,59333.36398793,18.826889123149,0.0272180316181663,59726.31981716,21.0145141597563,0.111430698754839,59761.22975266,18.2027695103391,0.0137268017221979
12,59723.3185959,22.1024008266776,0.121180207722011,59331.34902007,17.7511963772503,0.00696864482945567,59696.38476022,20.8409938639379,0.13005613523429,59761.22226528,18.1336830150135,0.0125700298613045
13,59304.37924296,19.4105822446171,0.0152423587603146,59333.35382343,18.7274240422843,0.020190372478869,59693.39604149,19.2946015647928,0.0255304687105756,59761.21854599,18.1265637200494,0.0125229060295725
14,59304.37141087,19.3171827072648,0.0137154725602095,59331.33008203,18.7476577608395,0.0149243985001737,59693.3923255,19.2726556105878,0.0248353503290046,59761.21485116,18.0426318629802,0.0116618957078559
15,59304.3751064,19.3863275681153,0.0147686613563514,59714.30495326,20.7842343834084,0.0778703017031813,59693.38862738,19.222307805884,0.0234347329183864,59758.22491969,17.3138793267008,0.00865104546256236
16,59304.38664634,19.4924834727272,0.0162821313518021,59714.3012557,20.7092235201466,0.0863534316635547,59693.38490986,19.1826307486391,0.0226829139472462,59758.21748086,17.6090222685889,0.00887108469202051
17,59304.38294008,19.4726293135862,0.0153670478806354,59714.29752017,20.8177899703353,0.0901819069375476,59693.38111019,19.1265562421495,0.0216566794584391,59758.2137817,17.9336817296594,0.012954739379522
18,59304.3676979,19.2486187465075,0.0135434848898272,59333.35579187,18.723261116331,0.0236913341136423,59693.37740564,19.0952584014348,0.0206763804077333,59755.24081551,19.5926395041071,0.138120600514267
19,59331.33604215,19.0339942403694,0.0151892645903983,59333.36008128,18.808623874173,0.0258874207771178,59699.4192104,18.0257392671307,0.0387602012950816,59755.23708359,19.4765681318236,0.100208427657346
20,59331.32863986,19.6430093163296,0.0251939397007662,59333.36203857,18.8075836703965,0.0265598926367399,59699.41549138,17.9786163246632,0.0160718930929585,59755.2333902,19.6429432840034,0.0835027765776266
21,59331.34018693,18.714886397892,0.0102752895190673,59333.3518785,18.6973168531178,0.021551564851039,59699.41176101,17.9581366844505,0.0143345011808197,59755.22964433,19.6134507338717,0.0962087859159908
22,59331.33233755,19.2658044573415,0.0167126580187078,59331.33748594,18.2831240763831,0.00991736127419366,59699.40801839,17.9362238973272,0.0180082373208054,59755.22222144,19.2545324162762,0.107991587011924
23,59331.3438651,18.5089068259944,0.00920298282363856,59331.34162088,18.0280427645022,0.0079092510801757,59699.37001788,17.4695482398838,0.101930222071284,59746.23604577,19.7013803651573,0.130210403179365
24,59331.3475867,18.3871135898936,0.0095075888644128,59331.3453112,17.8326377781017,0.00730479976734166,59702.39137002,19.0777447257466,0.0243795464096854,59746.23230316,19.6000909801516,0.0923204483324775
25,59361.24594945,19.2185027525722,0.0210226890909299,59331.33377371,18.5155394845653,0.011544515178229,59702.38764865,19.0789001231773,0.0244787240101676,59746.22487411,19.8926320209608,0.115299911917164
26,59361.24963204,18.9700647933103,0.0178099903332295,59333.36591378,18.9109005883083,0.0334579860363971,59702.38020167,18.9643843760786,0.0219645780243947,59738.2600406,18.592696462607,0.0204241225403514
27,59361.25335414,18.707135528557,0.012953529834417,59333.36785823,18.8576253473224,0.0290929214846457,59702.37643671,18.9161559192698,0.0207653660299904,59738.25635942,19.171020880603,0.0318295445463629
28,59361.25752308,18.4652799578866,0.00991687992416345,59361.24737602,18.5147505076922,0.0173805532909897,59702.37272685,18.8859715997116,0.0190451439275931,59738.25267874,19.6842077367259,0.0511347696285972
29,59361.26124084,18.355583431535,0.00901463046816527,59361.25106087,18.2679951593481,0.0131190450431732,59705.38179221,20.418194957623,0.107068538943655,59726.31307259,19.6424469234446,0.0444332433160012
30,59361.26498338,18.3009678389231,0.00838858251177116,59361.25478564,17.9808995431872,0.00939394946247885,59705.36696175,20.2513686667458,0.144154695569901,59696.39658599,19.8618240596854,0.0688108040515465
31,59361.26914827,18.2935646956255,0.0083819843517959,59361.25897516,17.7768102361562,0.00792618295232173,59705.3595038,20.2043283389011,0.110536753022369,59696.39288871,19.6505895638032,0.0588149363477577
32,59361.27286509,18.3209094617018,0.00826564780392196,59361.26268712,17.6850615935145,0.00689516273394031,59705.35579479,19.8211461630538,0.0734220265815764,59696.38915295,19.7607200082638,0.0721299323450046
33,59361.27660876,18.3534648603959,0.00818830479946596,59361.26642517,17.6693200482798,0.00654523290667679,59708.42463182,17.8697793336056,0.00831543491248174,59696.38543986,19.771309205848,0.0669804868544649
34,59361.2807495,18.3954120230342,0.0101941021492575,59361.27060602,17.6710667947779,0.00691426119750565,59708.36335847,17.7614986571551,0.00971790310474373,59696.37799564,19.8270110935296,0.0772037835950369
35,59361.28447275,18.437630130228,0.0137912669600225,59361.27431763,17.685430390709,0.00647027496009194,59708.35964276,17.9815508128094,0.0123926759930107,59693.39672681,18.739370220316,0.0207002327082211
36,59361.28821337,18.476663303914,0.0117951647740387,59361.27804888,17.7429711702836,0.00786278216806825,59711.374786,18.668956877556,0.0158081133399456,59693.39299673,18.6505871721362,0.01916622376265
37,59361.33544473,19.1576085234153,0.0220805642871757,59361.28592178,17.8057660437629,0.0106066553800539,59711.37107485,18.6443522716457,0.0159688726667596,59693.38930663,18.6188127188058,0.0186471270185132
38,59361.3391835,19.1564701353158,0.021204421858238,59361.28219742,17.7637694063429,0.00807191798900009,59711.36738522,18.5959790318213,0.0145281187840966,59693.38558751,18.6156279595823,0.0184820918731367
39,59361.34291862,19.2834912696843,0.0295488341045052,59361.28964367,17.870587797652,0.0104179114585054,59711.36368709,18.5828661115818,0.0166332157540884,59693.38179148,18.5358378740424,0.0172651021642517
40,59361.34705949,19.2969638996442,0.0314255806166722,59361.336909,18.3970652519451,0.0154577843311344,59711.35996133,18.5391549823234,0.0161264770833514,59693.37808319,18.5134589968341,0.0170461272430239
41,59361.35077548,19.3114590089928,0.0361953436422316,59361.34064391,18.4640031903645,0.0167252420573708,59711.35624701,18.5130958122995,0.0173299014080149,59699.41987919,17.5968581694195,0.0386934528476307
42,59364.27806954,20.4266788664126,0.0584082265450119,59361.34436559,18.5003345697142,0.0197185535367572,59714.39133285,20.1259698334557,0.099313377082527,59699.4161779,17.6028450447518,0.0194987388307934
43,59473.98540197,20.7837263008611,0.0651228142207619,59361.34851303,18.5441692820532,0.0242104501018505,59714.38564795,20.2531736406599,0.107216533957074,59699.4087166,17.5456238677305,0.01824794789127
44,59473.98912837,20.9806353236184,0.0793507101448477,59361.35221434,18.5665584645332,0.0310646647164091,59714.38495191,20.4038056814182,0.125028953546847,59702.39205396,18.5486903414625,0.0215799532239602
45,59473.99285059,21.0273876824747,0.0796909665993301,59361.35593222,18.6079137920209,0.0298024932844209,59714.38121137,20.0695662574896,0.0838097910127417,59702.38832518,18.4950200993738,0.0200570998714139
46,59473.99700464,21.0216018168598,0.0847164018028906,59364.27949464,19.3656429217434,0.0904980476854387,59720.38124281,18.5512699884125,0.052758999281842,59702.3846048,18.4805617120432,0.0201688169281319
47,59474.00441831,21.2705163982189,0.0998913345717719,59364.2869137,19.4182951304268,0.110759178427136,59720.3775355,18.4847930832705,0.0846214482603015,59702.38088595,18.4319421839418,0.0191668226542533
48,59510.0018149,19.6125351643367,0.0145323385799145,59473.98684478,19.7762599737749,0.0395679198998306,59723.33577764,19.585250461062,0.0421530816983467,59702.37712614,18.4249151223372,0.0186529021952198
49,,,,59473.99057968,19.7439122803502,0.0404950348139234,59723.32467555,19.5155158734987,0.0314157340290988,59702.37340862,18.3320435975369,0.0159097451341654
50,,,,59473.99429097,19.8401360015849,0.0396041381099212,59723.32095099,19.4901111377266,0.032033798473459,59705.38246012,19.4923397856138,0.0607609426916085
51,,,,59473.99845183,20.0423810343893,0.049205988628311,59723.32839282,19.6916742034097,0.0654576353113307,59705.37875113,19.6400771909448,0.0633986769116325
52,,,,59474.00213741,20.027615480427,0.0555907799909404,59295.40689849,18.5861155078612,0.0156967627018852,59705.37504078,19.5364781486909,0.0811030165835794
53,,,,59474.00585367,19.9209938958227,0.041595902836111,59304.38157628,18.2451970096317,0.0118157300690895,59705.37132358,19.3643657774986,0.0434037301475337
54,,,,59474.01000728,20.0949893546256,0.0494127775701341,59297.3743035,19.272477678592,0.0252051804377307,59705.36764413,19.4817687589157,0.0646061738682207
55,,,,59474.01374682,20.155806383771,0.0486752681930069,59297.3668709,19.0877499314068,0.0214178613646566,59705.36391395,19.3260269289948,0.104551013623175
56,,,,59474.01751133,20.3553051930354,0.0683136709517648,59304.37744894,18.2017780551247,0.0112148189975362,59705.36018818,19.4697269358406,0.0817364855453761
57,,,,59507.02073106,19.5421035042837,0.0288817797816218,59304.37376885,18.1528388870552,0.0107840082726848,59708.4253042,17.4760948706344,0.00820718771880544
58,,,,,,,59297.3780411,19.314634675232,0.0266708184100557,59708.42158452,17.4584560236724,0.00804147550887036
59,,,,,,,59297.37058947,19.2277761586988,0.0243374242292942,59708.41786605,17.4470680327833,0.0084646216296684
60,,,,,,,59304.38528482,18.2466917786028,0.0113130983587648,59708.36773825,17.2462292737944,0.00682972017316339
61,,,,,,,59304.38900283,18.2748032764809,0.0118647072560106,59708.36404272,17.4022349265478,0.00798089304294736
62,,,,,,,59333.35249747,18.2823427065255,0.0129254124324533,59708.36033014,17.6453617483526,0.0108964735371861
63,,,,,,,59331.33468383,18.1578684756633,0.0113936882709788,59711.37545837,18.1873731117879,0.0146026109575022
64,,,,,,,59331.34252527,17.7172280514907,0.00807219663133465,59711.37174699,18.1660592161465,0.0138453204056151
65,,,,,,,59333.36265545,18.3530270920349,0.0178213953987451,59711.36805347,18.1384174133165,0.0133041741283696
66,,,,,,,59333.35831918,18.3166469038164,0.0173755390562416,59711.36435942,18.1200735386633,0.0142979496796858
67,,,,,,,59333.35640282,18.2755085872509,0.0157303354462596,59711.36064319,18.0937996791107,0.0185105513506335
68,,,,,,,59714.30961484,19.6634140231503,0.0404207452461921,59711.35692252,18.0655984667066,0.0150564102440532
69,,,,,,,59714.3058701,19.7141704193945,0.0424754939928897,59714.39065651,19.4886491396927,0.068700297924233
70,,,,,,,59714.30216562,19.6938330472052,0.042786915586138,59714.38905133,19.4189533380077,0.0628436523920883
71,,,,,,,59714.29471417,19.4245318553909,0.0337695695822874,59714.38632637,19.4128448259421,0.0647041171720421
72,,,,,,,59333.36069982,18.3300443615485,0.0170729438235811,59714.3833578,19.538633174083,0.0675759893076815
73,,,,,,,59333.35444666,18.2534145923641,0.0164901507748322,59714.31548722,18.9411731532409,0.0375345859012889
74,,,,,,,59331.33839933,17.9658385294228,0.00990887158654309,59714.31029501,19.0319111512514,0.0303869938865078
75,,,,,,,59331.34622234,17.5988209008526,0.00763095553739824,59720.37821053,18.0802669754183,0.0426628776357327
76,,,,,,,59333.35055003,18.2558767143996,0.0130140242131625,59723.34015036,18.9628337968567,0.0404335313557999
77,,,,,,,59331.34992456,17.5225478705369,0.0072232080443709,59723.33644186,19.0429439031524,0.0349677357253413
78,,,,,,,59331.33098645,18.3618781164613,0.0136076733476626,59723.33276268,19.0107578083573,0.0794302400079411
79,,,,,,,59333.36458897,18.3402635346817,0.0175090048352225,59723.3253581,18.8896985767196,0.0240648286052722
80,,,,,,,59333.36653041,18.3905532889649,0.0202626585958548,59723.3216336,18.8494289939536,0.0240323102259424
81,,,,,,,59333.3684577,18.3822423697497,0.0197837582616389,59723.32906929,18.8084764231436,0.0550698631239403
82,,,,,,,59337.34687562,20.0813965711398,0.075348431457277,59295.40759458,18.1512632335349,0.0137732213670871
83,,,,,,,59337.35845277,20.3123297931522,0.09403993119736,59295.40386431,18.0830524088389,0.012756949628061
84,,,,,,,59337.36213141,20.1424350326168,0.0825590027513427,59295.39494034,18.0275940856837,0.0118824627427045
85,,,,,,,59346.34690664,19.9792041039589,0.0517687174445656,59295.39121938,18.0419887437635,0.0121889759844857
86,,,,,,,59346.3506111,20.1782427309122,0.0586709623407593,59295.38745621,17.9692580860942,0.011234964502892
87,,,,,,,59346.35431065,20.0066012250651,0.0493313732134429,59297.37498176,18.6953502910973,0.02121216736307
88,,,,,,,59346.35848228,20.1533812990395,0.0583417428324454,59304.37812479,17.763293425162,0.00980682613903107
89,,,,,,,59346.36222896,20.1316467384808,0.0557940822315239,59297.36755245,18.5747099708491,0.0186022466141694
90,,,,,,,59356.27593022,19.6005691717276,0.033989227659279,59304.38225419,17.8066924625406,0.0102958023179011
91,,,,,,,59356.279629,19.6930661585938,0.0372684577381229,59304.37443698,17.7246765108964,0.00959782619078902
92,,,,,,,59356.28336674,19.6844060686679,0.0365002387696811,59304.38968996,17.9105631445212,0.0113167418334666
93,,,,,,,59356.28750547,19.7978980099937,0.0412224015334796,59297.40718828,18.980287088181,0.0258366157207058
94,,,,,,,59356.29494835,19.7860419447337,0.0396548807521259,59304.37074304,17.7031488159424,0.00954613417888234
95,,,,,,,59356.2991562,19.9517586232121,0.0473431082857318,59316.38485409,18.8662031113972,0.0245668245123525
96,,,,,,,59356.30290912,20.0054971793521,0.0504989377741975,59316.31532519,18.2631592708675,0.0149904968988087
