,g MJD,g MAG,g MAGERR,r MJD,r MAG,r MAGERR,i MJD,i MAG,i MAGERR,z MJD,z MAG,z MAGERR
0,59746.22928024,19.7924014612523,0.0400479188476815,59746.23443919,19.1867288497901,0.0393956609153641,59764.17249574,19.0377595136313,0.0263143695376105,59764.17693469,18.7584755049205,0.0256136980687887
1,59746.22555843,19.8271954757289,0.040456903691067,59746.23072529,19.2178648980614,0.0303220455445206,59764.18758574,18.8574363890843,0.0190671741391444,59764.19201221,18.6413871041555,0.0208604534670766
2,59714.38190692,21.5727346329338,0.10663378301941,59746.22701016,19.2079217112244,0.033050703331595,59764.17998538,18.8548041664769,0.0199607750244169,59764.18065133,18.7331733943919,0.0242187188892497
3,59720.38261377,19.6530819268192,0.0695436534985586,59714.38974847,20.4181217596114,0.0661860519686336,59764.18386514,18.8396064103251,0.0190667302117459,59755.24081551,18.8575923633341,0.0739484594286682
4,59720.37888582,19.5412857404632,0.0396789954414447,59714.29752017,20.8833835040265,0.0954961013900457,59764.17625537,18.959044926441,0.0221255425194448,59755.23708359,18.7836109005187,0.0536917361123244
5,59720.37519756,19.4969280150182,0.0485122082140242,59720.38774166,19.0593325311856,0.0748607476682064,59761.21416405,20.7442670461767,0.0959267501026688,59755.2333902,18.7847954674788,0.0401351235352736
6,59720.3714969,19.5743948743902,0.113199694543253,59720.38032564,18.9893633878452,0.0544664356812148,59755.24012612,19.0175809798391,0.0521312738754025,59755.22964433,18.697730141763,0.0431987785119877
7,59304.3676979,19.509780506516,0.0170396803304527,59720.37663293,18.8335267786437,0.0860164948713479,59755.23641354,19.0086870695918,0.04916156903331,59755.22593502,18.8225351200436,0.0816390863020195
8,59304.38294008,19.5215961245465,0.0160396782978542,59304.37654289,18.9027164229842,0.0148839936032126,59755.2327118,18.9233353751053,0.0318018137025693,59755.22222144,18.8306368650715,0.0742247893550881
9,59304.3751064,19.5286372754085,0.0168083567739073,59304.38067617,18.9002243108721,0.0147749983472223,59755.22896749,19.0656928026864,0.0497861207882324,59746.23230316,19.4246677621048,0.0823887245051086
10,59304.37141087,19.5282231308282,0.0167458491351365,59304.3728546,18.8545285501446,0.0145012010956621,59755.2252547,18.974115847927,0.0690099452542406,59738.24081286,18.7231194760945,0.0223242840373248
11,59304.37924296,19.529342771,0.0169880888707177,59331.33748594,20.1130572805551,0.0497041707322865,59755.22154499,19.062219037881,0.0578812298649326,59720.38192946,18.7450734510048,0.172744747926549
12,59331.33604215,20.6906688567121,0.0645209855586341,59331.33008203,19.8771451636358,0.0407455757213851,59746.23536014,19.3714677936981,0.0817046631528595,59720.37821053,18.6663657826879,0.0943384347607821
13,59331.33233755,20.6958959412476,0.0595259977114473,59714.39201148,20.3514483222835,0.0649849935507397,59738.25199778,18.9148640374451,0.0196573029312386,59295.40759458,18.7714510232265,0.0251416911173297
14,59331.32863986,20.5891925120542,0.0583723552978217,59333.34994327,19.08199632911,0.0294991056455843,59738.24827269,18.8665095363191,0.01822804762578,59295.40013739,18.8563721697373,0.0272422847124393
15,59331.3438651,21.0131026025869,0.0851316860416583,59333.36203857,19.1463868182156,0.0333552316400438,59738.24387993,18.9247095478186,0.0194794220589436,59295.38745621,18.961161605808,0.0280481311868607
16,59331.34018693,20.9866309821151,0.0760279753114378,59331.34902007,20.542262331213,0.0814485580914335,59720.38124281,18.8410845288299,0.117885291337244,59295.40386431,18.745258421073,0.0238536896702809
17,59358.31361304,21.5825522375754,0.0837010083399165,59331.34162088,20.2702294196239,0.0568960124707812,59720.3775355,19.0113701908577,0.105443383046346,59297.36383153,19.9693448496747,0.069688144143283
18,59358.32104983,21.1037153114031,0.0523590400871356,59333.35771837,19.0650529729307,0.030588826153273,59295.39426669,19.0173848668363,0.0218024736806766,59304.38968996,18.6823654049201,0.0230400024406966
19,59358.32522027,20.8690942019323,0.0428116763968776,59331.33377371,19.9319318333757,0.0400874800779501,59295.39945812,18.9438430873218,0.0207665957771142,59304.37074304,18.8125825777388,0.0256920960161549
20,59358.32898108,20.6064469553732,0.0360964795113629,59333.35382343,19.1255714598589,0.028157460791951,59297.35940992,19.817225892845,0.0433273664987851,59304.37812479,18.7899356310162,0.0250908410991101
21,59358.33273088,20.4463162656546,0.030037669366726,59333.36398793,19.0123938254176,0.0295881369925945,59304.37376885,18.9123619115109,0.0212239079091796,59304.37443698,18.7377849805191,0.0239571075771993
22,59361.24594945,19.8267815607454,0.0344402167020074,59333.36008128,19.0908430565059,0.0318576596341952,59297.3743035,20.4069315361432,0.0721382063098298,59316.41385325,18.7202952883133,0.0238311513779587
23,59361.24963204,19.7978168938993,0.0352605132216034,59333.35579187,19.0884689771481,0.0312004316346882,59304.38157628,18.8881197465928,0.0209585095848076,59316.37739454,18.9965005827292,0.0286547832929505
24,59361.25335414,19.8907183901482,0.0347916366273424,59331.3453112,20.3503183700173,0.0665452119749167,59304.37744894,18.910278061222,0.021250594408058,59322.36784379,19.7745009400003,0.057691698481441
25,59361.25752308,19.9764907944343,0.0365247080755136,59333.3518785,19.1160293727318,0.0298961227366407,59297.3780411,20.5333872634095,0.0831739939911103,59322.37957216,20.2616357154517,0.0890486262550831
26,59361.26124084,19.9661373602903,0.0362509150503507,59333.36591378,19.0597656894406,0.035916405159594,59297.37058947,20.3565827247406,0.069684117419182,59313.36895262,18.7531354479032,0.0226342747524559
27,59361.26498338,20.118195437742,0.040109211704671,59333.36785823,19.0707108988774,0.0346556672422258,59322.37092282,20.1302235956943,0.0579368712430492,59313.37636598,18.7934337484512,0.0233516475105897
28,59361.26914827,20.2448982757029,0.0455299092045369,59358.31088498,21.1848895952151,0.0979976204632499,59313.38726686,19.2078564901571,0.025443694373834,59316.38113463,18.9629280921744,0.0282938199903618
29,59361.27286509,20.2475613225642,0.0443581256722791,59358.31504564,20.8834551884028,0.0741466433850812,59322.37888494,20.2423963415689,0.0651264732694773,59322.36412198,19.4912470565875,0.0438967563990949
30,59361.27660876,20.3433938750265,0.0459374999420782,59358.31877252,20.8737410173254,0.0742135055907237,59329.37509988,18.9128728789429,0.0200841444508924,59313.38795898,19.0441410509228,0.0300837688006485
31,59361.2807495,20.3851941485211,0.0576572331499954,59358.32667653,20.2519698793965,0.04370521769535,59316.37671086,19.0718597869411,0.023504153566232,59316.38485409,18.9588269590003,0.0283370777996864
32,59361.28821337,20.5881503517593,0.0750289840712768,59358.33043937,20.001720640992,0.0352729113055337,59322.37511151,20.1787455081102,0.0598281472170745,59329.37583435,18.7433445456366,0.0238211367104107
33,59364.27806954,19.400843022473,0.0223054359174976,59358.33416702,19.8626087287357,0.0312085472380348,59316.38417023,19.0551037747338,0.022729642411673,59313.38423625,18.8946453788729,0.0258168968498112
34,59364.28176158,19.4279051316205,0.0302457249045252,59361.24737602,19.2325191365364,0.0317478329923905,59313.3756978,18.9857183463595,0.0194227559214647,59329.37974738,18.7028932036494,0.0228657109100573
35,59364.28548028,19.4262905184054,0.0464873496915232,59361.25106087,19.2046972410704,0.0282138877818842,59322.36344622,19.6569494521278,0.037310943695337,59702.37712614,19.1226381860248,0.0358256786110078
36,59364.28959116,19.4271434229051,0.0497868113304087,59361.25897516,19.3415529326989,0.0299448695839147,59322.38262921,20.3886610994359,0.0715025673168947,59702.37340862,19.2631254791032,0.0382744178495677
37,59364.30480082,19.4532458861073,0.053934106961962,59361.25478564,19.2313026768442,0.0268334717540223,59313.36827254,18.9902450446908,0.0204570568341407,59708.36773825,19.1488489186845,0.0363552593537918
38,59364.29328454,19.4306969182062,0.0537102514906571,59361.26268712,19.3507798853341,0.0281391821571197,59316.40943025,18.8977451993046,0.0208762118107438,59708.36404272,19.2308290947125,0.0413608570944024
39,59364.37142702,20.5641870274059,0.0405238042643244,59361.26642517,19.3611978056552,0.0269346886614314,59329.37903017,18.9541785727948,0.0207496008846242,59708.36033014,19.1064553378121,0.0406608581748989
40,59364.37881844,20.9441772159123,0.0851802882398925,59361.27060602,19.496805036419,0.0321758510832845,59316.4131674,18.9174761036379,0.0207962268883504,59708.33737273,18.7863214787367,0.0269866749759285
41,59473.98540197,20.174757855411,0.0372891365666862,59361.27431763,19.5306827754373,0.0309023222676707,59333.35055003,19.2209425415512,0.0304823924588297,59708.33366227,18.7520778477527,0.0342845672617789
42,59473.98912837,20.2143615612506,0.0402936244473738,59361.27804888,19.5846648181725,0.0378842937267166,59333.35444666,19.1407944042849,0.0353015225222848,59708.32995346,18.9375438003663,0.0431403582004877
43,59473.99285059,20.2737800267982,0.0397517969920589,59361.28592178,19.7149621721442,0.0563257303316104,59331.34622234,20.7249210035842,0.121237696095659,59711.37545837,18.7960113169196,0.0262298194242312
44,59473.99700464,20.4067855572215,0.0474906010720444,59361.28219742,19.7015726642985,0.0417437193918323,59329.39518696,18.9017514060286,0.0197317330953186,59711.37174699,18.8225016863642,0.025605717773705
45,59474.00069563,20.4939205979962,0.0555757455634369,59361.28964367,19.8688663460889,0.0611322965092522,59702.38020167,19.3692966995028,0.0326493800471473,59711.36805347,18.8134651621184,0.0251001676386247
46,59474.00441831,20.6426012827714,0.0563680650540689,59364.2869137,18.9393503254019,0.0750981207736843,59702.37643671,19.3097860830889,0.0302978951734744,59711.36435942,18.861376366134,0.0290520821377055
47,59474.00854985,20.7228057987904,0.0513995956994049,59364.28320447,18.84337231224,0.0172029809199312,59702.37272685,19.4596842820385,0.0324246259788091,59711.36064319,18.9072066146126,0.0394874056871636
48,59474.01229478,20.8044796561938,0.0591150985236521,59364.30254102,18.7358037396118,0.117565426924071,59708.36706189,19.4669981855893,0.0345876931994098,59331.34319682,20.5870501988449,0.132431464285749
49,59474.01608182,21.0926408717238,0.0900052158902112,59364.29840988,18.6692293883767,0.0903347860948275,59708.36335847,19.3925507832877,0.041525783849115,59329.39198398,18.7470389686071,0.0246657592102603
50,59474.02020215,21.1711540533476,0.0992259469529441,59364.37656422,19.8966625533825,0.0422120863093973,59708.35964276,19.3273274706315,0.0424273998594727,59333.3512144,19.1460879158606,0.0382873027831703
51,59480.02907986,19.7819366738865,0.0169384268587475,59473.99057968,19.532761087743,0.0335299510523581,59708.33669473,19.0228183957678,0.0246776287639167,59329.38366174,18.7598082666338,0.0256549970595887
52,59507.00073851,19.6343622531128,0.0228719643774842,59473.99429097,19.6514617174878,0.0333249082089891,59708.33297901,19.1245152446735,0.0383138481188464,59329.38805106,18.6291824142918,0.0214473204194122
