,g MJD,g MAG,g MAGERR,r MJD,r MAG,r MAGERR,i MJD,i MAG,i MAGERR,z MJD,z MAG,z MAGERR
0,59767.13721115,20.009640404938,0.0189959896470198,59767.1386539,19.0914037186687,0.0158643845546613,59767.13956657,19.4734972020888,0.0307701423456644,59767.14024546,19.4234275220941,0.0371588845270745
1,59767.12981291,19.9612024690739,0.0187148486214224,59767.13124842,19.1240576131069,0.017912342556224,59767.13584897,19.6108319706047,0.0378901497620808,59761.22975266,19.7735725418395,0.0517815973568077
2,59761.23043084,19.9667882821401,0.014262958768241,59761.23187427,19.075408141699,0.0127676836300544,59767.13215236,19.7092114692784,0.0437160972235017,59761.22226528,19.647985523067,0.0439389752941471
3,59761.22670343,19.996636479127,0.0150661705330191,59761.22815754,19.0948822365717,0.0134770087180035,59767.12103998,19.7385370410259,0.0444831559759608,59761.21854599,19.6411165994303,0.0438076367153647
4,59761.22296294,19.9724574528521,0.0142365677300836,59761.22441048,19.0750647084109,0.0134582127774785,59761.22156874,19.4885311506175,0.02844962803944,59761.21485116,19.6201867178647,0.0430265695350482
5,59761.21922863,19.9610911945526,0.0138082033908916,59761.22066538,19.0752531408996,0.0125806827449389,59761.21416405,19.5306317407788,0.0288628335701601,59758.21748086,19.4419167772107,0.0432880966083246
6,59761.21181865,19.9710939505633,0.0143580000584543,59761.21695506,19.052594481361,0.0125821302172514,59761.21785856,19.6117515404805,0.0316073414175718,59758.21002864,19.2337414235935,0.0370737451529646
7,59761.21552029,19.9639286859169,0.0137499870547106,59761.21325986,19.0341871983275,0.0121835043842786,59758.22422672,19.5443001118313,0.0401418698425189,59755.24081551,19.0711189834843,0.0832522527702212
8,59755.2377608,19.9407998558618,0.0387224436813711,59758.22703678,19.116115367001,0.0169443258013599,59758.22049475,19.4151327351009,0.0322143225470262,59755.23708359,19.125352363388,0.0717290185321087
9,59755.23407282,19.8629705269008,0.0313285081847744,59758.22331308,19.101981814157,0.0169218013476713,59755.23641354,19.1855757997815,0.0539972682891633,59755.2333902,19.0485779766216,0.0458637641341147
10,59755.23035399,19.8475029736479,0.0345229881984192,59758.21958847,19.0579689025732,0.0155440768612699,59755.2327118,19.1238632243312,0.0355124330043899,59755.22964433,18.9449639591777,0.0490497424273895
11,59755.22661632,19.787340975141,0.0476921121159331,59758.20843363,18.9652858781572,0.0150366592915493,59755.22896749,19.0605106133329,0.047432781366371,59755.22593502,19.0905740535367,0.0977302247625614
12,59755.22288889,19.8935355406755,0.0356001723718868,59755.23921297,18.9152098679435,0.027339630653542,59755.2252547,19.0587970593419,0.073412528852686,59755.22222144,19.1859562323448,0.0930051334400693
13,59755.21917293,19.9419025819383,0.0620188629107361,59755.23550657,18.8615289688124,0.0225281075648683,59755.22154499,19.1391530718353,0.0594605884190983,59746.23604577,19.1850728669779,0.0796930701446266
14,59746.22928024,19.9656367511471,0.0453766889522689,59755.23179445,18.893794412911,0.024543682677725,59746.23907357,19.1307084000179,0.0653647960176971,59746.23230316,19.0926922269831,0.0560808354418813
15,59746.22555843,19.9737595054798,0.0435540499008994,59755.22806086,18.8940208897723,0.0327713298993095,59746.2316287,19.1833026094319,0.0487358725311248,59738.2600406,19.0802475259614,0.0286589534271819
16,59746.22182385,19.959227918055,0.0445172371568775,59755.22434708,18.8871975943006,0.0527398116615034,59738.25936575,19.2565494479371,0.0245021853871686,59738.25635942,19.0951095185086,0.0281470224648611
17,59738.25703035,19.9088043265454,0.0135560374859119,59755.22063468,18.9079483479159,0.0319924012821214,59738.25568774,19.2043495667769,0.0231662114835878,59738.25267874,19.112058407194,0.030040478711295
18,59738.25334909,19.9168472125731,0.0146428787094224,59746.23443919,18.9097136879655,0.0282949804728832,59738.25199778,19.1442246206763,0.0213559050286554,59738.24894618,19.1017907496776,0.0273017495241957
19,59738.24962156,19.8626617693653,0.0130056175098897,59746.23072529,18.9068942694274,0.0212198949955121,59738.24827269,19.1376836694467,0.0195973961896374,59738.24081286,19.1372399238167,0.0278108217344366
20,59738.24592466,19.8865460405462,0.0125689410964908,59746.22701016,18.9725760304156,0.0256027907799283,59738.24387993,19.1806264354052,0.0211574128897908,59726.32793573,19.2272932679216,0.0277830649451049
21,59738.24150821,19.8654132001837,0.0125023947159999,59746.22327615,18.9429756942555,0.0210498507226619,59738.24012567,19.1586245696702,0.0203859872813656,59726.33167767,19.3312831747494,0.0310070144315383
22,59738.2377697,19.8841973115294,0.0125349675081459,59738.25846843,18.9329030635324,0.0113211684598637,59726.32725191,19.2619211979476,0.0214585861005675,59726.3242153,19.2197396835592,0.0280556746986691
23,59726.32863469,19.9558633860823,0.0129268629129358,59738.25478308,18.8930901445384,0.0108401433246024,59726.33100094,19.4062774624468,0.0249449409419933,59726.31678794,19.1034094292781,0.0249306802095562
