,g MJD,g MAG,g MAGERR,r MJD,r MAG,r MAGERR,i MJD,i MAG,i MAGERR,z MJD,z MAG,z MAGERR
0,59767.13721115,20.8986712138128,0.0439123448571272,59758.20843363,20.2547588781883,0.0512567184294776,59767.12103998,19.8908225971969,0.0529681011799701,59761.22975266,20.0136345888909,0.0713296883755349
1,59767.12981291,20.834872789293,0.042358630860318,59714.39201148,19.4572683731243,0.028615926925444,59764.19132612,20.2211194871947,0.0594753626293148,59761.22601599,19.8042927852407,0.0569711630303909
2,59693.39368089,20.6374093352406,0.0269544872335349,59714.38974847,19.5460249635973,0.0300854949229917,59761.22532102,19.750226613104,0.0410811489955197,59761.22226528,19.649163584532,0.0489032647001254
3,59693.38999279,20.6973962959095,0.0285623683691811,59714.38404335,19.6216718925818,0.0326569902898293,59761.22156874,19.6759219691104,0.03693939073947,59761.21854599,19.7720880909755,0.0555417763212872
4,59693.38626045,20.8041335332394,0.0305119264032098,59714.38028653,19.7188428023648,0.0313775775654272,59761.21416405,19.6092054290155,0.0342790229581382,59761.21485116,19.563168590117,0.0455725242174055
5,59693.38256567,20.7872070780161,0.0305228533108504,59304.3728546,19.646174966379,0.028244564678795,59761.21785856,19.6402054830544,0.035842937032775,59693.39672681,19.6148552857982,0.0457638776040302
6,59693.37876555,20.9283280909567,0.0343247313906734,59705.36975263,19.4296958105618,0.0697495944200262,59693.39604149,19.667968626222,0.0353303805656748,59693.39299673,19.8757829342173,0.0577770187940743
7,59693.37505209,21.0793121613806,0.0403082074675187,59705.36604104,19.6189161021895,0.104325883017885,59693.3923255,19.7308971007672,0.0370217323057611,59693.38930663,20.1322767007751,0.0736815035124115
8,59714.38190692,20.8036308054243,0.0538692059200189,59705.36232323,19.6547408919574,0.0385277321322914,59693.38862738,19.8537318186187,0.0407129128101659,59693.38558751,20.3628569364919,0.0870764474282099
9,59714.37882968,20.8368029144507,0.0630381777761528,59705.35487356,19.7299387190137,0.0668372155957212,59693.38490986,19.9314240987054,0.0432185708554663,59693.38179148,20.2636512700095,0.0814047357230561
10,59304.37924296,21.0140991918448,0.0640903255393969,59705.35116633,19.8969993197021,0.0524813579477458,59693.38111019,20.0796164007384,0.0492162140383087,59714.38905133,20.2392719025302,0.134075345458916
11,59310.36556582,21.3718852982286,0.0579332476990372,59708.35872777,19.489247354633,0.0349407973095293,59693.37740564,20.3075377126516,0.0600974106303676,59714.38767809,19.8717958112702,0.104527040355755
12,59310.36927641,21.3278269663339,0.0604926446085597,59708.33206731,19.3606899512155,0.0275879574612563,59714.39133285,19.7481777502611,0.0677735448068528,59297.36010305,19.8186301126891,0.0574795394960029
13,59705.37571607,20.6358048944144,0.0558116709936327,59708.32836805,19.4282451299983,0.0608100915352396,59714.38564795,19.9491947013575,0.0791582681133654,59304.37812479,20.4209346205861,0.0996397252579496
14,59705.3683208,20.7208062152573,0.0456321262081927,59304.38808794,19.9312590373942,0.035103940699334,59714.38495191,20.0043625128817,0.0837950566691643,59304.37074304,20.1824712793989,0.0854885994241375
15,59705.36459581,20.6297539293126,0.0667812236049084,59297.40930635,21.3082167418222,0.0976343896090452,59714.38121137,20.2158542396921,0.0927745303570265,59705.37504078,19.9427764937839,0.13269154949974
16,59705.36087859,20.8190649649329,0.0638597958196905,59304.369141,19.5976210077183,0.0262699973685042,59297.35940992,19.6646284455636,0.036674111761919,59705.37132358,19.7375035912163,0.0612399290923169
17,59705.35715983,20.7790531758484,0.111539746844019,59304.37654289,19.6272951064806,0.0271428304259894,59705.37065333,19.7279778070889,0.0710705024215921,59708.36404272,19.9435557860769,0.0763482127749801
18,59705.35342444,20.8421831219678,0.0552142692656658,59304.38067617,19.7914163422348,0.0313380079590728,59705.36696175,19.9753489292488,0.10455139473992,59708.33737273,19.5823364219329,0.0532626096305773
19,59705.34969354,21.1000533695955,0.070659911431627,59310.37856953,19.7881334903338,0.0322347169762635,59705.35579479,20.1966383083572,0.104227741991757,59708.33366227,19.6450483288595,0.0722794945703314
20,59708.32640313,20.5965853008223,0.0597327808042563,59329.37806715,19.4053896652026,0.0198754933946001,59708.36706189,20.0980642470065,0.0598586395122662,59708.32995346,19.627521951027,0.0790316026526649
21,59297.40417878,22.151141399654,0.102233213203248,59329.37413318,19.4190094359971,0.0201454177788683,59708.36335847,20.0954480737704,0.076292909924745,59297.37127933,20.173712712493,0.0796745032958744
22,59310.36182972,21.7422154314024,0.0820024332462878,59349.32835434,19.8673700863909,0.0474942334230361,59708.35964276,19.8062579467962,0.0666973465721071,59297.36383153,19.9086925251037,0.0642771474140785
23,59304.38664634,21.0533281675268,0.0658067677093974,59349.33207491,19.9439210933913,0.056747634481447,59708.32926786,19.7137434541681,0.0628870361646715,59304.37443698,20.4039381008787,0.104130931816796
24,59304.3751064,20.8387201971803,0.0534475072738446,59349.33997014,20.2047999889256,0.0644713844076432,59304.38157628,20.5414533076227,0.0896940565732947,59297.37872181,20.8176894989211,0.143856025401776
25,59304.3676979,20.777274910618,0.0523140122373506,59349.34745426,20.6108430639281,0.116331082930444,59297.3743035,20.1452371933796,0.0556180436484875,59313.37268271,19.4222010261832,0.0389823271770692
26,59304.37141087,20.8431212773039,0.0533210347915173,59358.29176854,19.512667405238,0.0210048949138876,59297.3668709,19.9787116640748,0.0478646429679151,59322.37578609,19.7463862279646,0.0566832634270871
27,59304.38294008,20.9626862131374,0.0578506028016061,59358.29549865,19.3647015611999,0.0189617814440745,59304.38528482,20.7213694149418,0.100356965419338,59313.36895262,19.4963523421913,0.0428197005537317
28,59310.37340598,21.1430390782445,0.0501737202044895,59358.3034093,19.4072234936639,0.0192853294055206,59304.37376885,19.9759507025903,0.0532159308082534,59313.38423625,19.5845418889264,0.0462384358064465
29,59297.40787003,22.4447250798426,0.14018443430575,59358.30714837,19.37098462532,0.0182001847962582,59297.36315395,19.8156294157949,0.041524981337211,59313.37636598,19.5048168793749,0.042222839702092
30,59329.37265569,20.6054023750554,0.0299131133231422,59358.31088498,19.365012809891,0.0190440200097375,59297.37058947,20.0569174025758,0.0520649796936248,59313.3805042,19.5641577136158,0.0439229494661511
31,59329.37658201,20.6113454598943,0.0303394895420101,59358.31504564,19.3368891759382,0.0180310451944331,59322.38262921,19.6546602448672,0.0357719947898995,59322.38330089,19.5893714637268,0.0478096924247166
32,59310.38088169,21.0299794877334,0.049584136980182,59358.31877252,19.3834944012568,0.0187750662330954,59322.37511151,19.7427241020747,0.0393111666504931,59322.37957216,19.8042506564918,0.0566055763504256
33,59329.38049035,20.5949869670334,0.0289485159193395,59358.32249103,19.3708936869763,0.0188973105206386,59322.37888494,19.6657224128466,0.0379701283450947,59322.36784379,20.112000974478,0.0762593149550719
34,59349.32690783,20.9183392883811,0.0673774406727143,59358.33043937,19.3860340794681,0.0195787021879851,59313.38355471,19.589814738338,0.0338251344997829,59322.36412198,20.1603888134888,0.0774283642407341
35,59349.33063142,21.1954141964853,0.0775580978831387,59358.33416702,19.4520809587541,0.0207185865598022,59329.37903017,19.4964153912843,0.0324610906584998,59322.37161325,19.8696540889778,0.0627593358289717
