,g MJD,g MAG,g MAGERR,r MJD,r MAG,r MAGERR,i MJD,i MAG,i MAGERR,z MJD,z MAG,z MAGERR
0,59764.18895038,19.8933192420886,0.0117272428553186,59764.19040429,18.6981910855702,0.00907207996100435,59764.19132612,18.3091293712911,0.0108423631006833,59764.19201221,17.8790079562018,0.0103772623829862
1,59764.18522856,20.257720991691,0.0163101496776929,59764.18666908,19.0511865441998,0.0120874033278934,59764.18758574,18.6108523986308,0.0145456334038603,59764.18827416,18.2530191493759,0.0147681317152131
2,59764.18132834,20.7836128762653,0.0261120978659795,59764.17907475,20.1303279385269,0.0370501445041515,59764.17998538,19.7735481628273,0.0426876803067736,59764.18065133,19.3101343570721,0.0387088846185023
3,59764.17762005,21.418679176601,0.0491575128013438,59764.18295583,19.4417676347659,0.018141297753496,59764.18386514,19.0212933609742,0.0210333843600501,59764.18454488,18.6265403627576,0.0205578312013298
4,59761.23043084,20.2191997396887,0.0148078222145227,59761.23187427,19.0840143571447,0.0120945038793186,59761.23278599,18.6904011996222,0.0152667849635898,59761.23347276,18.1635348747226,0.0134009426806039
5,59761.22670343,20.1640023116425,0.0145527084217874,59761.22815754,19.0276932082005,0.0120181726832778,59761.22906556,18.6209790542602,0.0143374233551119,59761.22975266,18.1306182137336,0.0132440490572763
6,59761.22296294,20.0678729247092,0.0130103216734574,59761.22441048,18.9571677582357,0.0114426791906143,59761.22532102,18.5558991836304,0.0139310533867864,59761.22601599,18.0722526295648,0.0125411278972815
7,59761.21922863,20.0033345580543,0.0122399765070409,59761.22066538,18.9124172136317,0.0104330629701572,59761.22156874,18.491539364574,0.012653755392791,59761.22226528,17.9981759710746,0.011446614436162
8,59761.21552029,19.9566494837784,0.0116726231445171,59761.21695506,18.8657696523871,0.010114842759657,59761.21785856,18.5119725758033,0.0128539014173829,59761.21854599,18.0086326950301,0.0115818279709245
9,59761.21181865,19.9305359683333,0.0117149218959192,59761.21325986,18.8055253448088,0.00957499513602064,59758.22793814,19.2435085382315,0.0286009128691695,59761.21485116,17.9364108688636,0.0108664498500609
10,59726.32863469,20.3632387351935,0.0152730180808511,59758.22703678,19.7202412470783,0.0257699135620778,59758.22422672,19.1516202999493,0.0286076278954001,59758.22491969,18.6708853001714,0.0292527897717208
11,59726.32489446,20.3000968264181,0.0146529945804287,59758.22331308,19.6679626150263,0.0247400706081046,59755.2327118,20.1650432691753,0.0946144328120907,59758.21748086,18.5924852545754,0.021461264473929
12,59726.32116828,20.2246939933217,0.0135594770181222,59758.21958847,19.6366207786221,0.0230546536719179,59755.22896749,20.1660778827964,0.134968533984601,59758.2137817,18.4287767314431,0.0211915840621414
13,59726.317456,20.1640659792586,0.0127116720020479,59755.23550657,20.8678853828251,0.126155209563399,59755.22154499,20.0957151849246,0.148968704704268,59755.2333902,19.7300200437559,0.0915817634976518
14,59726.3137479,20.1312736491278,0.0127475127644169,59755.22063468,20.5200037384936,0.12879110143101,59726.33100094,18.786970990173,0.0152577553763509,59755.22964433,19.5852476374776,0.0936405276533212
15,59726.31002041,20.0861231157418,0.0122041449366305,59738.2392183,21.5035313335641,0.0908649121306516,59726.32352324,18.6722488911834,0.0135692859378498,59755.22593502,19.4525977507861,0.144022662298184
16,59702.38157617,21.22381181436,0.0439671675529587,59726.33007993,19.1695422063514,0.0122686028153439,59726.31981716,18.6536720108957,0.0133741093571018,59755.22222144,19.3449762295093,0.117696713692221
17,59702.37781421,21.1295385070663,0.040949391028174,59726.32634283,19.1139057531175,0.0115616230477537,59726.31238711,18.5265484706814,0.0121681975905888,59738.24081286,20.303593349625,0.0858232197799122
18,59702.37407891,21.1133435435322,0.036081997795091,59726.32261027,19.0839957956021,0.0112929634504077,59702.39137002,19.5407465112314,0.0368414038157643,59726.32793573,18.2350628406951,0.0130618428061428
19,59702.37034151,21.074180468552,0.0320066399873864,59726.31889966,19.0258002668619,0.0105892968161147,59702.38764865,19.4552513086799,0.0342300617009387,59726.33167767,18.2925295883156,0.0137944260869128
20,59705.3794351,20.3831613812463,0.0330862026136184,59726.31519276,18.9581132445091,0.0101370682794745,59702.38020167,19.3678730061424,0.0311670195311885,59726.3242153,18.2078141328099,0.0127722166869164
21,59705.37571607,20.3275148570147,0.0351620448319782,59726.31147276,18.8984446704437,0.00979091131302567,59702.37643671,19.3299467803634,0.0293031974976901,59726.32048627,18.1620201282839,0.0122348521247776
22,59705.37201339,20.2079270947624,0.019791274916822,59693.38020048,22.4381717079948,0.171509095149444,59702.37272685,19.305264916247,0.0264774409494706,59726.31678794,18.1091966109652,0.0115702750696397
23,59705.3683208,20.138841845789,0.0219693213342323,59702.3904594,20.0208593298755,0.031628847097707,59705.37806714,18.7805102497402,0.0204174588422179,59726.31307259,18.0673078369827,0.0114975804152662
24,59705.36459581,20.1300308500349,0.0358059018519933,59702.38673784,20.0007059584939,0.033803003777821,59705.37065333,18.63819662814,0.0267261902835551,59702.3846048,18.9159219612501,0.0297016254133145
25,59705.36087859,20.050384815393,0.0266376644664626,59702.38301298,19.942651673124,0.0299967068270174,59705.36696175,18.5638250652694,0.0305504350702875,59702.38088595,18.861379513281,0.028200399006138
26,59705.35715983,19.931289564502,0.0453389866485171,59702.37551527,19.8325556046059,0.0265472325343027,59705.36324158,18.5289787579089,0.0420706988303103,59702.37712614,18.7979371090189,0.0259623487484751
