,g MJD,g MAG,g MAGERR,r MJD,r MAG,r MAGERR,i MJD,i MAG,i MAGERR,z MJD,z MAG,z MAGERR
0,59746.22555843,20.6858180654767,0.090871986609964,59746.22701016,20.1954089242093,0.0862308628686586,59767.13584897,18.8869425786908,0.0217229541374362,59767.13652487,18.9021702365295,0.0272759152931713
1,59746.22182385,20.3867062580432,0.0718760177188828,59746.22327615,20.1409350997726,0.0707337080753136,59767.13215236,18.7590337136685,0.0201982242221861,59767.14024546,19.0920683322741,0.0289022497884198
2,59714.38190692,19.2281905090365,0.0145482752254761,59714.39201148,19.4756096620139,0.0320847962591165,59767.12846405,18.7683655467285,0.0232360894057922,59761.21485116,20.3929484079288,0.0933574887260148
3,59714.37882968,19.062352618236,0.0138272247366917,59714.38974847,19.3847696053414,0.0278393128956341,59761.21416405,19.9039428941497,0.0453156528643478,59755.24081551,19.4144513009336,0.114208455842556
4,59714.30724775,21.2098095089552,0.0981815657623991,59714.38404335,19.0674573882932,0.0214380897483907,59738.24827269,19.4147881807367,0.0283954854300422,59738.24081286,19.099131232862,0.0288568070635453
5,59714.30352043,20.6793411165378,0.057280945367257,59714.38028653,18.8878988857971,0.0167243061728452,59738.24387993,19.2203951826492,0.0248280329028239,59702.39205396,19.2431928889434,0.0401759540356844
6,59714.29980204,20.3857057745473,0.0464927918340375,59714.30495326,20.2750951212598,0.0537386545117998,59702.39137002,19.1558053002264,0.0270990574849385,59702.38832518,19.0441136343008,0.0323285535510507
7,59714.29607405,20.1233423913175,0.0354216311148317,59714.3012557,19.999251558684,0.0487746939219222,59702.38764865,18.9970989325932,0.0236511968267301,59702.3846048,18.8341806031367,0.027409291788307
8,59714.29234875,19.9281020414315,0.0362840499721915,59714.29752017,19.919541651383,0.0424374146414175,59702.38020167,18.7655478216413,0.0189999176597133,59702.38088595,18.7934184308549,0.0259717289563294
9,59304.3751064,20.9273377245388,0.066001932492776,59714.29380242,19.6147659367041,0.0373919109054249,59702.37643671,18.8189032850863,0.0195456669823566,59702.37712614,18.782826858752,0.0254884496280443
10,59304.37924296,19.867679470039,0.0254913272173028,59304.38067617,19.4279026931551,0.0252222905835074,59702.37272685,19.0260448597071,0.0222047813102618,59702.37340862,19.146948116113,0.0323231140830742
11,59304.38294008,19.1370520562761,0.0129187315768521,59304.37654289,20.3285101602329,0.0567983190482894,59708.42463182,18.7267096887913,0.0173807993758764,59708.4253042,18.8401161702983,0.0259188455857536
12,59304.38664634,18.6799143633385,0.00901360343553864,59358.31088498,20.2250238113047,0.0453713259182017,59708.4209081,18.7450406975456,0.0178073178077539,59708.41786605,18.8931437677435,0.0291748224124686
13,59358.29028462,19.4574281355813,0.0147167765767965,59364.30624673,18.308846624397,0.0490168538338691,59708.41719576,18.871132636023,0.0201728037727047,59708.33737273,19.5904795760133,0.0520614284082189
14,59358.29405276,19.687007934972,0.0175142777703336,59473.99429097,18.6906255010098,0.0151611716062519,59708.33669473,19.4023604661705,0.0349945285207501,59708.33366227,19.3008557429896,0.0571056531405742
15,59358.29778585,19.8617755663568,0.0202426058015906,59473.99845183,18.8722470227435,0.0186811672469735,59708.33297901,19.2125771470441,0.041753993560755,59708.32995346,19.1522596966452,0.0467243022147787
16,59358.30194912,20.1580929441332,0.0263737495214269,59474.00585367,19.203011486159,0.02354381714685,59708.32926786,18.9724333644465,0.0340525410361057,59711.36435942,20.0102554105377,0.0757892025385304
17,59358.30569993,20.4149302780173,0.0330033529224423,59474.00213741,19.0323067488778,0.024368225527764,59711.36738522,20.0196231837033,0.0521162156314211,59714.38632637,20.0227718726362,0.110062069258889
18,59358.30943912,20.6674520273081,0.0419383602330558,59474.01000728,19.4727985594495,0.0302164418243435,59711.36368709,19.91451898555,0.0561705946420306,59714.3833578,19.8671072007754,0.0910711166699861
19,59358.31732281,21.3242807340806,0.0751651047464876,59474.01374682,19.6566076212002,0.0334926006142594,59711.35996133,19.4913131386395,0.0387240829816377,59723.34015036,19.4893399033546,0.063882566923032
20,59361.26914827,20.7383096433896,0.0758399882286222,59474.01751133,19.8336724697236,0.0451946959655839,59711.35624701,19.2685841602673,0.0338138911512353,59723.33644186,19.1199571371151,0.0362842161757615
21,59361.27286509,19.9226952169769,0.0350252019545664,59474.02164889,20.2135311240068,0.0786759318273329,59714.38700125,20.029789812414,0.102815002744563,59723.33276268,18.9759204401181,0.0749096737483348
22,59361.27660876,19.3354501457535,0.0198992984846179,59476.98807015,20.2560370133536,0.0766393109858883,59714.38564795,19.8716568451049,0.0761683296653112,59723.3216336,18.866746925236,0.0242486180875643
23,59361.2807495,18.7036419708484,0.0134078417114925,59476.9918246,19.341547249259,0.0322700270946651,59714.38495191,19.988824453975,0.0844140795268312,59297.36010305,19.4668634727165,0.0396246757850761
24,59361.33544473,20.9697883488475,0.112790248350444,59507.00218972,19.7331528680768,0.039128978034437,59714.38121137,19.5226149831464,0.0502431666310903,59304.38225419,20.5919857743744,0.119350584166935
25,59364.29328454,20.0085819657509,0.0962045811211445,59507.0058927,19.1135212126695,0.0252748581785752,59714.29471417,21.0584912105289,0.147852677752818,59304.38968996,18.8449538316662,0.0256070734866454
26,59364.30480082,18.5460787962247,0.0273345840599218,59507.00959476,18.6115074874722,0.0150785377284718,59723.33947054,19.2508650113558,0.0286461493316385,59297.36383153,19.6637030124229,0.0492238548677517
27,59473.98540197,18.576020077288,0.0100843228386147,59507.01332993,18.3464037417352,0.0129381995536687,59723.33577764,19.0399343214744,0.0269873693311483,59316.38113463,18.8799346834919,0.0245364312473097
28,59473.98912837,18.7257371935887,0.0115337430935979,59507.01704015,18.3052842257587,0.0118217940208729,59723.33208829,18.8696782540585,0.0360089940666804,59316.37739454,18.762346172894,0.0220197173779906
29,59473.99285059,18.8649749319125,0.0126052080987876,59507.02073106,18.3919883606108,0.0112563128677525,59723.32467555,18.6587205225439,0.0156745498519457,59313.37636598,19.8873936443457,0.0562523976600988
30,59473.99700464,19.0701310794209,0.016232470303157,59301.30652956,19.9503137236352,0.0445268336234179,59723.32095099,18.8480966825086,0.0191795791533806,59329.37583435,19.0717870114123,0.0299065239830723
31,59474.00069563,19.2673192879958,0.0203730278715194,59301.31032547,19.9381664082452,0.0419371229303113,59723.32839282,18.7929006016641,0.0295539250833174,59316.38485409,19.0366904544304,0.028354926087467
32,59474.00441831,19.4920825781352,0.0222741279153257,59301.3140691,20.0598576723072,0.049347686137588,59297.35940992,19.2965733686164,0.0269226713083736,59313.37268271,19.5113197208744,0.0402613287806836
33,59474.00854985,19.6888230514331,0.0231171063648834,,,,59304.38900283,18.8186945547664,0.0194117014792278,59313.3805042,20.2866376533777,0.0797504057311244
34,59474.01229478,19.9513915590654,0.0307570641583064,,,,59297.36315395,19.6295413452705,0.0365935587931452,59329.38366174,19.6545245899795,0.0532942237642021
35,59474.01608182,20.164649529322,0.0422040639795182,,,,59304.38157628,20.2658471701307,0.0714827858987974,59329.38805106,19.844267864907,0.059113438032106
36,59474.02020215,20.4664676611724,0.0577990296845057,,,,59304.38528482,19.2361878987564,0.027104571427971,59337.42899673,19.0141585842305,0.0515108817362736
37,59507.00073851,20.1999635539409,0.0406145629562063,,,,59310.36420114,20.7556009274189,0.104848847470986,59337.42967209,18.9245932583615,0.0474816438568457
38,59507.00445355,19.5598406501508,0.0287339252835616,,,,59297.37058947,19.9002188774592,0.0453320543410164,59337.43505009,19.2643371344929,0.0743542203904215
39,59507.00816019,18.9512476840184,0.0152448201661113,,,,59297.3668709,19.6966253148944,0.0371847215895868,59337.43638952,19.4485094850325,0.103471078696787
40,59507.01187961,18.5906868390477,0.0108890713268074,,,,59329.37903017,19.1476137623614,0.0246407108401449,59340.35949021,19.4980964968174,0.0527899009099673
41,59507.0156089,18.5076079794527,0.0104144519224851,,,,59313.36827254,19.1408552345896,0.0231439316933552,59340.36314149,19.9933714351623,0.0806509755258223
42,59507.01928749,18.5258616238979,0.0093284946559668,,,,59313.38355471,20.2183779865291,0.0603119566253694,59352.31484699,20.4702756259892,0.110460915022565
43,59301.30507931,20.132934186654,0.0381488685759155,,,,59313.37983084,19.8495976648914,0.039149976919987,59352.31854,19.214339282294,0.0342974286002965
44,59301.30886015,20.4251572542749,0.0473472999549552,,,,59313.37200115,19.3450058862423,0.0267572593980245,59352.32646197,18.8094721969077,0.0264272378565953
45,59301.31261263,20.5616680141496,0.0587232873555354,,,,59329.37509988,18.9673715273067,0.0210306741657127,59352.33439941,18.9948067770832,0.0274720102892428
46,59301.36665855,18.5813260288599,0.00849588666459861,,,,59329.38293301,19.5486923621985,0.0379768433610061,59352.33812561,19.2598250556525,0.0362109821955615
47,59301.37037301,18.4803509921023,0.00779721502103651,,,,59329.38734467,19.7522535837489,0.0434324971804962,59352.34184506,19.4341301457393,0.0416744346032908
48,59301.37409096,18.5141924714113,0.00808213080276605,,,,59337.4283384,18.9994633289323,0.0381753859828742,59358.29337654,20.6952150699236,0.139439116221447
49,59503.99896498,18.5828712948731,0.00869809684020556,,,,59340.35882505,19.5784160193224,0.0420036827809589,59361.28753214,18.7869543306255,0.0423772690972967
50,59504.00267761,18.7143943570867,0.00956372969509351,,,,59340.36247842,19.7830907465562,0.0479841727694639,59367.3191623,20.3821924094446,0.0939394624436823
51,59504.00639115,18.8820097433955,0.0112268608494062,,,,59349.32925812,20.2509083431263,0.100726888087492,59473.98843603,19.0664894350481,0.0376746889303581
