,g BJD,g Flux,g dy,r BJD,r Flux,r dy,i BJD,i Flux,i dy,z BJD,z Flux,z dy
0,59316.836814012546,7417.86362885917,405.8195345521793,59347.70997846375,6292.470326409495,387.21305847753297,59333.82678073632,3092.8861788617896,294.27424745147454,59312.831995058674,1605.6627649478023,222.7493839158289
1,59316.836814012546,7799.90094105993,383.6228687382041,59347.70997846375,6847.36646884273,365.9963308070501,59347.75064885129,5833.028455284555,303.67103521097687,59316.738727609634,3889.354634609302,275.50285731166804
2,59316.84199616521,8275.218755159318,419.2235608688648,59375.592246949025,12151.335311572699,542.2335486907058,59347.75545515717,5425.101626016261,297.26309965627297,59316.795346921965,4254.270800379629,296.3484915766624
3,59316.89899984454,9643.883110450715,367.2174045835701,59375.592246949025,12367.396142433232,498.71149694252875,59347.75545515717,6627.8455284552865,403.69166709719053,59316.80049413218,5462.9073078139845,313.7757176622769
4,59316.89899984454,9787.51857355126,365.6049592022043,59375.597032782964,12321.402077151333,456.9299276474201,59347.76026146304,5601.626016260165,345.80552293365764,59334.85176034589,1844.4321417273022,284.7075412968799
5,59316.904181997204,10021.297672114906,371.3152354205444,59375.601818616895,12602.744807121659,464.5419584537705,59347.76026146304,6228.252032520327,385.50173884734625,59334.85176034589,1724.6915533059164,266.61531711498816
6,59319.899466238276,7170.381376919267,372.8131100555412,59375.606604450826,12730.712166172105,443.8952831640526,59347.76026146304,6861.4837398374,385.7427133616385,59334.85176034589,2316.5928503638092,286.7919328199394
7,59319.899466238276,7360.73964008585,366.10842648252043,59375.61139028476,11686.016320474775,420.81777485840456,59347.76506776891,6614.634146341465,356.4958699242103,59348.78011117974,4056.3112938943386,281.94081596148544
8,59319.90464839094,7542.017500412745,361.18797156735855,59375.61139028476,12192.692878338277,462.3809537883118,59347.76506776891,5482.520325203253,371.59881831252227,59348.78011117974,3380.8921227459673,381.27856070568976
9,59319.90983054361,7806.835066864783,365.0337364414019,59375.61617611869,11505.007418397625,426.19981771077283,59347.76987407479,5699.08536585366,399.4238405975121,59348.78525838995,4493.435621638723,360.1307052019233
10,59319.91501269628,8087.667161961366,347.93671312653936,59375.62096195262,10958.64243323442,496.00666867683356,59347.76987407479,6100.406504065042,426.90332261306315,59348.78525838995,4311.689338816832,347.0219802405144
11,59319.91501269628,8069.6714545154355,371.60284751867596,59375.62574778655,10706.602373887239,457.34216263546955,59357.819859655865,1043.4959349593491,221.5152131498364,59348.78525838995,4293.736159443216,338.9326815791561
12,59346.85702440794,3282.978372131418,458.45425803770945,59375.63053362048,9972.551928783381,538.932065061914,59363.7364221859,1171.9512195121952,205.8259825073899,59348.790405600164,4223.505219867132,362.3696436810781
13,59346.86220656061,3497.2758791480937,427.2740936260218,59375.63053362048,10434.903560830859,539.2090836549855,59375.65125444583,6201.524390243904,457.0560640620847,59348.790405600164,2545.7133818411903,382.21010828469224
14,59346.867388713275,3408.287931319135,470.68280502241987,59375.678391959795,6306.750741839763,498.83854059642596,59375.6560607517,6135.365853658539,462.8400309880437,59348.79555281038,4133.343878519458,397.9934686822342
15,59346.87257086594,4194.6508172362555,423.65833685213903,59375.683177793726,6126.29821958457,532.4010841059493,59375.66086705758,6228.861788617888,426.373325031133,59348.79555281038,4265.501423600128,387.4792069347023
16,59346.87257086594,4509.493148423312,462.9678863905285,59375.68796362766,4481.268545994066,588.949189842832,59375.66567336345,5942.479674796749,434.5137564845158,59352.7743463043,3772.54033533692,419.78677689634463
17,59346.877753018605,4609.707776126796,535.1810089335565,59375.69274946159,4752.040059347182,655.9987818320222,59375.675285975194,4904.878048780489,331.69661808757064,59352.78464072473,3477.2223979753253,399.38421448020233
18,59373.81976473027,3225.028892190854,293.1184777800104,59375.69274946159,3571.772997032642,727.5951157591876,59375.675285975194,5629.369918699189,318.39340712043753,59352.78978793494,2918.2220816197414,401.5411792347842
19,59373.82494688294,3544.8241703813765,303.9645360352626,59375.69753529552,4370.178041543028,719.0397826563335,59375.68009228107,4732.926829268294,450.0962655002761,59367.726991970354,4943.609617209746,296.87013523695003
20,59373.82494688294,2880.6339772164447,270.3830671041421,59378.62167982771,4149.109792284866,348.36970201771777,59375.684898586944,4644.817073170733,434.6386321745181,59367.742433600986,4511.151534324583,301.86489519868314
21,59373.8301290356,2830.7743107148763,288.70380996346773,59378.63125149557,2952.7077151335325,360.50917218167695,59375.689704892815,4543.08943089431,483.5390928842658,59367.75272802141,4398.133502056313,312.20184257597776
