,g MJD,g MAG,g MAGERR,r MJD,r MAG,r MAGERR,i MJD,i MAG,i MAGERR,z MJD,z MAG,z MAGERR
0,59767.13721115,20.8875610760681,0.0398389993982035,59764.17157915,20.6951913583435,0.0588876117208276,59767.12103998,19.8748173175857,0.0454600875516706,59767.14024546,19.8831117032136,0.0487921228337281
1,59764.17762005,22.0747561895373,0.102738976944867,59767.1386539,19.9748288548537,0.0312857372798188,59738.25936575,20.2786932291727,0.0536307373230037,59738.25635942,20.4005888480235,0.0812913677759241
2,59738.25703035,21.1903283851316,0.0370288186957251,59767.13494108,19.9519975328913,0.0317640572078599,59738.25568774,20.3342311793425,0.05441165109102,59738.25267874,20.5278956960879,0.0921956788868206
3,59738.25334909,21.4250880321834,0.04988857154744,59767.13124842,19.8105279467639,0.02821230067367,59738.25199778,20.6078261075426,0.0688854989394841,59738.24894618,20.5626273922289,0.0900626891784182
4,59738.24962156,21.4553448444043,0.0472948912609156,59738.25478308,20.2020025955307,0.0294195508163394,59738.24827269,20.7180672946978,0.0711379847748917,59726.31678794,19.5993104605914,0.0338044919099865
5,59726.317456,20.8045949416339,0.0236845115081217,59738.25108083,20.2578122374213,0.0314653972331314,59726.31981716,19.6853527956127,0.0267981888324456,59693.39672681,19.8391068736352,0.043354597020063
6,59726.3137479,20.882485669327,0.0265529230402483,59738.24736776,20.3822970768007,0.0322956428398836,59726.31238711,19.7444170700872,0.0287015677599957,59693.39299673,19.9523711491807,0.0477067358095236
7,59693.39368089,21.0270737830347,0.0336575921607054,59726.31519276,19.7593323886807,0.0186965138947593,59696.39590722,20.0305738669668,0.0488450681303334,59693.38930663,19.9976653637263,0.0500040734594394
8,59693.38999279,21.0773031828538,0.0355329580030995,59726.31147276,19.8149660070885,0.0198442749483064,59693.39604149,19.9636048218645,0.0361042027108317,59693.38558751,20.1239211625852,0.0554701075399629
9,59693.38626045,21.1086724264923,0.0350606219368771,59696.39499921,19.9379868088714,0.0309181289095888,59693.3923255,19.9942334939969,0.0366612035526339,59693.38179148,20.1671226702721,0.0582705218439268
10,59693.38256567,21.1845979910268,0.0383236564550217,59696.39128142,20.0561211260299,0.040131959520436,59693.38862738,20.1537553420231,0.040723067613028,59693.37808319,20.5808906270159,0.0835200013750629
11,59693.37876555,21.3229179046359,0.0426621701638544,59696.38757551,20.023623893144,0.0379620561653234,59693.38490986,20.1769569844493,0.0414674880776528,59702.39205396,19.649215054971,0.0527675036822659
12,59693.37505209,21.3529433958138,0.0453849242637132,59696.38384905,20.074687658804,0.0375009735650662,59693.38111019,20.3249930582593,0.0488058323634331,59702.3846048,19.7229569790063,0.0549254825821041
13,59699.42055209,20.880303346255,0.0992804185867481,59693.3951219,19.9050699018554,0.0220368541653755,59693.37740564,20.3748400706744,0.0497182002314458,59702.38088595,19.8394092168961,0.0614297364423177
14,59699.41685156,20.7639185694211,0.0907196081295324,59693.38771523,20.0531000737537,0.0240184446589293,59699.41176101,19.7668590169771,0.0663213713582058,59705.37504078,19.7014935759533,0.089665708834585
