,g MJD,g MAG,g MAGERR,r MJD,r MAG,r MAGERR,i MJD,i MAG,i MAGERR,z MJD,z MAG,z MAGERR
0,59764.17389166,18.8092866447818,0.0063089855315912,59764.17534579,17.8384612630982,0.00546562177084985,59764.17249574,17.513029590058,0.00659642276474375,59764.17319428,17.2795736901564,0.00838817780324718
1,59767.13721115,18.670968569979,0.00592421908681334,59764.17157915,17.8357649164644,0.00543684111942396,59767.13584897,17.226621814071,0.00520805612692006,59764.17693469,17.2696552229899,0.00656362933121847
2,59767.12981291,18.6961696124896,0.00610030494029324,59767.1386539,17.6416396924309,0.00468069603984113,59767.13215236,17.221333323038,0.00535033290947199,59767.13652487,16.9317634741015,0.00515027180738196
3,59764.18895038,18.7787749486877,0.00542750340767454,59767.13494108,17.65282237984,0.00495549673273988,59767.12846405,17.254182437033,0.00562689724094692,59767.14024546,16.9115562417939,0.00456641348219235
4,59764.18522856,18.7902105391327,0.00562031664056609,59767.13124842,17.6410823503993,0.00486090215988115,59764.19132612,17.4416196583693,0.00518182765668577,59767.13283023,16.9839428515087,0.00554548089122055
5,59764.18132834,18.7979935701213,0.00572387550654738,59764.19040429,17.7965135015474,0.00470408415737206,59764.18758574,17.4478275140461,0.00537060761827023,59767.12913667,16.9509148496523,0.00540958121404152
6,59764.17762005,18.801384706094,0.00598959128785786,59764.18666908,17.8043389740261,0.00475636196834313,59764.17998538,17.4903669513869,0.00580965218916086,59767.12171723,16.9362231202268,0.00534270327072336
7,59761.23043084,18.6708465366618,0.00491011919041131,59764.17907475,17.8272415402586,0.00556211835897185,59764.18386514,17.460508159283,0.00551104165892212,59764.19201221,17.1955753980218,0.00560079379523454
8,59761.22670343,18.6783568754603,0.00501824519961513,59764.18295583,17.8277666077027,0.00512006329645987,59764.17625537,17.4917162049341,0.0058649873591548,59764.18827416,17.207138814112,0.00584721763660441
9,59761.22296294,18.6876537805644,0.00489685546674789,59758.22703678,18.5374618156541,0.00982223920753807,59758.22793814,18.1582427103998,0.010538453133809,59764.18065133,17.2475398891555,0.00621252970447237
10,59761.21922863,18.674916686478,0.0048534446486753,59758.22331308,18.5772823901678,0.010372763968727,59758.22422672,18.2262284603038,0.0118549596462292,59764.18454488,17.2257143697206,0.00603003109669394
11,59761.21181865,18.6811556410631,0.00489446235638754,59758.21958847,18.6542252123293,0.0104629647816362,59758.22049475,18.2339106720705,0.0108851496153728,59761.23347276,16.9368902586555,0.00471862723511457
12,59761.21552029,18.6607481298027,0.00479516971047409,59758.20843363,18.777491691955,0.0123428794681807,59758.21309134,18.3491863412642,0.0142454954793006,59761.22975266,16.9223959210315,0.0047041962026744
13,59755.2377608,18.6942404052018,0.0120930006553816,59755.23921297,17.6277226373135,0.0089778006317611,59758.20934725,18.3590726035103,0.0118742574573867,59761.22601599,16.9195195294817,0.00468280917199433
14,59755.23407282,18.6768936848364,0.0106425930476299,59755.23550657,17.6313199314412,0.0078631749872597,59755.24012612,17.2298769691411,0.0101176424237173,59761.22226528,16.9267408244863,0.00459457157738628
15,59755.23035399,18.691261833972,0.0121984739316455,59755.23179445,17.6214716242423,0.00828566199811299,59755.23641354,17.2363386015305,0.00981147771741598,59761.21854599,16.907603243191,0.00452970578322116
16,59755.22661632,18.6721838245498,0.0174733168373685,59755.22806086,17.6198117511842,0.0103721393954387,59755.2327118,17.1988927845907,0.00688667625462121,59761.21485116,16.9308267284931,0.00459758098473336
