,g MJD,g MAG,g MAGERR,r MJD,r MAG,r MAGERR,i MJD,i MAG,i MAGERR,z MJD,z MAG,z MAGERR
0,59764.18895038,20.7500576516707,0.031675374142411,59755.22806086,19.542314684955,0.0715762881929942,59755.23641354,19.7914810385836,0.101153804451423,59764.18454488,19.5568701747223,0.0495659423687236
1,59764.18132834,20.7426039572074,0.0334699648898812,59699.42200201,19.7173028816928,0.115659302172233,59755.2327118,19.6938809841257,0.0660179872797902,59755.2333902,19.7910257001621,0.101401879851652
2,59764.17762005,20.7694311995565,0.036476380598746,59699.41830274,19.6556519089868,0.0822468715301144,59755.22896749,19.7818685992436,0.099721916677935,59755.22964433,19.5350209827753,0.094203106765178
3,59755.22661632,20.94728580111,0.145572762739757,59705.35487356,19.99126124532,0.093592432525586,59702.38020167,19.9436834123138,0.0568407960024084,59708.4253042,20.0249576611093,0.0769877863494795
4,59738.25703035,21.1225343759026,0.0417283435414825,59708.32836805,19.5246442654235,0.0692616853812775,59708.42463182,19.7250795951048,0.0404766253043119,59708.36773825,19.6812851794016,0.0603709113589815
5,59738.25334909,21.1418976488644,0.0457408685277965,59714.31387105,20.0773400601895,0.0474913410322061,59708.41719576,19.8390522013357,0.0477231538256008,59708.36033014,19.7900630767668,0.0801834471716058
6,59738.24962156,21.1329107225408,0.0418469080974073,59714.30870669,20.0331102252233,0.0459510989986191,59708.36335847,19.6750095102041,0.0563079153429299,59708.33737273,19.6365873980136,0.0579369374471649
7,59738.24592466,21.1309847675472,0.0392228042886037,59714.30495326,19.9828947439695,0.0398497420932919,59708.32926786,19.6518481599268,0.0689780175216566,59708.33366227,19.9070275641991,0.117744800884684
8,59726.32863469,20.6653698025662,0.0255899795624435,59714.3012557,19.8767209679415,0.0435615466896525,59711.37107485,19.9756318045718,0.0542031397202322,59708.32995346,19.4937391814073,0.065863007628853
9,59726.32489446,20.6603927147784,0.0253474296642082,59714.29752017,19.8399165378981,0.0391325600246387,59711.35624701,20.056190433607,0.0637116237260145,59711.37174699,19.8444027615526,0.0622506389479011
10,59726.32116828,20.6433225646656,0.0244635905255588,59714.29380242,19.9098531183791,0.0495108698147308,59310.36420114,21.0220828525787,0.131719801487772,59711.36064319,20.0057933315649,0.102922273653882
11,59726.317456,20.6040853908502,0.0231446525406665,59720.38032564,19.3931753621693,0.119687539395227,59304.38528482,19.6771879861929,0.039239030478789,59304.37074304,19.5290867164736,0.0472702473201644
12,59726.3137479,20.6754470112579,0.025631652525209,59723.32748491,20.0222646738083,0.0598661188395648,59304.38900283,19.6936235277997,0.0415540847266564,59297.40349798,20.1791059336044,0.0762960550827584
13,59726.31002041,20.6162566777251,0.023789997525801,59304.38067617,19.5010664274616,0.0262597945850001,59304.37744894,19.6825985428753,0.041315406536666,59297.41089538,20.3957041197582,0.0920338197907647
14,59693.39368089,20.9067403843774,0.0341902889840281,59304.3728546,19.4821134407718,0.0267354010584661,59310.36792446,21.0376464968935,0.129909005567324,59304.37443698,19.5641406352936,0.0483752956669639
15,59693.38999279,20.9389416810378,0.0353353261641263,59304.38808794,19.5156080290506,0.0265821955553299,59304.37376885,19.5700382850698,0.0373211550158871,59304.38225419,19.6903398073806,0.0548986413280875
