,g MJD,g MAG,g MAGERR,r MJD,r MAG,r MAGERR,i MJD,i MAG,i MAGERR,z MJD,z MAG,z MAGERR
0,59767.12981291,20.9313255374339,0.0476311765539246,59764.17157915,19.6556533804569,0.0270723242575492,59764.19132612,19.7027153645435,0.0335875993974644,59764.19201221,19.5713987127885,0.0407221770346764
1,59764.18895038,20.7033513219416,0.0303533533669917,59764.19040429,19.6833499060346,0.0231480358658577,59761.21416405,19.7157268658039,0.0333823471215496,59761.22226528,19.5009051311046,0.0377188659115801
2,59764.18522856,20.7047853922691,0.0313509157311575,59764.18295583,19.6966364516017,0.0258772705947112,59761.21785856,19.7103652077754,0.0337821816211551,59761.21854599,19.5266475401998,0.0385897252401292
3,59764.18132834,20.6644461465921,0.0311266434790081,59761.21695506,19.6731012061681,0.0223938186871836,59738.25936575,19.6525713969966,0.0339241046407014,59738.25635942,19.5531835796926,0.0412162898542728
4,59761.23043084,20.6159430363619,0.0271936707918896,59761.21325986,19.6748857802497,0.0220621185536663,59738.25199778,19.762415821546,0.0359993517240706,59738.25267874,19.5693758893867,0.0436775115033275
5,59761.22296294,20.6580584752739,0.0279506215206852,59738.25846843,19.6392432419875,0.0216562165164482,59738.24827269,19.6999723523782,0.0322098364836629,59738.24894618,19.6059204294717,0.0417495568740892
6,59761.21181865,20.6450916403678,0.0278850394110646,59738.25478308,19.6450693143347,0.021464618017301,59738.24012567,19.6771826381704,0.0316531644285514,59738.24081286,19.7015747106632,0.0446450193580807
7,59761.21552029,20.6649193697797,0.027366513602998,59738.25108083,19.6829768371402,0.0223447911758525,59726.32725191,19.8439280001178,0.0353275897213428,59726.32793573,19.8395638108089,0.0468021606140252
8,59738.25703035,20.7225280277459,0.0296507838007666,59738.24736776,19.6656329005888,0.0208077094180172,59726.33100094,19.9223011328554,0.038587918167668,59726.33167767,19.8768664001899,0.0488313224805051
9,59738.25334909,20.7420124520376,0.0324399296542041,59738.24295096,19.7374523039476,0.0228120380628383,59726.32352324,19.7666166318643,0.0328082471469224,59726.3242153,19.7111380780077,0.0424133933388783
10,59738.24962156,20.7379754094399,0.0299305817247843,59726.33007993,19.7980795762591,0.0233266794874857,59726.31981716,19.7567721897805,0.0322862659160096,59726.31307259,19.658030215533,0.0406426804186075
11,59738.24592466,20.7580516863415,0.0290026423374205,59726.32634283,19.7540535856963,0.0222540107556708,59726.3160965,19.710413014974,0.0310847109582975,59693.38558751,20.1427752626559,0.0628297047322669
12,59738.24150821,20.7403979044477,0.0289017550102323,59726.32261027,19.7374139760566,0.0218482091204837,59726.31238711,19.6679857798813,0.0304257393677185,59693.38179148,20.2068876948565,0.0674995222472477
13,59738.2377697,20.7801831886641,0.029478267635153,59726.31889966,19.7206201560396,0.0211998615823931,59693.3923255,19.9534149571425,0.0400827558501196,59708.41786605,19.5707554787427,0.0493769811046422
14,59726.32863469,20.7916216590784,0.0291639965296817,59726.31519276,19.7101741081045,0.0211282406724844,59693.38862738,19.9650337565355,0.0395851547068263,59708.36404272,19.7212102841551,0.055758211441449
15,59726.32489446,20.7525373791562,0.0282655608116364,59726.31147276,19.6681749644535,0.020708201013194,59693.38111019,20.0036421356368,0.0418134320535443,59711.36805347,19.7205451800974,0.0483070809852222
16,59726.32116828,20.7165508062243,0.0270003395374022,59696.39499921,19.6953665411413,0.0285512216346695,59693.37740564,20.1157877747293,0.0454222837706475,59711.36435942,19.6971518396871,0.0528068413478686
17,59726.317456,20.7684091289014,0.0276885996750575,59696.38384905,19.7394912053155,0.0320873545984374,59708.42463182,19.555785686018,0.0315922588798486,59711.36064319,19.5805337743013,0.0635757972205215
18,59726.3137479,20.7283436999386,0.0276450265857376,59693.3951219,19.7958853315818,0.0234639486214423,59708.4209081,19.6078743206055,0.0335598963065068,59711.35692252,19.7125417286425,0.0563133076405096
19,59726.31002041,20.6502873301712,0.0253841374811775,59693.39142491,19.7713103590727,0.0232741057233944,59708.41719576,19.622688665406,0.0347035236670283,59714.31548722,19.9976200296119,0.0940441553022055
20,59693.39368089,20.6727699463369,0.0281169533450356,59693.38771523,19.8527191130334,0.0238257871361609,59708.36706189,19.7264948421704,0.0387318824897543,59714.29540328,19.7682112886633,0.0554613030789009
