,g MJD,g MAG,g MAGERR,r MJD,r MAG,r MAGERR,i MJD,i MAG,i MAGERR,z MJD,z MAG,z MAGERR
0,59746.22928024,20.0666375346244,0.0541631774643807,59755.22434708,19.5741053475478,0.112307695091973,59755.22154499,18.6106555246484,0.0389303819989115,59755.22222144,18.4591076781077,0.0496857126649465
1,59746.22555843,20.2160839492232,0.059009069621485,59755.22063468,19.3710440873589,0.0551457540210693,59746.23907357,18.6234505611405,0.0412818783204212,59746.23604577,18.4749575712982,0.0412047216995031
2,59746.22182385,19.915088688962,0.0467886826271526,59746.23443919,19.4521947366977,0.0485645364352431,59746.2316287,18.6242019793708,0.0297191255789732,59746.23230316,18.5406075037386,0.0337648609682985
3,59714.38190692,19.9174246504177,0.0263799100368881,59746.23072529,19.4836223344072,0.0378710603016554,59746.22792422,18.6549412143338,0.0240513040978821,59746.22859754,18.5051552086866,0.0247724257665987
4,59714.37882968,19.976421381525,0.031165592069375,59746.22701016,19.6308264564877,0.0494995286236437,59738.25936575,20.1614198800334,0.0555656446386121,59726.32793573,18.2948178048877,0.0123057034486174
5,59714.31241377,19.9377458717798,0.0292477560305865,59746.22327615,19.4058280957454,0.0342475285006181,59726.33100094,18.5202674811311,0.0119672613797191,59726.33167767,18.2908824958667,0.0125578211918736
6,59714.30724775,19.9431437903426,0.0305299494815531,59699.42200201,19.3996412605027,0.0795770320992324,59726.32352324,18.4757383150949,0.0113829195702727,59726.32048627,18.3120775488598,0.0125750452617331
7,59714.30352043,19.9609574614425,0.0294506152395101,59699.41830274,19.3944120562175,0.0587826907251442,59726.3160965,18.4734914954441,0.0112924980031856,59726.31678794,18.3560245509807,0.0128708593500029
8,59714.29980204,19.9923121053636,0.0319998522772379,59699.4145738,19.3320587011326,0.0394875567748618,59696.39590722,18.5336823973894,0.0151231842589638,59726.31307259,18.3304190899414,0.0127801386456359
9,59714.29607405,20.0339355013084,0.0321666573563131,59699.41082988,19.3356543830015,0.0565266245346987,59696.39219994,18.6073814894909,0.0158635178311234,59696.39658599,18.3590307808226,0.0175183720409865
10,59714.29234875,19.9804419396428,0.0372138654104664,59699.40709542,19.4814226818234,0.046985739337228,59696.38848457,18.6179812931675,0.0197239947884193,59696.39288871,18.346697303239,0.0180978372507366
11,59720.38261377,19.8559995423772,0.0766531116399712,59705.38088857,19.8597491860668,0.0741956414485813,59696.37731624,18.6387425111919,0.0192857896670212,59696.38543986,18.41390786345,0.0193125956151467
12,59720.37888582,20.0037799948666,0.0627726759020712,59705.36975263,20.0364476462891,0.12835869249142,59693.39604149,18.4798967099648,0.0119196370761379,59696.38172518,18.3812904235228,0.0216611628908233
13,59720.37519756,20.0269041544877,0.0818000346990668,59714.39201148,19.3890864458788,0.028760829326956,59693.38490986,18.4541274619246,0.011024196824944,59696.37799564,18.4693709573169,0.02271459734608
14,59723.3297483,20.2393855512254,0.0868433690374588,59714.38974847,19.404106318185,0.0272295728670851,59693.37740564,18.4447608273914,0.0112076384093375,59693.39672681,18.3014975372518,0.0128938755011451
15,59304.3751064,20.007619619825,0.0279536166795539,59714.38404335,19.3685901197976,0.0270249664923824,59699.4192104,18.48785839749,0.0568572163145947,59693.39299673,18.2782495660902,0.0124783953032541
16,59304.3676979,20.0182122086315,0.0290675248261356,59714.38028653,19.306884517709,0.0231932643799374,59699.41549138,18.5192543685033,0.0251489455516163,59693.38179148,18.3305865066701,0.0128110289851156
17,59304.38294008,20.0143001735454,0.0270844686443872,59714.31387105,19.3580114129226,0.0237789707377908,59699.41176101,18.5386236517843,0.0222416054845174,59693.37808319,18.2460949341447,0.0120390382019306
18,59304.37141087,20.0188033736602,0.0279235038395678,59714.30870669,19.3291661547361,0.0233078701957677,59699.40801839,18.6298016126152,0.0310124084729761,59699.41987919,18.2288389964341,0.0574652436073074
19,59304.37924296,20.035123158704,0.0285801957551704,59714.30495326,19.3434220335608,0.0219473006487632,59702.39137002,18.5820944629816,0.0157495725247199,59699.4161779,18.346155047602,0.0343874541809679
20,59304.38664634,19.9208371489719,0.0257197378018158,59714.3012557,19.3323294393603,0.0253169721192602,59702.38764865,18.6699966310122,0.0169843963374547,59699.412443,18.3413066757969,0.0744103093832099
21,59331.33233755,19.9798379029894,0.0333863721202164,59714.29752017,19.3658989120244,0.0243606459739501,59702.38020167,18.579661044314,0.0155035456591787,59699.4087166,18.3913602249023,0.0339466995222392
22,59331.32863986,20.0318908561963,0.0374194120653358,59714.29380242,19.2964104690628,0.0269100859476257,59702.37643671,18.6570850445978,0.016163355028747,59702.39205396,18.4044433070085,0.0185052552413869
23,59331.3438651,19.9907955466653,0.0358371261941523,59720.38032564,19.113219367339,0.0744724821766049,59702.37272685,18.5603865552133,0.0141018640098728,59702.38832518,18.4472215091544,0.0182793961508237
24,59331.33604215,20.0688220633389,0.0400677654609194,59723.33486665,20.0269480182992,0.0564594543402669,59705.38179221,18.7679599727144,0.0234903601889379,59702.3846048,18.4263569332465,0.0184280327293014
25,59331.3475867,20.0340197221386,0.0438453980269228,59723.33118099,19.9733049791998,0.0854922372083247,59705.37436022,18.8543448006347,0.0191479630885019,59702.38088595,18.4182318426519,0.0179626397167457
26,59331.34018693,19.9660472397058,0.032417566039782,59723.32748491,19.8479701774419,0.0497421363153128,59705.37065333,18.8591026110439,0.0319063486247458,59702.37712614,18.3759238827832,0.0171913327174748
27,59358.29028462,19.9207344285214,0.0209131847541772,59304.38067617,19.4076276980055,0.023305232624453,59705.36696175,18.9763070390154,0.0416052383279814,59702.37340862,18.3546478306371,0.0154393682609309
28,59358.29405276,19.8727221985548,0.0196516373540406,59304.37654289,19.4158332667197,0.0234600328336393,59705.36324158,19.0850150871901,0.0735626967066193,59705.38246012,18.5816545191763,0.0247405438879114
29,59358.29778585,19.9153046882503,0.0200542305011756,59304.38808794,19.3565761842545,0.0224099205793423,59705.3595038,19.1121868660215,0.0410221926273035,59705.37875113,18.6443962510081,0.0245106670977922
30,59358.30194912,19.9232984198204,0.0203276369787711,59304.369141,19.4451040645638,0.0239318903443409,59705.35579479,19.1608314656679,0.037359566457244,59705.37504078,18.6055018626014,0.0346899026495901
31,59358.30569993,19.9535989712722,0.0208993587440723,59304.3728546,19.4421903094962,0.0247837518654018,59708.36335847,19.8638881492075,0.0623160838221745,59705.37132358,18.6110613349422,0.0204145386073974
32,59358.30943912,19.9506917055683,0.0213753169433221,59755.23921297,19.4909838489454,0.0521706673010019,59708.35964276,19.7596851252889,0.0580758152779755,59705.36764413,18.755116233995,0.031233024190627
33,59358.31361304,19.95261357102,0.0214119577950128,59755.23179445,19.4900490490666,0.0477402761241452,59708.33297901,18.9873012925192,0.0327667701100628,59705.35646378,18.9804845033865,0.0563212869110117
34,59358.31732281,19.8459270339386,0.0192580768400074,59755.22806086,19.5394385843079,0.066703724902724,59708.32926786,18.9686595433733,0.0335446897000969,59708.36404272,19.5943705151822,0.0503448612309532
35,59358.32104983,19.9272852335012,0.0201456848393833,59333.34994327,19.4203658369576,0.0407158365364908,59711.374786,18.5996588111585,0.014137531728495,59708.36033014,19.5530661386472,0.0573926055339287
36,59358.32522027,19.9493535339124,0.0207478819377162,59333.3518785,19.5427342939364,0.045632280581548,59711.36738522,18.5105536795429,0.0126982231003084,59708.33737273,18.8427749665276,0.0251193956669878
37,59358.32898108,19.9194175648944,0.0212774460574893,59333.35771837,19.3728833092466,0.0415231750198145,59711.36368709,18.577966476634,0.0161638468263062,59708.33366227,18.8314571216641,0.0368074157602028
38,59358.33273088,19.9694442157836,0.0215456238647238,59331.33377371,19.311742299984,0.0232354155391522,59711.35996133,18.5689014124639,0.0157161753978983,59711.37545837,18.4019050516404,0.0165020262005642
39,59361.24594945,19.9224109626444,0.0406017627912322,59333.35382343,19.4253212929667,0.0369937005707048,59711.35624701,18.5012973866671,0.0159124220565854,59711.37174699,18.3952174025884,0.0157411187701029
40,59361.24963204,19.970386493323,0.0441976740531713,59331.33748594,19.4954601577356,0.0287918376328106,59714.39133285,18.5308042673176,0.0231360032342253,59711.36805347,18.3810646180596,0.0149956558828164
41,59361.25335414,19.993554810778,0.0413605727459248,59333.36398793,19.2488315442206,0.0381659046650702,59714.38836081,18.5375176222958,0.023476270869066,59711.36435942,18.4051584538815,0.0170797664444258
42,59361.26124084,19.9054844593435,0.0371417008786383,59331.34902007,19.388753382109,0.0292813982654668,59714.38700125,18.5649424455891,0.0272964760311923,59711.36064319,18.3544276830554,0.0217344800906374
43,59361.26498338,19.941619558385,0.0370678819614529,59331.3453112,19.4819172309118,0.0307345195662649,59714.38564795,18.4807413308602,0.0216127554070357,59711.35692252,18.3609281734456,0.017507054181506
44,59361.26914827,19.9816843660543,0.0393958961025363,59331.33008203,19.4151892613952,0.0269964601710561,59714.38495191,18.5490536692932,0.0229697658850075,59714.39065651,18.3525466154469,0.0241725578277344
45,59361.27286509,19.921132135327,0.0353924199213937,59331.34162088,19.369418949345,0.0250285925834105,59714.38121137,18.5470838977232,0.0205737868108265,59714.38767809,18.3631382607972,0.0260894018920094
46,59361.27660876,19.9386235007853,0.0345633939358831,59333.36008128,19.3201841233403,0.0407207114921721,59714.30961484,18.5173317987041,0.0144121861456589,59714.38632637,18.3663028553369,0.0246660924646373
47,59361.2807495,19.855741241286,0.0384385263517471,59333.35579187,19.4501407382169,0.0444968158329848,59714.3058701,18.5106579295962,0.0143486021670604,59714.3833578,18.2927954206508,0.0218136538168685
