,g MJD,g MAG,g MAGERR,r MJD,r MAG,r MAGERR,i MJD,i MAG,i MAGERR,z MJD,z MAG,z MAGERR
0,59755.2377608,20.4698652219134,0.069978031348876,59764.17534579,19.6228441277795,0.0271174630244214,59761.23278599,19.5476579494277,0.0300194568950308,59761.22975266,19.4824759358442,0.0375583930115609
1,59755.23407282,20.4829536135064,0.0613010560324794,59764.17157915,19.6734310121285,0.0285304728336895,59761.22906556,19.5360142052442,0.0299007396268895,59761.22601599,19.4419747470131,0.0362958223876756
2,59755.23035399,20.4285201807199,0.0650057413104232,59758.22703678,19.5458061320728,0.0259264387380342,59761.22532102,19.5185907113568,0.0303586427852099,59761.22226528,19.4396206530281,0.0343031241732
3,59755.22661632,20.438339162177,0.0957574113970653,59758.22331308,19.6120714563022,0.0278121877843287,59761.22156874,19.5140270142348,0.0288391677528286,59761.21854599,19.5311415126724,0.0377381177363329
4,59693.37505209,20.245929589517,0.0206512668769988,59758.20843363,19.6103111558577,0.0282776196355065,59761.21416405,19.4844064167368,0.0274664394181747,59761.21485116,19.4534250785349,0.0350734446525764
5,59699.41313351,20.7867274675694,0.0849156413760761,59755.23921297,19.735756057013,0.0597696252505711,59761.21785856,19.4781598184177,0.0277530479200652,59755.2333902,19.6657313703788,0.0776770240777117
6,59699.40939935,20.7674980339073,0.0622561027425048,59755.23550657,19.6348161893743,0.0468418953213193,59755.2327118,19.7138863365935,0.0597602543472133,59726.32793573,19.4334831928304,0.0315268952662814
7,59705.3794351,20.5013737559706,0.0493712811448947,59755.23179445,19.7607673785755,0.0562556216369656,59738.24012567,20.9670325667197,0.0981321705522062,59726.33167767,19.4249543311259,0.0317552399087713
8,59705.37571607,20.387275552159,0.048867081859087,59755.22806086,19.707448126093,0.0713806077264809,59726.33100094,19.5847260625866,0.0294419427734585,59726.3242153,19.5118137428511,0.0343108133577081
9,59705.3683208,20.3541872934714,0.0349762345365997,59755.22434708,19.6203893582316,0.107335713442472,59726.32725191,19.4259803720268,0.0242966037253862,59726.31678794,19.4394244396578,0.0316965791173266
