,g MJD,g MAG,g MAGERR,r MJD,r MAG,r MAGERR,i MJD,i MAG,i MAGERR,z MJD,z MAG,z MAGERR
0,59738.25703035,20.8577671442907,0.0351684685592996,59755.23550657,20.2204098305224,0.0882629783444407,59755.23641354,19.8584470539301,0.114276779175342,59755.23708359,19.4592475333696,0.111294447527061
1,59738.25334909,20.9136935542153,0.0396505693873471,59755.23179445,20.190741572691,0.0929765596050365,59755.2327118,19.5918779809541,0.0642825328560895,59755.2333902,19.692473122075,0.0971059344017421
2,59738.24962156,20.9064248642721,0.0365132043404137,59755.22063468,20.2241562435056,0.122706714075839,59755.22896749,19.8369527142742,0.110491266093533,59755.22964433,19.6540844601629,0.109250362531153
3,59738.24592466,20.8999196033805,0.0347829401418617,59746.23443919,19.5772453796259,0.0548348899008347,59746.23907357,19.1152862338741,0.068090768709155,59746.22487411,18.9805789520391,0.0533400509530934
4,59738.24150821,20.9568404423581,0.03687221476886,59746.23072529,19.5553412250882,0.0414471277396352,59746.23536014,19.2007517545917,0.0709250892272695,59693.39299673,20.1908028830126,0.0836132526704252
5,59738.2377697,20.952450453887,0.0363655072937192,59746.22327615,19.44630557483,0.0362266631078322,59746.2316287,19.0956820755779,0.0484915236274888,59693.38930663,20.0249652451845,0.0702364524927687
6,59726.32863469,21.3636641616128,0.050547962826964,59711.35904395,20.0275940074987,0.0560832999886955,59746.22792422,19.2067382478132,0.0427469086235395,59693.38558751,20.3052351715939,0.0961777633692816
7,59726.317456,21.4241636058491,0.0519203438745206,59714.39201148,20.0166129786195,0.0541180033262739,59708.32926786,19.9846674067494,0.0984417721310212,59693.37808319,20.0136705904005,0.0718743250843066
8,59726.31002041,21.3400006613261,0.0483283233348603,59714.38974847,20.0653847629908,0.0523356840638894,59711.36368709,19.8504203435553,0.0585641914397507,59708.42158452,20.040899793925,0.0870678744045291
9,59693.39368089,22.4385229807462,0.148928630907629,59714.38404335,20.1230021281104,0.0558705670194165,59711.35996133,19.6539944105127,0.0470921016073716,59711.37545837,19.6763198890188,0.062085163542869
10,59693.38626045,22.3319236241385,0.132688841603475,59714.38028653,19.9683148094204,0.0439568595112516,59711.35624701,19.842154397374,0.0609624948972871,59711.37174699,19.7570871728683,0.0649106002107702
11,59711.36131775,21.7553854956822,0.0881051314093451,59714.31387105,20.0401383237163,0.0468395437017007,59714.39133285,19.539810591256,0.0647350974784645,59711.36805347,19.6102532499557,0.0547351103459916
12,59711.35759826,21.438319438565,0.0785154965132148,59714.30495326,20.039282125543,0.0426014826548466,59714.38836081,19.6316196062874,0.0705982194868745,59711.36435942,19.8392898923502,0.0726451491598424
13,59723.33712964,21.5701538463528,0.0857585918110627,59714.3012557,20.0869964590751,0.0521399248379577,59714.38700125,19.7878263530479,0.0915924974925935,59711.35692252,19.598727740773,0.062098122917319
14,59723.33343794,21.5428117998358,0.124163834498245,59714.29752017,20.0634962281533,0.0473317717665132,59714.38564795,19.4510953451167,0.0577419584388844,59714.39065651,19.5499739606969,0.0803351158791911
15,59723.32604069,21.5345518504176,0.0698772971811323,59714.29380242,20.1225612630721,0.0587500057073235,59714.38495191,19.5180964965066,0.061227619470097,59714.38905133,19.3644765903313,0.0656478089522294
16,59723.32231109,21.5913198680264,0.0807340410393761,59720.37663293,19.6462326920078,0.181870600488244,59714.38121137,19.5871904657647,0.0603159434842429,59714.38767809,19.4610274539674,0.0796885719291413
17,59295.40453858,21.6792281182241,0.0918205969767657,59723.33486665,19.932695177557,0.0544863780308692,59714.30961484,19.6620138023749,0.0453256545938052,59714.38632637,19.4184179057633,0.0717512526207243
18,59297.35706059,21.7110930649938,0.080500897057151,59723.33118099,19.7030751878506,0.0705807636932976,59714.3058701,19.7239104477507,0.0475001731642819,59714.3833578,19.4613252601592,0.0702499617257694
19,59295.39191044,21.6369363049313,0.0771946090393291,59723.32748491,19.9816908442072,0.0580215466030321,59714.30216562,19.5433685177406,0.0426627204106035,59714.31029501,19.4519347918466,0.0499266197848517
20,59297.40046397,21.6263257220549,0.0674468663300117,59304.37654289,20.7081461579689,0.0799206210162464,59714.29471417,19.6759027448678,0.0483941396161633,59714.3065564,19.465467613713,0.0511688023541127
21,59297.36822937,21.6187040112471,0.0707722886950939,59331.33377371,20.4113470485071,0.0655918529209831,59723.33208829,19.4936958168313,0.0678334497057399,59714.29910858,19.3996890576274,0.0479611390293664
22,59297.37566906,21.6359278457814,0.0752150795360883,59333.36008128,20.0542256148555,0.0839160391784225,59723.32839282,19.4380338954691,0.0571362961212163,59714.29540328,19.4747699522832,0.0518301791656082
23,59297.40787003,21.554935916097,0.0680042381015202,59333.35382343,20.2164635386311,0.0809075294991516,59304.38157628,20.293659190256,0.0819570904964611,59723.33276268,19.1003317759161,0.0949532072456059
24,59297.37195136,21.7383523919154,0.0812022283712136,59333.34994327,20.1916775123024,0.0871657091325515,59304.38528482,20.2358153095382,0.073104322465307,59723.32906929,19.1540254936422,0.08116521771305
25,59297.40417878,21.5869795475287,0.0664408158911189,59333.35771837,20.2235015925374,0.0964074721328564,59304.38900283,20.2037727000689,0.0730249141093664,59304.37074304,20.0224580404962,0.0805913454837691
26,59340.35648423,21.2404321471839,0.0625547003610355,59331.33748594,20.3561676069836,0.0671905407109603,59304.37744894,20.5322243802855,0.0974424266045734,59304.37812479,20.0306636523719,0.080555495993295
27,59340.36788213,21.2783996361504,0.0630093634657063,59333.36203857,19.8754759884482,0.0720981914974009,59304.37376885,20.0855100589604,0.0640069198822238,59304.38968996,20.6066132053742,0.142104285588044
28,59340.37153621,21.2763167618429,0.0663428641332139,59331.34162088,20.3438284031636,0.0640157490299408,59329.37903017,20.0804790964867,0.0613212236476923,59297.41089538,19.1473171867707,0.035086764541188
29,59346.34453741,21.2754588679241,0.0626294981930942,59331.3453112,20.2811714976511,0.0660527385598582,59329.37509988,20.1462091896619,0.0670488100017995,59297.40718828,19.2079690932848,0.0365189371347837
30,59346.34826938,21.0870516882826,0.0493186018610437,59333.36398793,20.1785701241871,0.0948549048267536,59331.33098645,19.7397593207561,0.0515178530134705,59304.37443698,19.8671350236769,0.0690194418114367
31,59346.35196547,21.1699841560646,0.052094880148166,59331.33008203,20.3532177805118,0.0670466598973759,59333.35831918,19.5963122430129,0.0600333824472697,59329.37583435,20.1338912636032,0.0903437208809952
32,59346.35611074,21.1768950453075,0.0523020282797012,59333.3518785,20.0974928247195,0.0801409713004199,59331.34992456,20.2042059648367,0.0845493560085507,59329.37974738,20.1451991135999,0.0909237372843373
33,59346.35986394,21.0359568465385,0.0449564710953243,59333.36591378,20.1299285123808,0.102467813771143,59333.36069982,19.6977428668286,0.0641607861554918,59331.33908003,19.776965600776,0.0714688414676202
34,59346.36361802,21.1121738235327,0.0473531870509004,59333.36785823,20.0715788155957,0.0909024832104385,59329.38293301,20.2617446986904,0.0785324018716931,59333.35898348,19.3418865498349,0.0596509723836077
35,59349.32690783,21.1620707297232,0.0911671643440786,59349.34366778,19.4624616985124,0.0675755874015677,59331.33839933,19.958051974064,0.0637241208860395,59333.3512144,19.4303560217489,0.0535209646300489
36,59349.33063142,21.1153299665817,0.0770103515311189,59358.29176854,19.5710190828639,0.0247177464758243,59331.34252527,19.940231347829,0.0628846077366687,59331.34319682,19.8108146076278,0.0705760589130719
37,59349.33434006,21.2327379274285,0.0833052723456019,59358.29922657,19.6155344996804,0.0250350486852704,59333.35249747,19.8961884000716,0.0611457994732496,59331.35060136,19.8543268419255,0.0794341454869209
38,59349.33851944,21.1256320046864,0.0636594517951595,59358.29549865,19.6951661073862,0.0291188232778815,59331.33468383,19.8066543095688,0.0542768097660828,59331.34690737,19.7565649346413,0.0732082532361053
39,59352.29656298,21.2458539294641,0.0553114891855798,59358.3034093,19.653767371287,0.0269379516746556,59331.34622234,19.9316968416947,0.0645424337782336,59333.35510904,19.4120187083962,0.0655355417026877
40,59352.30025847,21.2349772462251,0.0523345159310747,59358.30714837,19.6611542059626,0.0257191976040661,59333.35640282,19.7920925867049,0.0683997737805123,59333.35706098,19.5045415483373,0.0673425549507222
41,59352.30396646,21.1312775359995,0.0482748880934626,59358.31088498,19.5811559910635,0.0256054067870486,59333.36265545,19.689319821733,0.065048564863772,59333.36331885,19.303136700134,0.0584674184488842
42,59352.30811002,21.2089307181187,0.0541813538295708,59358.31504564,19.6223780677954,0.0257504407314485,59333.36458897,19.540743750841,0.0569758616091339,59333.35315931,19.5270970399468,0.0569937486510011
43,59352.31182442,21.1720256605719,0.0493371922665593,59358.31877252,19.6289963501725,0.0256233164385264,59333.36653041,19.6488437245741,0.0675449370831086,59333.36135592,19.4240081686994,0.0638975195712006
44,59352.31552674,21.2422821733777,0.0515556950119711,59358.32249103,19.6540162156336,0.026687409282764,59337.34687562,19.2547941356689,0.0410992799017648,59329.38805106,19.9338276355912,0.0756404338945287
45,59352.3196617,21.1806273984802,0.0484576232324354,59358.32667653,19.628458806337,0.0259779192814865,59337.35845277,19.3588211644945,0.0452511038775486,59331.33536062,19.8588760785416,0.0736938897994858
46,59352.32341943,21.0865291984403,0.046079132869376,59358.33043937,19.7148113532239,0.0288259335515782,59337.36213141,19.4376721703585,0.0500833664459345,59333.36525743,19.6102823639483,0.0788025727551339
47,59352.32714592,21.2698433988422,0.0508745873025962,59358.33416702,19.655210658964,0.0271294475741019,59337.4283384,19.4703547250391,0.0633231236522207,59333.36719625,19.4138407152379,0.0670007465825239
48,59352.33137532,21.1612313359267,0.0459605084198879,59361.24737602,19.7915260604544,0.0590689002929032,59349.3329881,18.9683849986238,0.0483284980655602,59333.36912034,19.5178199278269,0.0749875935521571
49,59352.33508784,21.1443716083246,0.0470586954918923,59361.25106087,19.7832025629468,0.0546297550105871,59349.32925812,18.9712213527571,0.0351174616275094,59337.34757059,19.1342120920199,0.0511090771459522
50,59352.3388087,21.2097353961312,0.0475073825779282,59361.25478564,19.8276201129901,0.0532110679711829,59349.33671095,19.1087028163307,0.0300237076776363,59337.35911983,19.035897358142,0.0442356731426917
51,59356.29260703,21.3618755750049,0.0553593214033727,59361.25897516,19.8561611542348,0.0546597693308568,59349.34088664,18.9172691082852,0.0375268874140285,59337.36280499,19.1351705950964,0.0486071682396676
52,59356.30847453,21.3781765262243,0.0683967990307124,59361.26268712,19.8493238199225,0.0508711677007981,59349.34459639,19.0354363055902,0.0771468301005375,59337.36650757,19.0954514781561,0.0510168381748616
53,59356.31218994,21.4403253405327,0.0667634860889589,59361.26642517,19.8466510381776,0.0483801550111823,59349.34837257,18.9028326763845,0.046005529508975,59337.42899673,19.0380354698406,0.0567133982506255
54,59358.29028462,21.3379368215168,0.0722788022563868,59361.27060602,19.7793470625551,0.0481926960968024,59358.2964167,19.153528927816,0.0292526410730158,59337.42967209,18.9664417667415,0.0529935032987506
55,59356.31593236,21.4543625959151,0.066789905182335,59361.27431763,19.7599228258539,0.0435220159036987,59358.30014513,19.1072192959464,0.0283973661648368,59337.43167218,18.9206690588566,0.0526957954918527
56,59358.29405276,21.2080516350845,0.0623307712522767,59361.27804888,19.8262313012382,0.0537119539741122,59358.30806681,19.1361601493518,0.0317003070096523,59337.43301631,19.0029523620589,0.0604870445238951
57,59358.29778585,21.3649895798857,0.0699570463296369,59361.28219742,19.7974149232356,0.0520145222901135,59358.31179963,19.1101011127431,0.0298792918704168,59337.43234245,18.9705640371781,0.0583703713575949
58,59358.30194912,21.4014643801308,0.074232344547911,59361.28592178,19.8583953451548,0.0711605511799189,59358.31596714,19.1137494069275,0.028921505513664,59337.43704718,18.9615659229984,0.0698164258248256
59,59358.30569993,21.343837630876,0.0702412921340038,59361.28964367,19.8036739294849,0.0655674196074172,59358.31968871,19.0445788272295,0.0283335808135999,59337.43638952,18.9628402341436,0.0698051923076357
60,59358.30943912,21.3221005468437,0.0714728311269581,59361.336909,19.802748289777,0.0576875756588433,59358.32341742,19.1588649680915,0.0311519822009297,59340.35949021,19.0121087506525,0.0394324092306657
61,59358.31361304,21.3526333847282,0.0725175140557665,59361.34064391,19.7872113542414,0.0594512112560229,59358.3276049,19.1474249750421,0.0310777001503279,59340.36314149,19.1226908039004,0.042374953713413
62,59358.31732281,21.3388451496017,0.069591106978313,59364.27949464,19.7205085826037,0.140111259636494,59358.33136346,19.1625629023568,0.0319659827676798,59340.36679042,18.941009562422,0.0330785653218492
63,59358.32104983,21.2401399649569,0.0619843897145478,59364.28320447,19.8564528384891,0.0478175301334369,59358.33507361,19.0385869447632,0.0286518341930308,59340.37088033,18.9255518475113,0.0325294150770657
64,59358.32522027,21.3181475653473,0.0675444647765044,59364.37287355,19.9710311112829,0.0384026331960648,59361.24827172,19.1765840593855,0.0571043641821989,59340.37451461,18.9976711934431,0.0357393039313191
65,59358.32898108,21.4349404719799,0.0791846871403981,59364.37656422,19.947369062282,0.0457165321336022,59361.25196793,19.4183261083338,0.0688367221817857,59340.37815129,19.0420122170059,0.039389099946257
