,g MJD,g MAG,g MAGERR,r MJD,r MAG,r MAGERR,i MJD,i MAG,i MAGERR,z MJD,z MAG,z MAGERR
0,59761.22296294,20.6385410014698,0.0233940076163928,59761.22066538,19.7198172914788,0.0217291143693715,59761.21785856,20.325710312081,0.0590745557597843,59761.22226528,19.9255677753163,0.0575958910423937
1,59761.21922863,20.7865611063825,0.0258957679442803,59761.21695506,19.8430325792618,0.0243457056285589,59693.38490986,20.6945219892234,0.0754912536184582,59746.22487411,19.186310028266,0.0619874748873913
2,59761.21181865,21.0594465388417,0.0339503091570583,59746.23443919,19.4838845031739,0.0503090053308095,59693.38111019,20.2408584395117,0.052908825325098,59693.38179148,20.3303203838531,0.0799353644362218
3,59761.21552029,20.880296753729,0.027857494929353,59746.23072529,19.3307045789971,0.0319196262724163,59693.37740564,19.9792379271932,0.0408509525753487,59699.4161779,19.7282521232153,0.131737167133427
4,59746.22928024,20.494125515025,0.0727860204430225,59746.22701016,19.4250699533626,0.0382233353293965,59705.37065333,19.7431140541058,0.0663851913606692,59705.38246012,19.3607770548951,0.0507957048562911
5,59746.22555843,20.3804284923607,0.0645776198289226,59746.22327615,19.2595871925621,0.0293747914869368,59705.36696175,20.0228839488751,0.101707769992965,59705.37132358,19.5812047142866,0.04920433661811
6,59746.22182385,20.2616769933105,0.0599607386552393,59726.31519276,20.7781474857522,0.05075665028933,59708.42463182,19.7034692105163,0.0363645155232114,59708.4253042,19.644321476553,0.0510380535966444
7,59726.317456,22.119439242602,0.0765866542766466,59693.39142491,20.3712310021537,0.0375172518364597,59708.4209081,19.6660868703386,0.0355155385446924,59708.42158452,19.56321747443,0.0465900060526908
8,59726.3137479,21.5491724174117,0.0478847015093564,59693.38771523,20.1606899643524,0.0296750704426655,59708.36706189,19.3740515975534,0.028494572590423,59708.41786605,19.4946254671218,0.047111242367132
9,59726.31002041,21.2812961963308,0.0373787867197151,59693.38400825,19.9352916619376,0.0247589776084239,59708.36335847,19.4900172759351,0.0409266236630532,59708.36773825,19.1212945710107,0.0325133323713541
10,59693.39368089,21.4440585568702,0.047895459005354,59693.38020048,19.7688608497343,0.0212651625100037,59708.35964276,19.5031850431546,0.047268177825069,59708.36404272,19.3453164499113,0.0412515244794793
11,59693.38999279,21.1828313826079,0.0382428334282111,59693.37650422,19.6209422998528,0.0187467592741913,59711.374786,19.1724089969931,0.0225449323370281,59711.37545837,19.024631913273,0.029111490976249
12,59693.38626045,20.9747930702166,0.030882286382835,59699.42200201,19.4210104359158,0.0635466523967394,59711.37107485,19.2797907276925,0.025525630720264,59711.37174699,19.0433883283245,0.0280889002810424
13,59693.38256567,20.7683238877776,0.0262582817900788,59699.41830274,19.5372904272898,0.0523852956331706,59711.36738522,19.1647626533828,0.021529926076007,59711.36805347,19.0120374945107,0.0267546078699858
14,59693.37876555,20.6905773386951,0.0245265037457118,59699.4145738,19.6256005785153,0.0438431601017731,59711.36368709,19.1741956117495,0.0268013983569374,59711.36435942,19.056588722179,0.0316437802943103
15,59693.37505209,20.6158988804464,0.0234818936636082,59702.38673784,19.7003649666691,0.0280659002826005,59711.35996133,19.1756358425614,0.0263173255581819,59711.36064319,19.0080744310109,0.0391780633587505
16,59699.42055209,20.5484678658441,0.0726923835171682,59702.38301298,19.8531848163678,0.0297450785472732,59711.35624701,19.1760950557314,0.0289452113277244,59711.35692252,19.0056218217406,0.0306723431893124
17,59699.41313351,20.7058550118698,0.0641714994049832,59702.37928087,19.9664697247532,0.0323521586761751,59714.39133285,20.2192858206373,0.0990132187324918,59714.3833578,19.7220989106804,0.0772006750521111
18,59699.40939935,20.7619618931472,0.0498937873841347,59705.38088857,19.4207024805338,0.0387593005747564,59714.38564795,19.9035783070274,0.0714558863783204,59714.31548722,19.1190020902528,0.0424656791862085
19,59702.38157617,20.8188876491829,0.0347742418405615,59705.37715948,19.4684903063439,0.0250124324061608,59714.38495191,19.762914459518,0.0633268155117014,59714.31029501,19.3775167224506,0.0401137319130293
20,59702.37781421,20.9320012351478,0.0391917299689257,59705.37345703,19.5021013882768,0.0216445022762922,59714.30961484,19.5542147266358,0.0344261102354287,59714.3065564,19.408971349461,0.0413727268258533
