,g BJD,g Flux,g dy,r BJD,r Flux,r dy,i BJD,i Flux,i dy,z BJD,z Flux,z dy
0,59314.2223967684,683.5164835164833,130.2642047528555,59314.2223967684,931.848104774444,161.3964621971231,59317.99065420561,916.5441706297738,173.43846838099412,59328.25407844499,698.5647234881982,173.04984025708643
1,59314.22800718133,600.5860805860793,129.89256338956173,59314.22800718133,1031.6679370798972,160.09375171262386,59332.999554962174,974.0308401787001,152.04091401515174,59328.25903704071,613.291612815455,169.92680366025473
2,59330.189631956906,794.5787545787534,134.5106434356613,59318.12724416517,2034.2665095973944,242.58906651566417,59336.10369381397,572.359129557573,183.614363744303,59337.234095304215,820.2299163322224,158.91859977512874
3,59330.200852782764,975.8241758241747,141.04115942502727,59318.13285457809,2018.7097221259787,229.93130984155823,59339.04650645305,883.0811356103186,151.2885559927339,59337.23905389994,658.4994218080403,169.20811310554134
4,59330.20646319569,1002.6373626373625,136.28668746870426,59330.189631956906,1628.3694823643546,170.6330132477308,59339.0520694259,1101.0808473843495,162.03775436842946,59337.25392968712,818.3116794775866,170.4497311115986
5,59330.212073608614,1126.739926739927,143.06061159815513,59330.19524236984,1519.6798558658443,174.0776853589844,59339.06319537161,1048.1769707450644,151.45683689282285,59344.245549660336,1053.669818379702,184.88917706325694
6,59339.18312387791,1108.7179487179474,144.80265896848567,59330.200852782764,1715.3003949830224,168.39886691825714,59346.055852247446,1288.0242109814096,174.5648149817103,59344.25050825607,960.3292293041291,181.17015310184146
7,59339.18873429084,1172.8937728937726,147.6990243702312,59330.212073608614,2028.7228882267339,183.90511974437206,59346.0614152203,1231.243695056925,170.94224775048076,59367.20384787029,1014.7745051357051,193.75704362247237
8,59346.19614003591,1155.1648351648346,168.57815828381806,59339.18312387791,2189.869031945118,190.6924156732253,59346.078104138855,889.6526877071626,167.66575385247674,59367.20384787029,1355.309162641997,194.6788310519226
9,59346.20175044883,1219.340659340658,174.18275242460462,59339.18873429084,2167.9717275310095,181.4574816954606,59348.01401869159,1238.968151030408,221.06594147850083,59373.2087072941,688.5517991973336,217.75990269252787
10,59346.20736086176,1210.4029304029282,153.04950389997433,59339.19434470377,2179.0936179058967,187.77970043655714,59348.01958166444,866.0469808329732,202.79507257991347,59382.15401398324,650.241480171417,164.6251492982258
11,59346.21297127468,1162.7838827838805,145.7567791613613,59339.20556552962,2156.6419513547226,177.19716303746173,59354.02759234535,1374.1028966709903,290.3779630828846,59382.15897257897,568.5463573906537,169.32606724945063
12,59346.21858168761,1065.347985347984,143.48943375025328,59346.19614003591,2452.53274201372,205.3570287109674,59368.98086337339,849.0992938463756,156.97730129202031,59382.16888977042,999.4286102986191,161.83429532315705
13,59369.12589766607,1091.7216117216121,145.7194882432755,59346.20736086176,2336.7749982676182,195.50413263828503,59368.986426346244,1118.3455829370228,171.22219461494925,59382.17384836615,882.0352356982519,162.13275640170045
14,59369.131508078994,1108.131868131868,144.1205654149376,59348.15417414722,1952.3595038458873,289.6491041011835,59368.986426346244,974.2037757601961,163.99460050137287,59723.20126940051,771.7842323651453,183.39625382144925
15,59369.13711849192,1275.8974358974356,148.33979755828733,59348.15978456014,1746.2060841244543,266.49985512313094,59368.991989319096,1153.581207666811,166.66261205140714,59738.18614568355,714.8357254608532,164.41012058550606
16,59369.142728904844,1230.1831501831493,150.09598512551588,59369.120287253136,2014.309472663017,182.5350846404895,59368.99755229195,1297.3915549791038,178.25882147911258,59738.20102147072,683.1780151010138,153.9349695018535
17,59369.14833931777,1372.7472527472528,149.19038286615316,59369.12589766607,2041.1960363107198,179.81367527361274,59369.0031152648,1273.2093961665948,180.12615923361207,,,
18,59369.153949730695,1212.01465201465,136.42577363543091,59369.131508078994,2174.6240731758016,178.22158683405925,59369.014241210505,1199.5100158524285,164.41966824479056,,,
19,59369.153949730695,1370.40293040293,139.8301778714126,59369.131508078994,2065.899799043725,187.75164707676902,59369.02536715621,1258.207234471826,169.72415440011432,,,
20,59369.15956014363,1251.2820512820508,143.5940745735928,59369.142728904844,2189.418612708752,190.57965015675774,59375.011125945704,998.7750396310709,225.13460614322886,,,
21,59375.11781867145,9073.992673992678,216.6171532854867,59369.14833931777,2348.1740697110386,186.25839649865313,59377.959501557634,1213.27280587981,219.91510592743748,,,
22,59375.14587073609,1114.139194139194,194.67512753783933,59369.153949730695,2335.7355692606193,196.5665394123222,59381.06364040944,1099.7550079262144,222.55337704524018,,,
23,59375.15148114901,1173.0402930402925,198.27387542705947,59369.15956014363,2375.7189383965074,202.00000929685194,59383.96194926569,1113.8060239227557,149.28525958450103,,,
24,59375.15148114901,1015.0915750915738,205.2296315857062,59375.13464991023,1120.3658790104635,190.25474066400213,59383.967512238545,990.4453091223521,153.52532084057842,,,
