,g MJD,g MAG,g MAGERR,r MJD,r MAG,r MAGERR,i MJD,i MAG,i MAGERR,z MJD,z MAG,z MAGERR
0,59699.42055209,20.3010840597447,0.0752367698325893,59714.39201148,20.0943748504546,0.0645912734738396,59699.4192104,18.6970831295147,0.0871191564323442,59699.41987919,18.2294163415684,0.0825386895262753
1,59714.38190692,21.4868351934133,0.117442103663354,59714.38974847,20.1511943429644,0.0655328641658754,59714.38564795,19.8834420111483,0.0900251976277625,59699.4161779,18.1576736379457,0.0422992177373477
2,59714.30352043,21.5147229665913,0.127965268783782,59714.38028653,20.0580411916526,0.0542002175705504,59714.38495191,19.7586708462009,0.0808370568070284,59699.412443,18.2510789825169,0.080672686731044
3,59723.33343794,20.9704506655617,0.0872363486131737,59720.38032564,19.5807487087316,0.141565459781212,59714.38121137,19.8247141234649,0.0794542745329038,59699.4087166,18.2013861917161,0.0394617000285122
4,59304.38294008,20.1350744605225,0.03213668387053,59333.36398793,19.4170890069808,0.0550854299436495,59333.35444666,18.9222998669135,0.0351135938983296,59714.38632637,19.6651054267775,0.0964378124553932
5,59304.37924296,20.1626259107249,0.0342567027322837,59333.35579187,19.3048155288036,0.0474990094068228,59333.36069982,18.8684426847655,0.0333642491951877,59723.33276268,19.1014667093173,0.111090368188239
6,59304.3751064,20.1970326633401,0.0348851317960125,59333.36008128,19.3558916940046,0.0505130126474879,59333.35249747,18.8757320635064,0.0274100321267356,59333.35898348,18.7527311287435,0.0391296022717544
7,59304.38664634,20.1875182889113,0.0348307301723295,59333.35771837,19.2589296057766,0.0465062858113684,59333.35831918,18.8835170474933,0.0339503841095677,59333.36135592,18.8156721902131,0.0412904739934074
8,59304.3676979,20.121251618751,0.0335699956901912,59333.36591378,19.4633009865786,0.0638693538060729,59333.35055003,18.9028003514228,0.029111037143546,59333.35510904,18.7635658613383,0.0398604915895196
9,59304.37141087,20.1679640129728,0.0333886807591113,59333.36785823,19.2947931745919,0.0516444408727133,59333.36458897,18.9125700201806,0.0351327959884208,59333.36331885,18.6451213506492,0.0362388787753844
10,59331.33604215,20.0313710695748,0.0406866502952763,59364.27949464,18.7185029416333,0.0528324151645573,59333.36653041,18.8178882426639,0.0345857210412075,59333.36525743,18.7959741779568,0.0438918500158717
11,59331.32863986,19.9065985379655,0.0361427914540061,59364.28320447,18.7173335641103,0.0191603257979838,59333.3684577,19.0050745795678,0.0415954076528523,59333.36719625,18.685614561048,0.0383275433426846
