,g MJD,g MAG,g MAGERR,r MJD,r MAG,r MAGERR,i MJD,i MAG,i MAGERR,z MJD,z MAG,z MAGERR
0,59764.17389166,21.021546854328,0.0471885932555934,59767.13494108,19.8431019814612,0.0370175495144764,59767.13956657,19.640070338419,0.0337748909622263,59767.14024546,19.3546931827771,0.0342926576917277
1,59767.13721115,20.8223732096244,0.0415004714219842,59767.13124842,19.9099460411181,0.0387043631185842,59764.19132612,19.4607338384191,0.026685060582905,59764.19201221,19.2330382111446,0.0307176545910738
2,59767.12981291,21.0103601191764,0.0494642183324138,59746.22701016,19.2589210912931,0.0351860909529271,59764.18758574,19.5572736292111,0.0305599600787746,59764.18827416,19.2643626788448,0.0333589612533586
3,59764.18895038,20.7037691111701,0.0296321979246403,59746.22327615,19.2601108453837,0.0310473865095458,59764.18386514,19.680413669561,0.0349235611306288,59746.22859754,18.8400541295083,0.0354676871926909
4,59764.18522856,20.7741593187144,0.032452056196898,59696.39128142,20.3982754377288,0.0684045917306284,59746.22792422,19.0457299794128,0.0342651513703908,59696.38172518,19.9620542771434,0.0906092396696685
5,59764.18132834,20.818796823837,0.0350742789258753,59696.38757551,20.2669234149031,0.0570805497645664,59693.39604149,19.3667629754147,0.0237865231635466,59693.38558751,18.8649309402921,0.0205611708659952
6,59764.17762005,20.9461013406034,0.0421017034563317,59696.38384905,20.0959025615574,0.0479616543181779,59693.38490986,19.2194863164094,0.0199468370137502,59708.4253042,18.6853361546975,0.0214453476027223
7,59761.23043084,20.7095347697787,0.0288817967121,59714.39201148,19.3306332936329,0.0261620033138527,59693.37740564,19.1173134589493,0.0185907033431272,59708.42158452,18.7151788050289,0.0215769253198572
8,59761.21181865,21.1638417912672,0.0431889989579184,59714.38974847,19.365923782875,0.0249780043166991,59705.38179221,19.9336770369777,0.0618549425031252,59708.36033014,19.2065563858866,0.0416778102586535
9,59746.22555843,20.3077330966599,0.0627336312567303,59714.38404335,19.2845382963033,0.0239010091132571,59705.37436022,19.989603821898,0.0480392574536744,59708.32995346,19.8373888152683,0.086687926384702
10,59693.38626045,20.4319029517353,0.0214715597039835,59714.38028653,19.2655900162914,0.0209544313005896,59705.36696175,20.257756420582,0.123796076331398,59714.39065651,18.8263224772571,0.0366627557078545
11,59705.3794351,20.8580341128195,0.0642820432288522,59714.30870669,19.266276746668,0.0211580809996957,59708.42463182,18.9411801373023,0.0182553176189657,59714.38905133,18.8579959295165,0.0366317205874975
12,59705.37571607,21.216610576384,0.0995704023139723,59714.30495326,19.2900117885222,0.0197185353811514,59708.4209081,19.0183897539824,0.019509281089341,59714.38767809,18.8303488767595,0.0396478511021809
13,59705.37201339,21.3194591305381,0.0659534551668519,59714.3012557,19.3359360997904,0.0244700027503955,59708.33669473,19.9195683948859,0.0490638870621317,59714.38632637,18.8427788013391,0.0378051393322983
14,59705.3683208,21.3359283531586,0.0796978803428158,59714.29752017,19.345513172861,0.0228466708889497,59708.33297901,19.980828017482,0.0768926462441205,59714.3833578,18.7340959043362,0.0318294915097237
15,59705.36459581,21.3528766697809,0.132094626677061,59714.29380242,19.3543860992889,0.0273713975651671,59708.32926786,20.1255760132365,0.0843850206607281,59714.31029501,18.8474597856113,0.0247451298718398
16,59705.36087859,21.5680008700092,0.133848416413043,59304.37654289,19.4163415215628,0.0224264844893379,59714.39133285,19.1164276854055,0.0373740274137596,59714.3065564,18.8333322862916,0.0245951858259373
17,59708.42226398,20.2366842891942,0.0217172593307499,59304.38067617,19.3676294109949,0.0212180668901828,59714.38700125,19.0864575617485,0.0415479265014679,59714.30284353,18.8307669537821,0.0246709059312766
18,59708.41483814,20.2618958498887,0.0214037897855792,59304.369141,19.4630815515281,0.0230164126308363,59714.38564795,19.0705209056611,0.034603513552337,59714.29910858,18.9196002407695,0.0259133339577168
19,59708.33433938,21.0816366851383,0.0533283616354907,59304.38808794,19.2992301022707,0.0198457286677252,59714.38495191,19.0291523082139,0.0336035654650514,59714.29540328,18.8981596235556,0.0261835683901202
20,59708.32640313,21.3286795733383,0.109412441171979,59304.3728546,19.394354214325,0.0224561357815313,59714.38121137,18.9446967070407,0.0281242155428344,59304.37074304,18.9568537938162,0.0258224491725812
21,59714.38190692,20.2161056467474,0.0305781491152148,59331.3453112,19.1779383711788,0.0226006185241585,59714.3058701,19.0765752017544,0.0219158482357005,59304.38968996,18.8288365724519,0.0234697480377295
22,59714.37882968,20.3339117414406,0.0387444034345966,59333.36203857,19.1935042263293,0.0345897378197687,59714.30216562,19.0968494786955,0.023252411768324,59304.38225419,18.8835630271907,0.0242082636795195
23,59714.31241377,20.3069273176772,0.0368381752109399,59333.34994327,19.2262257383395,0.0326880065723412,59714.29471417,19.1520032214825,0.0250139985794732,59304.37443698,18.9049446391834,0.0242810100215557
24,59714.30724775,20.3258750758771,0.0389360109822702,59331.34162088,19.2767400876485,0.0225670616585414,59310.36420114,18.941721343877,0.0186932464713797,59310.37230343,18.7810807425141,0.022843517002402
25,59714.30352043,20.4165543387713,0.0397244484617117,59331.34902007,19.1784229870601,0.0237009775461505,59304.38157628,19.0892972150579,0.0219715328787141,59310.36488069,18.7711803306645,0.0237155020192428
26,59714.29980204,20.3748448832861,0.0410217300151575,59331.33748594,19.1870013639573,0.0209474251680485,59304.37744894,19.189979057932,0.0237801603445662,59304.37812479,18.9238918018853,0.0245965601382985
27,59714.29607405,20.4046037585655,0.0408896188047811,59331.33008203,19.2627935296357,0.0228203898487888,59310.36792446,19.003224227,0.0191598907695364,59310.37643423,18.7952008262527,0.0232747460492086
28,59714.29234875,20.4308806477656,0.0519488054314866,59358.29176854,19.162411927986,0.0151854069208576,59304.38528482,19.0491589345692,0.0200287556301925,59310.38020144,18.7404717390744,0.0210422699871229
29,59723.3185959,21.1155367972818,0.0498684401504367,59358.29549865,19.1587246306964,0.0156354805088112,59304.38900283,19.1142071107992,0.0220968454798361,59310.38392772,18.8259383648111,0.0232318801034701
30,59304.38294008,20.3576357376689,0.0321573643820707,59358.30714837,19.1500066455632,0.0144819938103221,59304.37376885,19.1929755239706,0.0238454634870645,59331.35060136,18.7930989150262,0.0262002080027637
31,59304.37141087,20.4818256565996,0.0373967236194857,59358.31088498,19.1333942880633,0.0152347769877544,59310.3757659,19.0237265292301,0.0202920803450617,59331.33165748,18.7431228774848,0.0228244922197247
32,59304.37924296,20.4172884331254,0.0357000499196666,59358.32249103,19.1892425144914,0.0158944656530795,59310.37950281,19.0667076155937,0.0210201867319142,59333.3512144,18.7376305404355,0.0238440526672518
33,59310.36182972,20.1790059610883,0.020774451787452,59358.32667653,19.2022158062211,0.0161241878616296,59310.38323831,19.0585185889844,0.020913581316079,59331.34690737,18.7574657307207,0.025428458532377
34,59310.36927641,20.2778206943214,0.0235778955151822,59358.33416702,19.2172748884999,0.0166070726185854,59331.34622234,18.9550068627591,0.0227970673928948,59331.33536062,18.74792587247,0.0231760317187418
35,59304.38664634,20.3429700508031,0.0334886921336282,59364.27949464,19.4682235190267,0.0908439184597944,59331.33468383,18.9841323945898,0.021559253927913,59331.34319682,18.6657982591137,0.0212984104309008
36,59310.36556582,20.2269871075449,0.0212363050778707,59364.28320447,19.5885314812311,0.0331247395333007,59331.34252527,18.9492354510166,0.0207877038897675,59331.33908003,18.7494577037918,0.0240366634173843
37,59304.3751064,20.4895105326336,0.0378388904178657,59301.37182365,20.1037022005479,0.0410856145105188,59331.33839933,18.966569775918,0.0216033223689976,59333.36331885,18.7684692832528,0.031116190567626
38,59304.3676979,20.4871361819389,0.0393053377582992,59301.37553302,19.9904316025816,0.0383845849336028,59333.35055003,18.948127240723,0.0216274908084606,59337.34757059,19.2790762220014,0.0535932327548807
39,59310.37340598,20.2803350430922,0.0233251513885427,,,,59331.33098645,19.0462224646414,0.0230046537963082,59352.29957625,19.1616290555571,0.0315463680120792
40,59322.37276959,22.122600710302,0.107594223091088,,,,59331.34992456,18.9285821261333,0.0224012487130307,59352.30329112,19.2261801697523,0.0355214249662409
41,59316.31973589,20.5837428313744,0.0290981856987954,,,,59337.34687562,19.5006729478475,0.0429648212949079,59352.30698998,19.1216158007791,0.0292064096452248
42,59316.31225572,20.4830953646102,0.0277168442040678,,,,59352.29890137,19.4006690757847,0.0269172022324103,59352.31114728,19.0513932013715,0.027695286869008
43,59310.38088169,20.3326627128298,0.0266888950501981,,,,59352.3026094,19.4034442661817,0.0266050518308003,59352.31484699,19.0548361179319,0.0293062352445817
44,59316.3160075,20.5025924995503,0.0278194760177552,,,,59352.30632183,19.3804837276925,0.0255469550409019,59352.31854,19.0304061492292,0.027564977305853
45,59310.37712498,20.2959981760838,0.0253922588350231,,,,59352.31046306,19.3290450466196,0.0248158149481036,59352.33017296,18.9180628857425,0.0249095814445849
46,59331.33233755,20.2671963816154,0.0397618248617365,,,,59352.31786683,19.2111680936907,0.0228767985598059,59352.33439941,18.8730236504164,0.0233261283238386
47,59331.3438651,20.1709925139192,0.0388327667605564,,,,59352.31416889,19.3149573973143,0.0261881849143401,59352.33812561,18.8317694232705,0.0242236684074094
48,59331.3475867,20.1743885743221,0.0460666802236213,,,,59352.32201917,19.2911300222881,0.0250313427626294,59352.34184506,18.8108852366004,0.0224809800413448
49,59331.32863986,20.28903064603,0.0438148737628276,,,,59352.32577122,19.2394316994892,0.0239258750678987,59356.27661455,18.8933420266823,0.0227311011727992
50,59331.34018693,20.2273296705955,0.0374983757315712,,,,59352.32949387,19.1682360795961,0.0214446601107654,59356.28032005,18.9037671380729,0.0237076768385566
51,59331.33604215,20.2384471882725,0.0428968014221982,,,,59352.33373207,19.127641163929,0.0203164643069483,59356.28403417,18.8409319680411,0.0217825665446994
52,59349.32690783,20.9097019176137,0.0693312351093237,,,,59352.34115349,19.0675071893624,0.0192663012827542,59356.28819927,18.8251517127986,0.0219562468560615
53,59352.29656298,20.6764334039578,0.0311746968566744,,,,59356.27593022,19.1307380386823,0.0203339673328651,59356.29192602,18.7371019489467,0.0189617211817332
54,59352.30025847,20.7619001703836,0.0320492625525756,,,,59356.279629,19.1452557991407,0.0208923070569027,59356.29562856,18.7356719714249,0.0189906137961939
55,59352.30396646,20.6758141226869,0.030070519469769,,,,59356.28336674,19.0789778030743,0.0192764578525849,59356.30361364,18.7016046622307,0.0190926324031271
56,59352.30811002,20.5346550273642,0.0280592527224816,,,,59356.28750547,19.0947670030181,0.0204538706881586,59356.29985789,18.7519594953546,0.0206618365126505
