,g MJD,g MAG,g MAGERR,r MJD,r MAG,r MAGERR,i MJD,i MAG,i MAGERR,z MJD,z MAG,z MAGERR
0,59746.22928024,19.6193714022526,0.0383217040468956,59746.23443919,18.5504223795318,0.0243231166424157,59746.23907357,18.5615652310243,0.0418165862167653,59699.4161779,18.4565979901528,0.0455186532889275
1,59746.22555843,19.5988128015233,0.0358137502334528,59746.23072529,18.5905008645146,0.019767154382567,59746.23536014,18.6237495367401,0.0425435701834758,59699.412443,18.4343003922477,0.0946143636631235
2,59746.22182385,19.678380665306,0.0398535889962993,59746.22701016,18.628321972991,0.0230314602586902,59746.2316287,18.5570877425815,0.0307673680113353,59699.4087166,18.4654085986337,0.0413030628850393
3,59714.37882968,20.9036785110273,0.0787809206624024,59746.22327615,18.5288731698069,0.0179748919071252,59699.4192104,18.5889879122001,0.0687921009838477,59705.38246012,18.8218355127629,0.0382121867609281
4,59714.31241377,20.0083148456313,0.0340172111684216,59720.38404649,18.9730187524703,0.137730168402204,59720.3775355,18.8646586251627,0.0864341786931104,59705.37875113,18.7628109176046,0.0351034594746589
5,59714.30724775,19.9291576670581,0.0327472977413351,59720.38032564,19.2794868865425,0.10275713221832,59333.35444666,20.3474962225219,0.120720420365898,59705.37504078,18.8791379529049,0.0562208647491352
6,59714.30352043,19.9325236195199,0.0314657245937079,59720.37663293,19.0485451585525,0.115683392343387,59333.36653041,20.0692760066667,0.0945006966783378,59705.36764413,18.7745596214611,0.0399639901325436
7,59714.29980204,19.8760083769365,0.0316850193281962,59333.36591378,19.4099198664361,0.0613061327969108,59333.3684577,20.1536277733647,0.105950702530106,59705.36391395,18.9703234274318,0.0712652458375953
8,59714.29607405,19.8798421834448,0.0307281950779584,59361.24737602,19.3325173513229,0.0394672366404401,59337.4283384,19.4401009404682,0.0642686403188213,59705.36018818,19.1603786415914,0.0704772119925442
9,59714.29234875,19.8446708349797,0.0357686531333687,59361.25106087,19.3452414744026,0.0370447261237003,59358.29268775,18.5289690674771,0.0186226316824053,59705.35646378,19.0502133459755,0.0745282962802995
10,59720.38261377,20.1306712950918,0.103693047625179,59361.25478564,19.3410902407498,0.0348918011050866,59358.2964167,18.4536894133301,0.0171821879293671,59705.35275803,19.0485603597919,0.050601434080825
11,59720.37888582,20.1841914852411,0.079819022170411,59361.25897516,19.5229863347606,0.0413357888551068,59358.30014513,18.4181828203843,0.0167430933078493,59708.36404272,19.0899296973069,0.0404896580776588
12,59720.37519756,20.1472875607019,0.097741354458016,59361.26268712,19.3944505009849,0.0352771285153372,59358.30806681,18.4121326723166,0.0175942359896534,59708.36033014,19.1542077711119,0.0498948324279448
13,59304.38294008,19.7967082452776,0.0249225624289546,59361.26642517,19.5034046613962,0.0372766559553111,59358.31179963,18.366486764279,0.016139295157435,59708.33366227,18.9930727870897,0.0512011126938503
14,59304.3676979,19.698122746995,0.0244181030821177,59361.27060602,19.5315354156104,0.0408516501990033,59358.31596714,18.4009763988504,0.0165698956503449,59708.32995346,18.8609291971483,0.0443410336408906
15,59304.37924296,19.7293348107601,0.0244535519666255,59361.27431763,19.5473195969189,0.0387208731697803,59358.31968871,18.3589783160848,0.0161780135650838,59711.37545837,18.6504210802403,0.026584604384581
16,59304.37141087,19.7181357784146,0.024063118203677,59361.27804888,19.4344071876661,0.0396060129924702,59358.32341742,18.4496858946559,0.0174954992408422,59711.36064319,18.7494389600331,0.0401203197992914
17,59304.38664634,19.7910534653523,0.0258511312315082,59361.28592178,19.5185501192517,0.0520218115659718,59358.3276049,18.4728005613591,0.0178118654634156,59711.35692252,18.8488794538955,0.0354275022562826
18,59361.24594945,20.4523229115787,0.068333697880244,59361.28219742,19.5210603944826,0.0416278683115955,59358.33136346,18.4192009887283,0.0174466337056294,59714.31548722,19.1102541350132,0.0487493761943059
19,59361.24963204,20.3386150171178,0.0641931000620107,59361.28964367,19.5643802074667,0.0532439098554423,59358.33507361,18.412264716841,0.0173953040510847,59714.31029501,18.9813026689356,0.0354697610765472
20,59361.25335414,20.2955696685701,0.0567212590144543,59361.34064391,19.6094447653804,0.052565597054157,59361.24827172,20.0590952167752,0.119837012507187,59714.3065564,18.9312339741061,0.034073568547629
21,59361.25752308,20.5090433030495,0.0666003955911794,59361.34436559,19.5652610951919,0.0558632986005102,59361.25569104,20.1310155586314,0.119572451435091,59723.34015036,19.0297021043772,0.0507083507982502
22,59361.26124084,20.486786323572,0.0658738907435355,59361.34851303,19.5242515867338,0.0622103551461009,59361.25988547,19.9493147195396,0.0999611647968891,59723.32906929,19.2040449803556,0.0941641200728925
23,59361.26498338,20.6384812736288,0.0736790582222548,59361.35221434,19.6079685167327,0.0819297919342838,59361.26733993,20.1442021681902,0.0940321582435827,59329.37583435,20.4531856442319,0.12448497544281
24,59361.26914827,20.5355809594789,0.069024928935148,59361.35593222,19.5995373605427,0.0760903492012963,59361.27151596,20.0268727034358,0.0801549339077852,59333.35706098,20.2150365624462,0.129020927682871
25,59361.27286509,20.5465983271052,0.0662906637434856,59364.30254102,18.4271233457443,0.102727654499871,59361.27524024,20.276228901397,0.0959645835627156,59337.42899673,19.4769813427852,0.0870994795687375
26,59361.27660876,20.6040214127638,0.0676424981026962,59364.29840988,18.4659147281096,0.0714432892770498,59364.28040214,18.468363117307,0.0430374142227854,59337.43301631,19.6744577523227,0.116697692785334
27,59361.28447275,20.534380183346,0.101282060535592,59364.30624673,18.4140509061253,0.0562254407227767,59364.28411267,18.4925841296768,0.0376574600151429,59337.43234245,19.3554662979064,0.0841866320544194
28,59361.28821337,20.5688617142278,0.082496760311293,59364.29472164,18.5298487595751,0.0773914804827263,59364.29192728,18.5408550426279,0.0554186431410899,59358.29711016,18.2437543548399,0.0183641037513732
29,59361.33544473,20.6665721221863,0.0919291252545552,,,,59364.30345089,18.3538348891409,0.143563551927135,59358.30081993,18.3601216634674,0.0203917933779472
30,59361.3391835,20.5080327161707,0.0770582783593529,,,,59364.3737844,18.4458387980381,0.0181019712455119,59358.30501581,18.2820326807571,0.0192233993884376
31,59361.34291862,20.4835744501397,0.0961445115529952,,,,59364.37747223,18.5182676797244,0.0355677838104447,59358.30875557,18.3791027307985,0.0208005860774205
32,59361.34705949,20.3736703159387,0.088016184969652,,,,59364.38118902,18.4038002609771,0.0171545300494112,59358.31664507,18.277995080058,0.0193310298090664
