,g MJD,g MAG,g MAGERR,r MJD,r MAG,r MAGERR,i MJD,i MAG,i MAGERR,z MJD,z MAG,z MAGERR
0,59329.38880115,22.023185958384,0.0919781231351769,59329.37413318,20.7830437494287,0.0602000888789487,59329.37509988,20.3388345347147,0.060373204734657,59329.37583435,20.1614930715348,0.0709689073925574
1,59329.38049035,21.9120074044223,0.0892258682646232,59333.3518785,20.9224183860314,0.137249055598274,59313.3756978,21.6997661587073,0.16332323773347,59329.37974738,20.0477149137282,0.0642600598969653
2,59329.3927339,22.0646390609664,0.0961191599736315,59333.35771837,20.4058528639766,0.0999179554822941,59329.37903017,20.2992817391243,0.0577714530319382,59313.37268271,21.2788152201927,0.160233881195047
3,59352.29656298,21.2469884348121,0.0482453103631957,59333.36203857,20.6113370321131,0.121847488216989,59329.39518696,20.3980356516008,0.0615762388298721,59333.35898348,20.2070113763616,0.111362079441043
4,59352.30025847,21.2283716630583,0.0446436060661741,59329.3819732,20.9964209156371,0.0733199238772321,59333.35831918,20.3882255993206,0.107193505309507,59333.35510904,20.1045697785151,0.104762479791296
5,59352.30396646,21.3495217087289,0.0508240792300181,59333.36398793,20.5904321547453,0.121457145464961,59333.35249747,20.5006023522809,0.0820339905341605,59333.3512144,20.3287912974198,0.0970236816269791
6,59352.30811002,21.4007734551915,0.0556176440519605,59352.30169074,20.4985590786888,0.0438967372578901,59333.35055003,20.5101597434761,0.0862144969919899,59329.39590053,20.1827207287781,0.0697025220696844
7,59352.31182442,21.3408520770161,0.0497458812718439,59352.30541393,20.4467690495754,0.0416388754137479,59333.36069982,20.6377775325927,0.133061131898128,59329.38805106,19.9962997293596,0.0613299730266511
8,59352.31552674,21.2550429882707,0.0451555803717735,59352.30955503,20.4474774165486,0.0427821039137656,59329.38734467,20.5218129287227,0.0729628052297432,59333.35706098,20.194194920715,0.109685485244897
9,59352.3196617,21.3537151626424,0.049098302204854,59352.32858829,20.5244347718608,0.0459762308264083,59333.36265545,20.2552291805913,0.0925926103813582,59333.35315931,20.3640398173774,0.0952114802170758
10,59352.32341943,21.2906108506712,0.0482527445573053,59352.33282096,20.4058277277699,0.0397881034013829,59333.36458897,20.4639795080611,0.113580938821466,59333.36525743,20.1654489733503,0.118928231007901
11,59352.32714592,21.3431391853084,0.0472865456864448,59352.34024255,20.393210904292,0.0379272952226867,59352.29890137,20.1641637584041,0.0510243197625064,59333.36912034,20.0424315770359,0.107148006212284
12,59352.33137532,21.3874136632517,0.0483132158371853,59358.29176854,20.222405117854,0.0358904786365125,59352.3026094,20.1681429508615,0.0509982892662383,59352.30329112,19.8540108928512,0.0583108852987691
13,59352.33508784,21.3066255001029,0.0472860913902019,59358.29549865,20.2108513660121,0.0365284619617991,59352.30632183,20.1736861291768,0.0497326886727919,59352.30698998,19.8920238014465,0.0552615588280823
14,59352.3388087,21.2891471413286,0.0440052193767091,59358.29922657,20.2977223378149,0.0372074034094589,59352.31046306,20.1975026010693,0.0512686886494837,59352.31114728,19.898501112406,0.0554659476147326
15,59358.29028462,21.1962562489493,0.0577504320994831,59358.3034093,20.3051600789106,0.038639480414426,59352.31416889,20.2096487979559,0.0558440312317688,59352.31484699,19.9656850353112,0.0625229272669294
16,59358.29405276,21.2774060036183,0.0603660895228749,59358.30714837,20.2371987959309,0.0352838160126138,59352.31786683,20.1497196576893,0.0502130453001183,59352.33017296,20.0256642173032,0.0634314074269565
17,59358.29778585,21.2859910152609,0.0588903020247486,59358.31088498,20.2280446201434,0.0369279103230781,59352.32201917,20.2222512426831,0.0554874276877372,59352.33439941,19.8972593352826,0.0544361441840954
18,59358.30194912,21.158660883911,0.0546138963794056,59358.31504564,20.323965180869,0.0389239559217722,59352.32577122,20.2871096955627,0.0579604836741651,59352.33812561,20.0054997709906,0.0649908199961184
19,59358.30569993,21.2108427297032,0.0569759961617056,59358.31877252,20.2577288720272,0.0368310182247508,59352.32949387,20.1234039040194,0.04754157363099,59352.34184506,19.8780698223811,0.0542172187406326
20,59358.30943912,21.3601823463731,0.0681444195784637,59358.32249103,20.1916328171932,0.0355949607051005,59352.33373207,20.1779344661512,0.0492507096562632,59358.29337654,19.7020710242399,0.0528227424574038
21,59358.31361304,21.2088360618867,0.0583809727541264,59358.32667653,20.2924987623812,0.0392327631033668,59352.34115349,20.1507297294556,0.0479402995929238,59358.29711016,19.7416615365228,0.0523217433077548
22,59358.31732281,21.1752581411306,0.0542604229727779,59358.33043937,20.2807919200367,0.0391488271206334,59358.29268775,19.9135611258193,0.0490156078594885,59358.30081993,19.8229954740497,0.0573549694339612
